"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Hot lead"
"Dance Effect","http://www.inthelab247.com/schedule__pricing","inthelab247@yahoo.com","541 N Azusa Ave.","West Covina",91791,"626.332.0110﻿","T H E L A B is a creative arts center in the heart of our West Covina community where eager minds are motivated, educated and inspired to discover their talent and become empowered to shape their future!
 

We offer classes for all ages (4-adult) and levels (beginning to professional). Our instructors are working professionals that share the same level of passion, expertise and drive to make ""The Lab"" a home away from home for our dancers, athletes, artists and musicians.﻿","CA",6,18,"Y","N","N","Dance","HipHop","Breakdance",,,,,,,10,"per_class","not online","https://www.facebook.com/InTheLab247","Y","https://scontent-a-pao.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10647118_709601429094697_7530945971385987488_n.jpg?oh=3f888b4f04256c20301447c770b65c23&oe=55164F7E","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10653802_709599002428273_8102133633753288973_n.jpg?oh=8bf61b4d6ed7e91ef2ac888535455e4d&oe=54D49D32&__gda__=1423663960_5230fb6c2eaa5ce8aa2f610475c10aab",,,,
"Edge Performing Arts Center","http://edgepac.com/the_center.htm",,"6300 Romaine St, Ste 100","Los Angeles",90038,"323 962 7733","EDGE is world renowned as a leader in commercial dance and L.A. style. Established in (date temporarily removed due to it being an answer for an ongoing contest), we offer beginning through professional open classes 7 days a week, 350 days a year.  Class styles include Jazz, Ballet, Tap, Hip Hop, Jazz Funk, Contemporary Jazz, Modern Fusion, Theatre Dance, Cabaret, Breakin', Movement for Actors, Turns, Salsa, Belly Dancing, and Yoga for Dancers. 
EDGE is home to a who’s who roster of industry choreographers, teachers and performers whose instruction and work have inspired generations of dancers.  They have worked with entertainers including Christina Aguilera, Beyonce, Mariah Carey, Celine Dion, Janet Jackson, Michael Jackson, Lady Gaga, Jennifer Lopez, Madonna, Prince, Rihanna, Shakira, Britney Spears and Justin Timberlake among others.  Their choreography has been featured in countless music videos, commercials, television shows, films, concerts and stage productions.  They have also appeared with the American Ballet Theatre, Joffrey Ballet, San Francisco Ballet, Cleveland Ballet and the Tokyo Ballet companies.
Our customers are made up of aspiring and professional dancers, actors, industry professionals and people who prefer dancing as a way to stay fit.  Our customers are from the United States as well as individuals and groups from across the globe.","CA",8,"Adult","Y","N","N","Dance","Ballet","Tap","Jazz","HipHop",,,,,13,"per_class","online PDF","https://www.facebook.com/pages/EDGE-Performing-Arts-Center/145186845622","Y","http://edgepac.com/edgepac.logo.gif","https://scontent-b-pao.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/548073_10151542389960623_1346667738_n.jpg?oh=4cac0a8de88632bd83abf2479e29cf18&oe=54DF96DF",,,,
"The Dance Spot","http://www.dancethespot.com/","inquiry@dancethespot.com","427 Imperial Hwy","Fullerton",92835,"(714) 992-6112","The Dance Spot opened its doors in 1980 in Fullerton, California.  Family owned and operated by Deidre Madrigal and her parents, The Dance Spot has remained committed to both children's and adult's dance education for 35 years.  The Dance Spot has won multiple national dance school awards during its long history and is well known as one of the country's top schools for dance education as well as competitive dance.  The Dance Spot has touched the lives of thousands of families over the last 35 years and the legacy continues today.","CA",5,"Adult","Y","N","N","Dance","Ballet","Jazz","Tap",,,,,,18,"per_class","not online","https://twitter.com/DanceTheSpot",,,,,,,
"Momentum Dance","http://www.momentumdancecenter.com/home.html","momentumdc@sbcglobal.net","3900-A Prospect Avenue","Yorba Linda",92886,"(714) 577-0586","Momentum Dance and Performing Arts Center is dedicated to providing high quality instruction in dance and theatre arts to students of all ages in a positive and creative space.It is our goal to provide each student with a well rounded program in dance and performing arts. Momentum supports students in a performing arts experience of the highest level while allowing them to have fun and make lifelong friends and memories.

Located in West Yorba Linda, Momentum has 3 professional dance classrooms, each with a floating wood floor. Rooms are connected by a common lobby providing privacy and safety for all our students.

Viewing windows for each room allow parents to watch comfortably without distracting students. For students who have a little time between classes, a homework room is available for studying.","CA",3,18,"Y","Y","N","Dance","Ballet","Jazz","Tap",,,,,,44,"per_month","not online","https://www.facebook.com/MomentumDanceAndPerformingArts","Y",,"http://www.momentumdancecenter.com/assets/sites/momentumdancecenter.com/images/PrincessCamp%204-w180-h200.jpg",,,,
"Nordquist's Dance Studio","http://nordquistdance.com/index.html","nordyswingn@gmail.com","516 B St., Unit C","Santa Rosa",95401,"707-538-7618","The Nordquist′s Dance program has been in Santa Rosa for more than 30 years. Every year over 300 young teens, boys & girls, attend social dance classes with Stephen & Shirley Nordquist. Classes meet weekly on Tuesday nights October through March at the Santa Rosa Vets Building.

We are proud to have our daughter, Denise Cimino and our granddaughter, Brina Cimino as active members of our dance program and teaching staff; proof positive that the Nordquist family dance tradition continues...We are pleased to welcome Ben Farren as our music coordinator and DJ.

This program provides a safe and comfortable environment where junior high and high school students learn so much more than just American Style social ballroom dancing. These classes build the student′s confidence and blend in a balance of social behavior, manners and dress for special occasions.

The Nordquists′ welcome each new student with one free lesson. So parents bring your teens to the first Tuesday night class and let them see for themselves how much fun they can have—learning to dance, even all dressed up. They′ll use this social training for the rest of their lives.

Dances taught: Waltz, East Coast Swing, West Coast Swing, Night Club 2-Step, Cha Cha, Rhumba, Tango and more.","CA",13,"Adult","Y","Y","N","Dance","Ballroom","Latin",,,,,,,310,"per_session","online","https://www.facebook.com/NordquistDanceStudio","N","https://scontent-a-pao.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/529015_190720077718706_1058284916_n.jpg?oh=fc67493de05f883b40877dbf1ff767f0&oe=54E10B6D",,,,,
"Red Bluff Performing Arts Centre/ Skyward Studios","http://www.redbluffperformingartscentre.com/","RedBluffPAC@live.com","1325 Vista Way","Red Bluff",96080,"530-255-4180","Red Bluff Performing Arts Centre (PAC) is a place where dreams are created and achieved, by valuing hard work, dedication, community, and creativity. We seek to foster strong values in our students that will stay with them for a lifetime. Red Bluff PAC is a friendly and welcoming place where students of all levels are encouraged to create and accomplish their own individual goals. Whether you are looking to be the next star or just looking to have fun and perform because it’s what you love to do! Every member of our community deserves to have an outlet that makes them feel good about who they are, which is why we offer services for Deaf, Hard of Hearing, and other special needs communities.
We offer a wide variety of classes throughout the year, along with some seasonal options. Our selection currently includes: Jazz, Hip-Hop, Tap, Ballet, Pointe, Modern, Musical Theatre, Improvisation, Choreography, Health and Body Maintenance. We are currently offering classes for ages 3 and up.","CA",3,18,"Y","N","N","Dance","Latin","Tap","Jazz","Ballet","HipHop",,,,55,"per_month","online contact form/ download PDF","https://www.facebook.com/RBPAC","N","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10456019_263673523817043_1264008609015906359_n.jpg?oh=c548bd62ab41d216392b6f270fdec1c4&oe=551967A9&__gda__=1427364981_ea4a81598cc3fd44abe163651ec2d66e","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/1891040_10152421924741087_3435329517953517479_n.jpg?oh=7cde4c6088a2b59fa706501e4a9ee0dd&oe=54E42BC0&__gda__=1423222698_42c491fa7474c331e8ef38fd447fb02a",,,,
"Dance Art Center","http://dance-arts-center.com/","info@dance-arts-center.com","2601 Spring Street","Redwood City",94063,"(650)-574-2001 or (650) 362-4718","Dance Arts Center (DAC) was founded in 1970 and offers a convenient year round curriculum that has been designed for students interested in exploring various dance styles and students already focused on a particular discipline.

DAC offers a variety of classes and levels in ballet, tap, jazz, hip hop, modern, contemporary, dance conditioning and special needs. Single (""drop in"") classes and private instruction are available.

Open 6 days a week, with a schedule of over 50 classes to chose from, DAC is the perfect choice for dancers of all ages, beginner through seasoned Broadway performer.","CA",4,18,"Y","N","N","Dance","Ballet","Tap","Jazz","Pointe",,,,,65,"per_month","not online",,,,"http://dance-arts-center.com/storage/boysballet-thm.jpg?__SQUARESPACE_CACHEVERSION=1241725200657",,,,
"The Element Dance Center","http://www.theelementdancecenter.com/",,"5915 Severin Dr","La Mesa",91942,"619-644-2911","To create a positive atmosphere full of opportunities for dancers to grow, learn and explore artistically while nurturing their self-expression and building their confidence.  The foundation of every student is shaped by the class they attend, and the highest level of instruction available.  We challenge our students to strive for excellence, set personal and attainable goals, and create memories to treasure forever.","CA",3,18,"Y","N","N","Dance","Ballet","Tap","Jazz","Pointe","HipHop",,,,25,"per_month","not online","https://www.facebook.com/pages/The-Element-Dance-Center/154857601203002","N","http://theelementdancecenter.com/clients/8251/images/slideshows/10315/Template_12theelement_edit_2.png","https://scontent-a-pao.xx.fbcdn.net/hphotos-ash2/v/t1.0-9/62391_154857847869644_1806766_n.jpg?oh=58a98f0d2e5e51093b917e18c677c08f&oe=54DC64CA",,,,
"Cynthia's Dance Center","http://www.cynthiasdancecenter.com/","cynthia@cynthiasdancecenter.com","304 S. Lexington Drive","Folsom",95630,"916-801-6553","Cynthia decided she wanted to teach dance and have her own dance school at age twelve. Studying dance since the age of five at Dancer's Workshop in Sacramento under the direction of Lillian Olsen. Lillian taught her to love tap the  way she did. During her high school years she choreographed all variety shows and musical productions performed at Encina High School.

There she danced and performed with Carla Stalling formally of The American Ballet Theatre in New York City. Cynthia choreographed for various organizations including The Sacramento Players and Musical Comedy Workshop all before graduating from Encina High School in June of 1975.

Attending American River College to receive her Associate Degree in Business in 1978 is when she opened Cynthia's Dance Center on Sunrise Blvd. in Citrus Heights. In August of 1983 she formed Cynthia's Dance Company with twenty students.

The I Love Dance Competition held every year in Sacramento awarded her the Teacher of the Year Trophy for the following years:","CA",2,"adults","Y","N","N","Dance","Ballet","Tap","Jazz","Pointe","Lyrical",,,,45,"per_month","online",,,,"http://www.cynthiasdancecenter.com/yahoo_site_admin/assets/images/AAAcinderella.207132030_std.jpg",,,,
"DC Dance Center","http://www.dcdancecenter.com/index.php/fall-dance","dcdance1@mac.com","1555 Washington Ave","San Leandro",94577,"(510) 352-2800",,"CA",3,18,"Y","Y","N","Dance","Ballet","Tap","Jazz","HipHop",,,,,64,"per_class","online","https://www.facebook.com/pages/DC-Dance-Center/373051139863","N","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/230098_10150180480954864_3117887_n.jpg?oh=ba8b93321776a51155cf5db7db625e42&oe=5519F054&__gda__=1424167494_b1a3d9466e987bac9292291ecd697c25","https://scontent-a-pao.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/420653_10151468366664864_915835210_n.jpg?oh=8b66accf371d8b6299834757678f45c9&oe=54DED603",,,,
"Eastbay Dance Co","http://eastbaydanceco.com/","eastbaydanceco@gmail.com","12901 Alcosta Blvd","San Ramon",94583,"(925) - 867 - EBDC","East Bay Dance Company

East Bay Dance Company believes in a philosophy of teammates all striving for the same goal; their love of dance. Whether it be recreational or performing on stage, dancers will learn the value of being a member on a team through camaraderie, confidence and skill they will learn in class. With our brand new facility offering state of the art sprung floors and sound systems, you will be treated like family at out family run studio. Peace, love, and dance!
Mission Statement

We strive to enrich our students' lives with the values of confidence, perseverance, and creativity through professional training and positive reinforcement.","CA",5,18,"Y","Y","Y","Dance","Ballet","Tap","Jazz","HipHop",,,,,60,"per_month","online","https://www.facebook.com/pages/East-Bay-Dance-Company/97749181101","N","https://scontent-b-pao.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/528105_10150898624096102_442658525_n.jpg?oh=6a8f8368297f6f0d6f4e53d0bef544b2&oe=55163CA0","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/16382_10153127754401102_8629846052975649097_n.jpg?oh=a6909a15136dcd2f382562931c15e2e9&oe=54D51B9D&__gda__=1427827924_80701c0620a8be07f075ea7ce17ed84f",,,,
"ATA Gymnastics","http://atagymnastics.com/","info@atagymnastics.com","422 Blossom Hill Rd","San Jose",95123,"(408) 224-5437","ATA Gymnastics provides a healthy, fun, and safe environment for your child to improve movement and body awareness, build flexibility and strength, and learn gymnastics.

All of our coaches are USA Gymnastics Certified and have undergone specific training through Aerial Tumbling and AcroGymnastics to assure consistency of training techniques from one instructor to another. We have a wonderful mix of athleticism, experience, and maturity on our staff and are willing to bet we have the friendliest staff in town. We all strive to teach in a well structured, goal oriented, self esteem building atmosphere.","CA",12,18,"Y","Y","Y",,,,,,,,,,69,"per_month","not online","https://www.facebook.com/pages/Aerial-Tumbling-AcroGymnastics/150628558300436?fref=ts","N","http://atagymnastics.com/wp-content/uploads/2013/06/copy-ATA_Logo_Final_WEB_235x153.png","https://scontent-a-pao.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10537063_919053421457942_6027139838018262129_n.jpg?oh=637aa4e7a339739d5b2d7c3907895710&oe=5519E94A",,,,
"Dance Unlimited","http://www.danceunlimited.info/","office@danceunlimited.info","3033 Industry St","Oceanside",92054,"(760) 722-3262","Dance Unlimited was Oceanside’s first Professional Dance Studio. Established in 1989 by founder/director Erin Riley-Carrasco, Dance Unlimited is the largest on-site dance studio in North San Diego County. With over 10,500 square feet and 6 dance studios, we offer instruction from beginning to advanced levels in jazz, tap, ballet, lyrical, hip-hop and musical theatre. We also offer adult classes and tiny tot combo classes.","CA",3,"adults","Y","N","N","Dance","Ballet","Tap","HipHop",,,,,,60,"per_month","online_pdf","https://www.facebook.com/pages/Dance-Unlimited/192112144501","Y","https://scontent-b-pao.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1918170_195560634501_6924213_n.jpg?oh=bb5590704f50b91fb1eee6173477c155&oe=550E404F","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10168062_10152748155789502_748092163509256281_n.jpg?oh=44e9078ffc4aabc378649d61c3d5ea43&oe=55112988&__gda__=1423546289_a168f6c6dee178d02197564073ab8204",,,,
"Dellos Dance & Performing Arts","http://dellosdance.com/",,"775 Pinefalls Ave.","Walnut/Diamond Bar",91789,"(909) 594-0228","Dellos Studios originated in a 2,000 sq ft building in Rowland Heights in 1973. The overflow of students brought expansion to a second location in Diamond Bar in 1978. In 1983, owners Bobbi and Dave Dellos consolidated all of their dancers under one roof in an 8,000 sq ft industrial building in Walnut, still known as the “The Home of the Original Dellos Dancers”. In 2005 they opened another location, “The Dellos Dance Connection”, an 18,000 sq ft state-of-the-art facility servicing The Chino Valley communities. A fourth franchise location, “The Dellos Performing Arts Center” on The Central Coast, unites the creativity of all three Dellos staffs. Dellos Studios pride themselves on providing a loving family atmosphere in a professional and nurturing environment. They offer classes for 2 1/2 years to adult in tap, jazz, contemporary, lyrical, ballet, pointe, musical theatre, jazz-funk and hip-hop. Dellos provides instruction for beginners through professional and a hands-on training program for students aspiring to become dance instructors.","CA",2.5,"adults","Y","N","N","Dance","Ballet","Tap","HipHop",,,,,,52,"per_month","online contact form","https://www.facebook.com/dellos.dance?fref=ts","N","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10690268_375723799248990_6069148454451106170_n.jpg?oh=d354fbbf914d047b01fa4f0b22783aa8&oe=551E76F8&__gda__=1423873742_6e84d201bdab7fa54ff2d98b0f4e2528","https://scontent-a-pao.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/10675759_375723955915641_1828756962896878770_n.jpg?oh=397f998854c4416c912cd271ed8d0fc3&oe=54E12991",,,,
"Village Dance Arts","http://www.villagedancearts.org/","villagedancearts@gmail.com","111 Harvard Pl","Claremont",91711,"(909) 624-1415","Founded in 1969, Village Dance Arts has been offering excellence in dance education for over forty years. Rooted in the best of American and European dance traditions, the school is committed to the artistic and physical development of its students. The philosophy is founded on the classicism of the Russian, Italian, and French ballet schools, and is enhanced by the versatility of modern movement forms. Under the direction of Toni Ebell Carrion, the program develops talent in a manner that will ensure a lifetime involvement in, and enjoyment of, dance.","CA",5,"adults","Y","N","N","Dance","Ballet","Tap","HipHop",,,,,,,,"Online","https://www.facebook.com/pages/Village-Dance-Arts/187179511310681","N",,"https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/297581_285506911477940_285851147_n.jpg?oh=a7a4f9f058c533c5b8d0cdb3662a9d9a&oe=54E0CEB8&__gda__=1427251114_3685a653ae3eff4cbaae78ed69dff0e5",,,,
"Classical and Contemporary Dance with Tamara Grose","http://www.ccd-dance.com/","tamcandance@prodigy.net","6445 Redwood Drive","Rohnert Park",94928,"707.585.1137","Classical and Contemporary Dance, founded and directed by Tamara Grose, is a supportive and non-judgemental environment for dance students. Tamara has adapted a teaching philosophy rooted in patience, understanding, guidance and structure using the art of discipline. She combines her experience as a world class professional classical and modern dancer, instructor, choreographer, certified yoga instructor and certified massage therapist to enhance and enrich her classes. Tamara’ s style of teaching emphasizes body awareness, alignment, strength and the integration of mindfulness.","CA",,,"Y","N","N","Dance","Ballet","Tap","Jazz","Lyrical",,,,,55,"per_month","online","https://www.facebook.com/CCD.Dance","N","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/10403499_632083596862126_2537794864977729173_n.jpg?oh=db3695558b87b93a9cb6d45b9d1f8042&oe=552038DD&__gda__=1428066900_01664f29fb2736277dcc13d99bf2407c","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/1234436_722098251193993_3980108406453605942_n.jpg?oh=21f9bf3d510236c5376dc87bf22d8a0c&oe=54DEA264&__gda__=1423654309_746a877a89d964adb75f8f519cac57fc",,,,
"Los Altos Dance Center","http://www.losaltosdance.com/","losaltosdance@aol.com","Los Altos Dance Center

5531 E. Spring St

(corner Spring & Bellflower)","Long Beach",90808,"562-429-7486","Beachcomber readers have voted 

Los Altos Dance Center as

""Best Dance School""

Long Beach Press Telegram

May 22, 2013

Los Altos Dance Center

Best Dance Studio

voted #1 in the dance studio category","CA",3,13,"Y","N","N","Dance","Ballet","Jazz","HipHop",,,,,,50,"per_month","not online",,,,"http://www.losaltosdance.com/023-custom-size-640-480.JPG",,,,
"Dance Horizons dance studio","http://www.dancehorizons.net/","dancehorizons@verizon.net","120 Orange Street","Redlands",92373,"909-793-2940","We strive to create an exciting and memorable dance experience for each and every student. To provide a safe and comfortable environment in which our students will continually learn and thrive. To educate our students in the art of dance to promote self-expression, discipline, and passion in each of our students.","CA",3,18,"Y",,,"Dance","Ballet","Jazz","HipHop",,,,,,60,"per_month","online","https://www.facebook.com/pages/Dance-Horizons/132139803503175?sk=info&tab=overview",,"https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-frc3/v/t1.0-9/529419_534054796645005_2072666881_n.jpg?oh=2743b6a90cbc20f3418b37531147f407&oe=5512DA25&__gda__=1427840209_7c5ea30859c218aec88f2713547ea1af","http://www.dancehorizons.net/wp-content/uploads/2009/04/1190421-683x1024.jpg",,,,
"All-Star Dance Academy","http://www.allstardancehb.com/","tawny@allstardancehb.com","10184 Adams Ave","Huntington Beach",92646,"714-982-8842","At All-Star Dance Academy we strive to offer a fun, family friendly environment for kids to learn and discover dance with low monthly rates, multiple class discounts and family discounts!
 
 
Classes offered:
Ballet
Tap
Jazz
Lyrical
Acro
Hip Hop
Boys Hip Hop
Cheer Dance
Fairy Tale Ballet
Song & Dance
 
 
 
We also offer:
Summer Dance Camps
Movie Nights at the Studio
Annual Recitals
Spotlight Performing Company","CA",,,"Y","Y","N","Dance","Ballet","Tap","Jazz","Lyrical","HipHop",,,,,,,,,,,,,,
