"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url",
"Tiffany's Dance Studio - Costa Mesa/Newport Beach","http://www.tiffanydance.com","costamesa@tiffanydance.com","401 E 17th Street","Costa Mesa",92627,"(949) 574-4905","With nine studio locations in both the San Francisco Bay Area and Orange County, Tiffany’s Dance Academy provides excellent training to dancers as young as two years old.  Tiffany’s Dance Academy is also home to the prestigious Bay Area Dance Company, a professional contemporary jazz dance company.","CA",2.5,,"yes","yes","yes","Dance","Ballet","Tap","Jazz","HipHop",,,,,55,"per month","online","https://www.facebook.com/TDACostaMesa","yes","i cant seem to grab the logo","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10805555_753052824731586_6975672383667513026_n.jpg?oh=0fc771a3658e3901bcb05c92b1cffa1b&oe=54DFDB68&__gda__=1427249076_5b7d178ca80142a860a37b2f5cf59cc6",
"Tiffany's Dance Studio - Milpitas","http://www.tiffanydance.com","milpitas@tiffanydance.com","1535 Landess Ave #146","Milpitas",95035,"(925) 447-5299","With nine studio locations in both the San Francisco Bay Area and Orange County, Tiffany’s Dance Academy provides excellent training to dancers as young as two years old.  Tiffany’s Dance Academy is also home to the prestigious Bay Area Dance Company, a professional contemporary jazz dance company.","CA",2.5,,"yes","yes","yes","Dance","Ballet","Tap","Jazz","HipHop",,,,,55,"per month","online","https://www.facebook.com/TDAMilpitas","yes","i cant seem to grab the logo","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10649550_588667751258936_5156982800170244246_n.jpg?oh=20ac60ee0942b42221a3cdd47500d479&oe=55101B35&__gda__=1423310313_ef6bb1bf0ea0099bdf01cedaec1df679",
"Tiffany's Dance Studio - San Jose","http://www.tiffanydance.com","milpitas@tiffanydance.com","800 Embedded Way","San Jose",95138,"(925) 447-5299","With nine studio locations in both the San Francisco Bay Area and Orange County, Tiffany’s Dance Academy provides excellent training to dancers as young as two years old.  Tiffany’s Dance Academy is also home to the prestigious Bay Area Dance Company, a professional contemporary jazz dance company.","CA",2.5,,"yes","yes","yes","Dance","Ballet","Tap","Jazz","HipHop",,,,,55,"per month","online","no one for this location","n/a","i cant seem to grab the logo","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/536328_377255055651239_1146389386_n.jpg?oh=742087e36b5dd595e1ee11cb39def1a1&oe=551D42C3",
"Tiffany's Dance Studio - Pleasanton Sunol","http://www.tiffanydance.com","livermore@tiffanydance.com","5424-6 Sunol Blvd.","Pleasanton",94588,"(925) 417-0110","With nine studio locations in both the San Francisco Bay Area and Orange County, Tiffany’s Dance Academy provides excellent training to dancers as young as two years old.  Tiffany’s Dance Academy is also home to the prestigious Bay Area Dance Company, a professional contemporary jazz dance company.","CA",2.5,,"yes","yes","yes","Dance","Ballet","Tap","Jazz","HipHop",,,,,55,"per month","online","https://www.facebook.com/TDAPleasanton","yes","i cant seem to grab the logo","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10525631_828565803862579_8405383225036241220_n.jpg?oh=56eb0be265d6c2931717d4efa1f356f0&oe=54D64395&__gda__=1427407433_c55b19d6d72c39b230a4131bcb05fa46",
"Tiffany's Dance Studio - Pleasanton Clubsport","http://www.tiffanydance.com","livermore@tiffanydance.com","7090 Johnson Dr.","Pleasanton",94588,"(925) 417-0110","With nine studio locations in both the San Francisco Bay Area and Orange County, Tiffany’s Dance Academy provides excellent training to dancers as young as two years old.  Tiffany’s Dance Academy is also home to the prestigious Bay Area Dance Company, a professional contemporary jazz dance company.","CA",2.5,,"yes","yes","yes","Dance","Ballet","Tap","Jazz","HipHop",,,,,55,"per month","online","https://www.facebook.com/TDAPleasanton","yes","i cant seem to grab the logo","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10525631_828565803862579_8405383225036241220_n.jpg?oh=56eb0be265d6c2931717d4efa1f356f0&oe=54D64395&__gda__=1427407433_c55b19d6d72c39b230a4131bcb05fa46",
"Tiffany's Dance Studio - San Ramon","http://www.tiffanydance.com","sanramon@tiffanydance.com","9110 Alcosta Blvd.","San Romon",94583,"(925) 875-0103","With nine studio locations in both the San Francisco Bay Area and Orange County, Tiffany’s Dance Academy provides excellent training to dancers as young as two years old.  Tiffany’s Dance Academy is also home to the prestigious Bay Area Dance Company, a professional contemporary jazz dance company.","CA",2.5,,"yes","yes","yes","Dance","Ballet","Tap","Jazz","HipHop",,,,,55,"per month","online","https://www.facebook.com/TDASanRamon","yes","i cant seem to grab the logo","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/38188_139878656041783_8174355_n.jpg?oh=2436ebed1acc08a603c23cb1b308e663&oe=54D84315",
"In The Spotlight Dance Center","http://inthespotlightdance.com/Home/Welcome.html","help@inthespotlightdance.com","8893 N Chestnut Ave","Fresno",93720,"(559) 298-7896","We are a locally owned studio that encourages self-expression, teamwork and commitment through dance. We believe that dance is an excellent way for all ages to gain these life skills. Dance itself lifts the spirit, nurtures creativity and creates passion.","CA",3,,"yes",,,"Dance","Ballet","Jazz","HipHop","Tap","Lyrical","Contemporary",,,55,"per month","online","https://www.facebook.com/pages/In-The-Spotlight-Dance-Center/175745422478347","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/216979_177282815657941_1766245_n.jpg?oh=6bcd643b7b32256235ee94ed8391b553&oe=551B18C4","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/10362574_724335580952659_6192705390332446448_n.jpg?oh=62409d685fe4a65cc6a536be47cd4420&oe=551688E7",
"Windsor Dance Academy","http://www.windsordanceacademy.com/","???","5455 Old Redwood Hwy","Santa Rosa",95403,"(707) 578-3217","For over 25 years, Windsor Dance Academy has been teaching young children,
teens and adults! Many grown students are bringing their children to our academy!

Windsor Dance Academy opened in 1989 on Old Redwood Hwy in Windsor.

Classes were held in Ballet and Acrobatics until 2002 when Hip-Hop was included
in the class repertoire. Jazz was introduced in 2011.

Windsor Dance Academy offers classes in Ballet, Hip-Hop, Jazz.
Acrobatics is included at the end of all children’s dance classes.","CA",3,,"yes",,,"Dance","Ballet","Jazz","HipHop",,,,,,52,"per month","pdf/phone","https://www.facebook.com/WindsorDance","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/375916_463831956994480_1021991770_n.jpg?oh=309b28a06045f7010c25965d2d1568dc&oe=54D380B0","https://scontent-b-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1620434_716482901729383_592181872_n.jpg?oh=eccefc28899567de0aab269650e3a6e4&oe=5510CA14",
"Beach Cities Dance Studio","http://www.bcsdance.com/","starsdir@aol.com","18956 Brookhurst St","Fountain Valley",92708,"(714) 963-2110","BCDS is a family friendly dance studio. We are here to teach your child all about dance and the many style of dance. We offer dance for children 3 year of age to 19. Along with that we have a great work-out program for adults.","CA",3,,"yes",,,"Dance","Ballet","Jazz","Pointe","Lyrical","Contemporary","HipHop",,,80,"per month","phone","https://www.facebook.com/BeachCitiesDanceStudio","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/45338_10151346118063523_513607255_n.png?oh=c820ad7239d08d0f7f75d004ef222ec3&oe=55197E3A","https://scontent-b-ord.xx.fbcdn.net/hphotos-ash2/v/t1.0-9/557654_10150756754538523_1858709088_n.jpg?oh=6cc4b0ef16b219fbabd570d2986d7672&oe=55143A66",
"Ovation School of Performing Arts","http://www.ovationperformingarts.com/contact-us.html","??","1529 West 13th St., 
                 Suite G","Upland",91786,"(909) 985-1858","Ovation was founded in 2004 to provide a quality performing arts education that is accessible to children and teens of all demographics.  In doing so, Ovation has become a safe haven for many youth in our community.  We attract students of all levels of ability, from the professional child actor to the extremely shy teenager that just wants to try something new.  The students are free to explore their creativity without fear of judgment or rejection.  As a result, the students who go through the program have discovered more  than a gift in the arts; they have discovered security and confidence in themselves as individuals.  

The goal for Ovation has always been to teach more than mere  classes in the Arts.  We develop confidence by teaching life skills such as self-discipline, teamwork and most importantly the concept of “paying it forward” by giving back to their community whether it’s singing to seniors at a convalescent home or handing out toys to children at Christmas.  In doing this, we change the world one student at a time.

Ovation currently meets twice a week, on Tuesdays and Thursdays, from 4:00 to 7:00 PM.  We have 3 groups of classes – Kids (ages 5-8), Tweens (ages 9-12), and Teens (ages 13-18.)  Each class group takes 4 classes on each day.  On Tuesdays, the students take Tap, Acting, Hip-Hop and Singing. On Thursdays the students take Jazz Dance, Acting, Musical Theater and Singing.","CA",5,18,"yes",,,"Dance","Tap","Jazz","Drama/Theater","HipHop",,,,,150,"per month","phone","https://www.facebook.com/OvationPerformingArts","no","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/523233_10150732932179342_129110643_n.jpg?oh=a078ddecc5204670572e4c64ae70302e&oe=551FA927&__gda__=1423059444_aaca1544fd490c8b576f170750e69257","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/1925000_10152090308144342_1792663660_n.jpg?oh=f6f1905d8d9ce4b0214a41bc09f9710a&oe=54D8E559",
"Fine Arts Academy of Dance","http://www.fineartsacademyofdance.com/","fineartsacademy1@aol.com","3205 S Brea Canyon Rd","Diamond Bar",91765,"(909) 594-4583","Fine Arts Academy Of Dance was established in 1979, under the direction of founder/owner Julia Giovannoni-Hamill. Fine Arts Academy boasts an all-professional staff, with industry credits that include movies, television, stage, music videos and musical theatre. The Academy offers classes in Ballet, Hip Hop, Tap, Jazz, Lyrical, Ballroom, and Street Funk. Class ages start at age 2 ½ through adults, with levels of dance for beginners through professional.","CA",2.5,,"yes",,,"Dance","Tap","Jazz","Contemporary","HipHop","Ballet","Lyrical",,,55,"per month","phone","https://www.facebook.com/finearts.academyofdance","no","http://www.fineartsacademyofdance.com/fine-arts-top-2.jpg?nxg_versionuid=published","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/25373_109400669090185_1355484_n.jpg?oh=b17d297d18aed54dfe795b83a2a8c5ec&oe=55177F23&__gda__=1423490614_5e215f52ff6d37530872227a2b4ddb64",
"Dance Arts Academy","http://www.danceartsacademy.com/","danceartsacademy@danceartsacademy.com","731 S La Brea Ave","Los Angeles",90036,"(323) 932-6230","Located in the heart of Los Angeles' mid-Wilshire district, Dance Arts Academy offers professional quality dance training and performing opportunities, to students of all ages and levels of experience. We offer Ballet for youth and adults, Hip Hop, Tap, Modern, Flamenco, Afro-Brazilian, Irish Step, Jazz and more.","CA",,,"yes",,,"Dance","Ballet","Bollywood","Tap","Jazz",,,,,48,"per month","phone","https://www.facebook.com/pages/Dance-Arts-Academy/128431163875054?sk=timeline","no","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1378677_815068195211344_5638543187311160377_n.jpg?oh=77ec6c43e44500e77a7d3395666e5232&oe=550EDC33&__gda__=1424044922_9c024dea0d163aa1be7ea936cfc45c13","??",
"Yucaipa Dance","http://www.yucaipadance.com/","??","31608 Yucaipa Blvd # 1","Yucaipa",92399,"(909) 794-6068","Yucaipa Dance is owned by Stacey Ordaz and is family operated with her husband David and her two oldest daughters Alyssa and Brett.

We offer a full schedule of classes and have been consistently growing since our founding in 2012. From beginning to advanced levels we offer instruction in Ballet, Pointe, Jazz, Tap, Hip-Hop, Musical Theater and Contemporary dance.

We also have a variety of Combo and Pre-Ballet classes for ages 2 1/2 to 6.

At Yucaipa Dance we strive to offer quality dance instruction in a safe and comfortable setting.

Our instructors believe in teaching the structure, discipline and tools to inspire students to find their passion for dance and cultivate their creative expression through it.","CA",2.5,,"yes",,,"Dance","Tap","Jazz","Contemporary","HipHop","Ballet",,,,30,"per month","phone","https://www.facebook.com/yucaipadanceCA","no","http://static.squarespace.com/static/53557416e4b0061a0875b5ce/t/53bb901be4b05c06d49ba699/1412269014068/?format=1500w","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-prn2/v/t1.0-9/p417x417/7145_501134116624665_122656355_n.jpg?oh=2e2e5aa13fcdff843e20f3b856325b8b&oe=54D35B2F&__gda__=1424203019_62de9661d26dcd6b58da5bdb6be5d78d",
"Hart Academy Of Dance","http://www.hartacademy.org/Home.html","Hart_Academy@yahoo.com","1100 S Cypress St","La Habra",90631,"(714) 879-7505","Hart Academy of Dance is the fastest growing studio in Orange County, and has a talented teaching staff to train your children into well-rounded dancers on a recreational or competitive level. We look forward to helping your child’s growth as a dancer and person. We are happy to provide your children with their “second home” in the assurance that the teachers and myself will be good role models while teaching strong dance technique. 

Hart Academy of Dance has been a part of La Habra’s community since the 1980’s, and I have been the proud owner since 2006.

Our 7300 square foot, five-dance room facility, is home to 500 dancers.  We have wood, laminate, or marley floors in all of our classrooms, professional ballet barres as well as a newly remodeled lobby, homework room and snack room.  We invite you to stop by and check out our beautiful studio. 

At Hart Academy, we pride ourselves in creating well-rounded dancers. We offer classes in ballet, tap, jazz, hip-hop, conditioning, contemporary and tricks and turns. For our preschoolers, we offer combo classes, which consist of tap and ballet combined in a one-hour class","CA",2,,"yes",,,"Dance","Tap","Jazz","Ballet","HipHop",,,,,25,"per month","phone","https://www.facebook.com/pages/Hart-Academy-of-Dance/175988299107155","no","http://www.hartacademy.org/Home_files/HartLogoHeaderLinkNew.png","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/379301_394469050592411_873625185_n.jpg?oh=de9d4c7d2396f4240aa5e0bfba0fe15c&oe=550DE173",
"Courtney's School of Dance","http://www.courtneysschoolofdance.com/","??","1701 W. Redondo Beach Blvd.","Gardena",90247,"310-756-6185","Courtney’s School of Dance is committed to providing its students with quality instruction in the disciplines of ballet, tap and jazz. We emphasize proper dance technique, focus, and hard work, while maintaining a positive space free of judgment and stress, where students can build their dance skills, character, and self-esteem. Our curriculum is carefully structured to inspire our students and encourage them to cultivate and sustain appreciation and respect for the art of dance.","CA",3,,"yes",,,"Dance","Tap","Jazz","Ballet","HipHop","Lyrical",,,,,"??","phone","https://www.facebook.com/CourtneysSchoolOfDance/info?tab=overview","yes","http://www.courtneysschoolofdance.com/bg-1-136679.jpeg?u=3996910109","https://scontent-b-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/10519228_911019128924758_7355185675016688652_n.jpg?oh=3f178d12647ce0cfa593c20574de26c2&oe=54D52B30",
"Indian Classical Dance - The Works Classes","http://works-exercise.com/","natarajan.dp@gmail.com","2566 C Telegraph Ave","Berkley",94704,"510-841-1373","Veteran teacher Aggie Brenneman and her advanced student, Deepa Natarajan, will be teaching Bharata Natyam on Wednesdays for new and experienced students from second grade and up.

Students will learn intricate foot rhythms, hand gestures, and facial expressions to convey stories of Indian culture and mythology from this ancient dance form.

Wednesday afternoons—
   2:30–3:15     Beginners (ages 7–12 or 1 year experience)
   3:20–4:05     Intermediate I (2–3 years experience)
   4:10–5:10     Intermediate II (4–5 years experience)
   5:15–6:30     Advanced Intermediate (6 or more years experience and high school or adult beginners)

The fee is $154 for the fall term, Sept. 11 – Dec. 18 ($11/class) or $14 for drop-in. If you are interested, please respond by email, and we will send you the registration form. We look forward to working with you!","CA",7,,"yes",,,"Dance","IndianClassical",,,,,,,,154,"per session","email","n/a","n/a","http://works-exercise.com/image/bk1.jpg","http://works-exercise.com/image/indiandance.jpg",
"Carol Wei Ballet School","http://www.carolweiballet.com/","??","403 32nd Ave","San Fransisco",94121,"(415) 751-9212","Specializing in educating all ages in the art of ballet. Also offers PRIVATE PIANO LESSONS & MANDARIN CHINESE CLASSES
Classes from ages 2 to adult.
Graduates have performed with the San Francisco Ballet.","CA",2,,"yes",,,"Dance","Ballet",,,,,,,,,"??","phone","n/a","n/a","http://www.carolweiballet.com/Backgrounds/title.gif","http://www.carolweiballet.com/Photos/class3.jpg",
"Elevation Dance Studios","http://elevationstudios.com/","elevationstudios@elevationstudios.com","1900 E 27th St,","Signal Hill",90755,"(562) 424-2711","We offer an extensive schedule of technique and Choreography classes for all ages ranging from Beginning through Advanced, along with professional levels.  Classes taught by TOP choreographers and highly trained instructors through out L.A. and Orange County make Elevation Studios “The Place” to take class!","CA",4,,"yes",,,"Dance","Ballet","Tap","Contemporary","Lyrical","HipHop",,,,14,"per class","phone","https://www.facebook.com/ElevationDanceStudios?rf=144365455618673","yes","https://clients.mindbodyonline.com/studios/ElevationStudios/logo.gif?imageversion=44","https://scontent-a-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/10712823_10152488298890679_3792699768852174449_n.jpg?oh=7dd62af1756c9c94c1c8887b26651fb2&oe=54E358A1",
"Menlo Park Academy of Dance","http://mpaod.com/","coleenduncan@comcast.net","805 El Camino Real","Menlo Park",94025,"(650) 323-5292","A stalwart of dance excellence since 1947, Menlo Park Academy of Dance is an accredited Royal Academy school and the recipient of the prestigious Solo Seal Award. The Academy encourages dancers of all ages, shapes and skill levels to pursue their love of dance, and offers a variety of avenues to accomplish that goal, including recreational, competitive and pre-professional tracks. All students are encouraged and nurtured to explore their artistic instincts and to fully realize the joy and beauty that the art of dance brings to our lives and to our world.

An impressive roster of world-class professional instructors share a wealth of experience, passion and range of expertise. With an emphasis on classical ballet technique, the curriculum offers classes in a variety of dance genres. In addition to its year-round schedule, the Academy offers an acclaimed Summer Intensive Program featuring workshops, classes and lectures by special guest instructors.

We are ideally situated in the heart of downtown Menlo Park with easy access to abundant parking and public transportation. All studios are bright with high ceilings, natural light and hand-built, state-of-the-art, sprung dance floors.

Menlo Park Academy of Dance is proud to be the official school of Menlo Park’s only professional ballet company, Menlowe Ballet.","CA",2,,"yes","yes",,"Dance","Ballet","Tap","Contemporary","Lyrical","HipHop","Pointe","Jazz",,66,"per month","online","https://www.facebook.com/MenloParkAcademyOfDance","no","http://mpaod.com/images/logo_wide2.jpg","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10433946_654233234656104_1329918639267774022_n.jpg?oh=40ba88480e3b0f2173eed8330224bff4&oe=5516D991",
"Helen's Dance Studio","http://helendance.com/","h.dancer@brighton.ac.uk","3601 Ocean View Blvd","Glendale",91208,"(818) 957-6282","Helen’s Dance Studio is for students who wish to receive variety of dance training within a professional format. Our classes are designed to meet the needs of students wishing to gain greater appreciation of dance as an art form. Students are guided through age specific movements that increase their physical and artistic abilities.

If you are thinking about providing an opportunity for your child in learning about dance and helping her advance emotionally and physically with this beautiful line of art, this is the right time and place to start. Please contact us for more information on enrollment. Free evaluation is available.","CA",3,,"yes",,,"Dance","Ballet","Tap","Contemporary","Lyrical","HipHop","Jazz",,,50,"per month","phone","n/a","n/a","http://helendance.com/wp-content/uploads/2014/04/cropped-Slide12.jpg","??",
"Fun and Fit Gymnastics Center - Burbank","http://www.funandfit.com/burbank/","infosimi@funandfit.com","1919 W. Burbank Blvd.","Burbank",91506,"(818) 845-0700","The Fun & Fit Gymnastics Centers hold classes for children beginning at 12 months, for boys and girls of all ages, cheerleading classes and are well known for hosting incredible Birthday Parties for kids. Our Demo Teams perform in the community and many have participated in General Gymnastics, performing at Disneyland, Six Flags Magic Mountain, and in parades and other civic events. And our Half-Day Kids Camp provides preschool age children a year round learning/play environment.","CA",1,,"yes","yes","yes",,,,,,,,,,,"??","phone","https://www.facebook.com/funandfitburbank","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/5183_117280671342_6844524_n.jpg?oh=ed7de4116a657bc1c5201f0b2ddc1b41&oe=54D85015","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10704087_10152393431072617_1006207113300096361_n.png?oh=5f5818f96a5cf8ae23c8ac58f4199e00&oe=54D18345","gymnastics"
"Fun and Fit Gymnastics Center - Canyon Country","http://www.funandfit.com/sc/","infosimi@funandfit.com","26620 Valley Center Dr., Unit 108","sSanta Clarita",91351,"661.255.7244","The Fun & Fit Gymnastics Centers hold classes for children beginning at 12 months, for boys and girls of all ages, cheerleading classes and are well known for hosting incredible Birthday Parties for kids. Our Demo Teams perform in the community and many have participated in General Gymnastics, performing at Disneyland, Six Flags Magic Mountain, and in parades and other civic events. And our Half-Day Kids Camp provides preschool age children a year round learning/play environment.","CA",1,,"yes","yes","yes",,,,,,,,,,,"??","phone","https://www.facebook.com/FunandFitSantaClarita","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/5183_117280671342_6844524_n.jpg?oh=ed7de4116a657bc1c5201f0b2ddc1b41&oe=54D85015","https://scontent-b-ord.xx.fbcdn.net/hphotos-frc3/v/t1.0-9/1174671_10151841281176343_80735559_n.jpg?oh=d404bd97e8c9a25f84b60ec51e280abc&oe=54D430D1","gymnastics"
"Rubio's Performing Arts","http://www.rubiosperformingarts.com/","crpproductions@aol.com","237 East Main Street","El Cajon",92020,"(619) 579-6197","variety of classes for many age groups and dance styles","CA",3,,"yes",,,"Dance","Ballet","Tap","Contemporary","Lyrical","HipHop","Jazz",,,55,"per month","phone","https://www.facebook.com/pages/Rubios-Performing-Arts/334022783371580","no","http://static.wixstatic.com/media/c192d1_a86a082991537c421814e6947b98953b.png_srz_p_473_231_75_22_0.50_1.20_0.00_png_srz","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/p417x417/542787_334026756704516_1191655020_n.jpg?oh=4018c79515804ac8e73090e90af488ee&oe=552072D5&__gda__=1427274336_9e8c1c01e9c30c55f8a5690bc916b6b8",
"Anna Cheselka Dance Center","http://annacheselkadance.com/","??","12445 Moorpark St","Studio City",91604,"(818) 769-0566","Founded in 1967 by Anna Cheselka and her husband Alex Rodine,
Anna Cheslka Dance Center has a long tradition of enriching the dance experience.  Now run by the founders daughter, Anna Bentley, it is a place where dancers of all levels, abilities, ages, shapes and sizes can come together to dance, learn, and enjoy the art of ballet.  

The faculty is truly encouraging and professional.  Different instructors provide a variety of styles and levels.  Children, teens and adults, male and female dancers are all welcome to study here.

Classes available day and evening.  Check out the class schedule and come in to try a class soon.  Private instruction also available upon request.","CA",7,,"yes",,,"Dance","Ballet","Pointe",,,,,,,17,"per class","phone","https://www.facebook.com/pages/Anna-Cheselka-Dance-Center/119463983483","no","??","https://scontent-b-ord.xx.fbcdn.net/hphotos-frc3/v/t1.0-9/7437_10152285201593484_1505864134_n.jpg?oh=73b1a4b068f318dbe0adac116cb518b7&oe=54DFC1C8",
"Beyond the Beat Dance Studio","http://btbdance.biz/","BTBdanceStudio@gmail.com","41990 Cook Street #D401","Palm Desert",92211,"760-340-0342","As a center for dance, BTB is structured to accommodate children as well as adult students. All classes are taught by instructors with extensive background in the Performing arts with a shared goal of bringing out the best in each student. At BTB, we feel that dance is a creative outlet that also enhances discipline while building character and increasing self-esteem. We attribute our growth and success to high expectations, dedication and commitment. While providing a positive and productive learning environment, we encourage parents as well as students of all ages to get involved by asking questions and sharing new ideas and opportunities. Working together, we can help our dancers grow to become positive forces in the community. We are all connected here at BTB....young and older, expert and not. So please come and experience the joy of dance. We hope you will come join us.","CA",3,,"yes","yes",,"Dance","Ballet","Jazz","Contemporary","HipHop","Lyrical","Voice","Tap","Drama/Theater",55,"per month","phone","https://www.facebook.com/btbdancestudio","no","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/308926_333013190125660_795478033_n.jpg?oh=99ce2d94b7abbaff3341fa03548122f0&oe=550C6A68&__gda__=1424029393_7e9c2eea208c6b0ee5cac8e423079459","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/1947727_599802583446718_587365548_n.jpg?oh=6984831674f7997f016172b3f5cb3931&oe=54DEB842",
"Strut Performing Arts","http://www.strutperformingarts.com/","info@strutstudioofdance.com","513 Glass Ln # 4B","Modesto",95356,"(209) 521-6683","At STRUT, students are immersed in dance.  We promote growth and a well-rounded dance experience by offering Pre- Dance, Pointe, Ballet, Tap, Jazz, Hip Hop, and Breaking to name just a few.  Beyond the offerings of most dance institutions, STRUT inspires our students to further their dance experience and community involvement. We will help prepare them for auditions, collegiate dance programs, stage productions, in becoming dance educators, and in maintaining healthy and active lifestyles. We want our students to succeed and to enhance the community while doing so!  We strive to increase support and public awareness of the positive effect dance plays in the community. We hope to create opportunities for dancers and earn public recognition for the beauty of professional dance. This is our mandate.","CA",,,"yes",,"yes","Dance","Ballet","Jazz","Breakdance","HipHop","Pointe","Tap",,,,"??","phone","https://www.facebook.com/pages/Strut-Studio-of-Dance/106905415995418?fref=ts","yes","https://scontent-b-ord.xx.fbcdn.net/hphotos-ash2/v/t1.0-9/1521878_709052585780695_615815772_n.jpg?oh=e8ca385d3999fbd5584eb89b4fdcd22d&oe=551EEF04","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10169302_766315483387738_3116091503211400595_n.jpg?oh=d127a059a17fbd1e36b14dcd092a120f&oe=550E1CF4&__gda__=1427507614_14aadd87ad244b9a34cc1bacd453a272",
"Patsy Metzger Dancers/Debbie Reynolds Dance Studio","http://www.patsymetzger.com/classes.html
http://www.drdancestudio.com/","??","6514 Lankershim Blvd","North Hollywood",91606,"818.985.3193","We offer a comfortable, yet professional environment for dancers of all levels from beginning to advanced, from child and teen, to adult classes in ballet, jazz, tap and hip-hop.Located at Debbie Reynolds Dance Studio & Eagle Rock Dance Center","CA",6,,"yes",,,"Dance","Ballet","Jazz","Tap","HipHop",,,,,55,"per month","phone","https://www.facebook.com/patsymetzgerdancers
https://www.facebook.com/drdancestudio","yes","http://www.patsymetzger.com/logobar.jpg","http://www.patsymetzger.com/RECITAL2008/Rhythm13.jpg",
"Son Dance Christian Dance School","http://www.sondance.org/sondance.org/Welcome.html","Jolynda Lyon, Director - Jolynda@SONdance.org","612 Commerce Ct","Manteca",95336,"(209) 823-1740","SONdance Christian Dance School is located in Manteca, CA and offers classical ballet, jazz, modern, worship, pageantry classes to anyone who wishes to use their talents to worship God.","CA",3,,"yes",,,"Dance","Ballet","Jazz","HipHop",,,,,,,"??","phone","https://www.facebook.com/pages/SONdance-Christian-Dance-School/174856129095","no","http://www.sondance.org/sondance.org/Welcome_files/shapeimage_28.png","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-prn1/v/t1.0-9/1916460_174860244095_1923134_n.jpg?oh=88334b3b40e6be73d2392ddcb2d06759&oe=54D3814E&__gda__=1423357798_1c9eff02334a631be634099049212ba8",
"Fossemalle Dance Studios","http://fossemalledancestudio.com/index.html","fossmalledance@gmail.com","3595 Numancia St","Santa Ynez",93460,"(805) 688-8494","Ballet, Jazz and Hiphop for many age groups and dance styles","CA",,,"yes",,,"Dance","Ballet","Jazz","HipHop",,,,,,52,"per month","phone","n/a","n/a","http://fossemalledancestudio.com/images/home1.gif","??",
