"provider_name","website","email","street_address","city","state","Zipcode","phone","description","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","NOTES","Hot Lead"
"Ariel's Dance Studio","http://www.arielsdance.com/","arielsdancestudio@gmail.com","1743 South Coast Hwy.","Oceanside","CA",92054,"760.722.7021","Welcome to Ariel’s Dance Studio! We have a passion and love for dance and we pass this on to our students through a variety of dance classes including: Ballet, Tap, Jazz, Hip Hop, Lyrical, Contemporary and More! Our family-owned business has been serving North County for over 20 years.",3,99,"Yes","No","Yes","Dance","Ballet","Tap","Jazz","HipHop","Contemporary","Lyrical","Latin",,,,48,"Per_month","Studio Director","https://www.facebook.com/pages/Ariels-Dance-Studio/116823118350942","Yes","http://www.arielsdance.com/wp-content/themes/Ariels-Dance-Theme/images/colorLogo.jpg","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10348385_900026296697283_4956426576086533198_n.jpg?oh=2d95fd2196497abbd48a4e7aee4b54fb&oe=54DAFA93&__gda__=1427214891_4ce5becb7438ca5be3dc583b78e3cbce",,
"Dance Star Malibu","http://dancestarmalibu.com/","DanceStarMalibu@Gmail.com","3939 Cross Creek Road Suite D230","Malibu","CA",90265,"310-456-3377","If you love to dance, be a Star! We offer classes in ballet, tap, jazz, hip-hop, and voice for ages 2 and up. We also offer birthday party packages!",2,18,"Yes","No","Yes","Dance","Ballet","Tap","Jazz","HipHop","Voice",,,,,,,,"Phone or email","https://www.facebook.com/pages/Dance-Star-Malibu/198650493271","No","http://dancestarmalibu.com/wp-content/uploads/2014/01/Logo2014-0611.png","https://scontent-a.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/1926939_10152647170918272_1098915626_n.jpg?oh=2693adddaf052cd6eb9d31762572b49a&oe=54D39567","no pricing info on site","Yes"
"Degas Dance Studio","http://degasdancestudio.com/","info@degasdancestudio.com","17247 Ventura Blvd.","Encinco","CA",91316,"(818) 528-3414","Degas Dance studio is dedicated to instructing, educating and inspiring children to advanced professional performers in the ART of DANCE. Degas Dance Studio is a performance career oriented studio with pre-professional opportunities for kids and continues through to an adult professional dance company.  Degas also offers recreational dance classes for ages 3 - teen.  We proudly maintain the highest level of industry standards in the LA marketplace and access to the people and tools the students need to achieve their goals and dreams. The studio offers classes, in jazz, ballet, tap, hip-hop, contemporary, lyrical, cultural studies, exercise, choreographer and industry workshops and 4 resident performing groups including resident Adult professional company ACFCLA – Artist Community For Change Los Angeles Dance Co.  Degas Dance Studio also offers professional headshots, dance pictures, instructional videos, birthday parties and a supportive space and community for students and directors to showcase and create new work.",3,99,"Yes","Yes","Yes","Dance","Ballet","Tap","Jazz","HipHop","Pointe","Voice","Acting",,,,20,"Per_class","Studio Director","https://www.facebook.com/pages/Degas-Dance-Studio/276480770487?fref=ts","Yes","http://degasdancestudio.com/rw_common/images/DegasDanceStudio_v3.png","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/227082_10152430815650488_6241260974491205105_n.jpg?oh=1b8d0d1a7b92c02fb492f577f8d1ec4b&oe=54D2B031&__gda__=1423884013_bba53580d6302262e719cec7efa31441",,
"The Dance Studio","http://www.thedancestudio.bz/","info@TheDanceStudio.bz","20570 Town Center Lane","Cupertino","CA",95014,"408.996.9668","The Dance Studio is proud to present its unique and complete dance program for kids and adults of all ages! Under the direction of Debbie Wu and a team of exceptionally talented instructors, it provides classes designed to develop self-confidence, discipline, and explore self-expression.",4,99,"Yes","No","No","Dance","Ballet","Pointe","Bollywood",,,,,,,,,,,"https://www.facebook.com/Studio10Dance?rf=123107411079479","Yes","http://www.thedancestudio.bz/images/Studio%20logo.jpg","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10641004_10152693183457453_1910032943894435919_n.jpg?oh=9360c822ce19ace27219f784dc5f7fb1&oe=55077F46&__gda__=1423418795_c577b51be142e2ab703f46f0824aaca6","Currently known as Studio 10? no pricing info on site","Yes"
"Corona Dance Studio","http://www.coronadancestudio.com/",,"240 W. Whittier Bl.","La Habra","CA",90631,"(562) 697-5757","Dance is an expression through music and movement... it can represent the heritage of a people in the telling of a story through the dancer's movement and appearance. I believe that through dance, we not only understand ourselves, but the traditions and cultures of a people. Our dance lessons are tailored from age three through adult. We offer dance lessons in Folklorico, Belly Dancing, and other styles.",3,99,"Yes","No","No","Dance","Ballet","Jazz","HipHop","Latin",,,,,,,25,"Per_month","Phone","https://www.facebook.com/pages/Corona-Dance-Studio/101631429875510","No","N/A","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/p417x417/1425778_625374834167831_500769286_n.jpg?oh=1c1b05b4f8fb4389eb8ee6052d9db1eb&oe=54D28625&__gda__=1427444391_8b3b131550e9e0fac1d671ceb4686d81",,"Yes"
"California Ballet School","http://californiaballetschool.org/",,"4819 Ronson Court","La Mesa","CA",92111,"(858)560-5676","San Diego’s California Ballet School offers the finest curriculum of professionally staffed ballet classes in San Diego. Classes range from beginning ballet, to intermediate ballet, to pre-professional and advanced ballet classes. Students receive the best ballet training by experienced faculty members in spacious dance studios. Classes are accompanied by a live pianist, providing a fluid dance experience. Our San Diego ballet classes start at age two and go up through adult.  In addition to our extensive ballet program, California Ballet offers a variety of other dance classes across San Diego including jazz classes, youth and teen hip-hop classes, tap dance classes, and ongoing workshops on other dance forms such as flamenco, contemporary dance, and more.",2,99,"Yes","Yes","No","Dance","Ballet","Tap","Jazz","HipHop","Latin",,,,,,10,"Per_class","JackRabbit","https://www.facebook.com/CABalletSchool","Yes","http://californiaballetschool.org/wp-content/uploads/2012/10/logo.png","http://californiaballetschool.com/wp-content/uploads/2013/01/Leila-attitude-small.jpg",,
"Onstage Dance Center","http://onstagedance.com/",,"12912 Paramount Blvd.","Downey","CA",90242,"(562) 869-5001","Onstage Dance Company was founded in 1995 to create the ultimate performing arts environment aimed at making any child's experience educational, positive and meaningful. We encourage good sportsmanship and positive participation, all while keeping the arts in perspective. Onstage Dance Center believes that dance is essential to every child's development. They will learn balance, strength, grace, commitment and determination that will help them become successful in whatever they choose to do. Our goal is to provide quality training and education in the art of dance for every child who walks through our doors.",3,18,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Lyrical",,,"Tumbling",,,,,,"https://www.facebook.com/pages/Onstage-Dance-Center/117150721640996","Yes","N/A","http://onstagedance.com/assets/img/index/slideshow/main_0.jpg","No pricing info on site","Yes"
"Triple Threat Performing Arts","http://www.triplethreatpa.com/",,"315 Wright Brothers Avenue","Livermore","CA",94551,"(925) 443-5272","Triple Threat Performing Arts is a place where students of all ages and levels learn everything from ballet, jazz, tap, hip hop, lyrical, and contemporary, as well as acting, voice and music training. These are all the ""tools"" a student needs to become a true ""Triple Threat."" Our goal is to offer the best training in the Bay Area at every level, from recreational to advanced, from 2 years old to 102 years old, at Triple Threat Performing Arts it is our mission to provide our students with the knowledge, appreciation and skills to enjoy dance, music and drama for a lifetime.",2,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Contemporary","Voice",,,,,49,"Per_month","PDF","https://www.facebook.com/triplethreatpa?ref=ts","N/A","http://www.triplethreatpa.com/includes/images/ttpa_dance_01.png","http://www.triplethreatpa.com/includes/images/IMG_1952.JPG",,"Yes"
"Castro Valley Performing Arts","http://www.castrovalleyperformingarts.com/","questions@castrovalleyperformingarts.com","3575 Somerset Ave.","Castro Valley","CA",94546,"510-581-3262","The purpose of our school is to provide every student with the attitude, technique, self-discipline and experience to excel in their field of study. Many students study the arts to have fun, enrich themselves and keep physically fit. It is our hope and objective that every student develops self-confidence, self-respect and a high self-esteem. Our goals are to provide the most professional and highest quality training on every individual level as well as to develop a love for the arts.  Our teaching philosophy stresses politeness, consideration and respect towards others as well as developing camaraderie with fellow students. We offer Tap, Jazz, Ballet, Lyrical, Hip-Hop, Tumbling and Musical Theater for children and adults of all technical levels from beginners to the advanced. Group, private and semi-private classes are available.",3,99,"Yes","No","Yes","Dance","Ballet","Tap","Jazz","HipHop","Lyrical",,,"Tumbling",,,45,"Per_month","PDF","N/A","N/A","http://www.castrovalleyperformingarts.com/images/cvpalogo.jpg",,"No usable pics on website and no fb page","Yes"
"Dance Arts Academy","http://danceartsacademy.com/","info.danceartsacademy@gmail.com","731 South La Brea Avenue","Los Angeles","CA",90036,"(323) 932-6230","Welcome to Dance Arts Academy! Located in the heart of Los Angeles' mid-Wilshire district, Dance Arts Academy offers professional quality dance training and performing opportunities, to students of all ages and levels of experience. We offerBallet for youth and adults, Hip Hop, Tap, Modern, Flamenco, Afro-Brazilian, Irish Step, Jazz and more.",3,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Bollywood","Latin",,,,,15,"Per_class","In person","https://www.facebook.com/pages/Dance-Arts-Academy/128431163875054","No","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/c25.0.160.160/p160x160/1378677_815068195211344_5638543187311160377_n.jpg?oh=669a7b983bcb6c3835b77ec5961b4e64&oe=54DBEAC2&__gda__=1426496597_57965e908327962e42420cbdd38bfadb",,"No usable pics on website or fb page","Yes"
"Peninsula Ballet Theatre","http://www.peninsulaballet.org/","lhuntley@peninsulaballet.org","1880 S. Grant Street,","San Mateo","CA",94401,"(650) 342-3262","Peninsula Ballet Theatre is a professional, performing dance company that offers professional track training, recreational dance, fitness classes and musical theatre training. All in our huge five-studio facility. Peninsula Ballet Theatre provides dance training for those who want to concentrate on Ballet and for those who have a love of several dance genres. Our Conservatory of dance offers dance lessons for adults, teens and children. Disciplines include: Ballet, Pointe, Jazz, Hip-Hop, Ballroom, Tap, and Flamenco. We also offer Performing Arts Camps for Kids.",2,99,"Yes","Yes","No","Dance","Ballet","Tap","Jazz","HipHop","Latin",,,,,,608,"Per_year","The Studio Director","https://www.facebook.com/PeninsulaBalletTheatre","Yes","http://peninsulaballet.org/wp-content/uploads/2011/10/pbt-logo-long.gif","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xpa1/t31.0-8/s960x960/10533840_746586378718502_635474155823035289_o.jpg",,
"Urban Edge Dance Company","http://www.urbanedgedance.com/","INFO@URBANEDGEDANCE.COM","11398 KENYON WAY SUITE ""E""","Alta Loma","CA",91701,"909.466.1020","Urban Edge Dance Co. exists to inspire every dance enthusiast and to ignite their creative energy and fire of dreams.  We are here to help lift up the  essence of humanity and create a world of interconnection and unity.   Since opening in February 2010, we have been dedicated to bringing quality and affordable dance instruction to Rancho Cucamonga and its neighboring communities.   It is our main goal to provide dance instruction in high quality standards.  Urban Edge is not only a studio of creativity and inspiration. It has become a home for all dancers. We hope that you can find this studio a place where you can be a part of and rely on for quality  dance training.",3,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Lyrical","Contemporary",,,,,50,"Per_month","unclear","https://www.facebook.com/URBANEDGEDANCECO","No","https://scontent-a.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10563021_10152208400222352_7713056337663268358_n.jpg?oh=eec398b0e6c97881d0b3ba95faf474c8&oe=55168D9F","http://www.urbanedgedance.com/images/albums/NewAlbum_0b2a5/tn_1200_abc6d79e7330393ba30bf3f4f4f3b602.jpg.png",,"Yes"
"Love 2 Dance","http://www.love2dance.biz/","love2dance.biz@hotmail.com","830 Sweetser Ave. Suite A","Novato","CA",94945,"(415) 898-3933","Love2Dance is a positive upbeat dance studio that strives to break down stereotypical images & barriers that often surround the world of dance. We are building a dance community that is open to everyone of all ages & levels regardless of experience. The only requirements are passion for music & movement and the desire for self-improvement through the art of dance.",2,99,"Yes","Yes","Yes","Dance","Ballet","Tap","Jazz","HipHop","Lyrical","Contemporary","Breakdance","Acrobatics",,,58,"Per_month","The Studio Director","https://www.facebook.com/pages/Love2Dance-Novato/326365973982","Yes","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c26.0.160.160/p160x160/10364066_10152306220138983_2239413382381769461_n.jpg?oh=5c8750da4b1adc3b1e601e68762d5f31&oe=550B1C6D&__gda__=1423765064_cd32b5acf46e1a09605827a6cc26fd00","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-prn2/v/t1.0-9/p417x417/537350_10151250562098983_1979476284_n.jpg?oh=7a835fc48943c0d884eac7ae708fcf88&oe=54D67B6C&__gda__=1423320214_e7ff8bdc995d43d7c090789579befdd0",,
"And Dance","http://www.anddance.com/","info@anddance.com","13417 Pumice Street","Norwalk","CA",90650,"(866) 602-9919","Come visit us at And Dance, located in Norwalk, California, for a fun and exciting dance studio that offers dance classes for children and adults. We feature Zumba® fitness classes, tap dance, hip hop dance, and also tumbling classes in Norwalk, CA. The And Dance Performance Company is an intensive program for dancers who have the desire to take their skills to the next level. Company dancers and their parents represent the dance studio throughout the year in various competitive and community events.",2.5,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Lyrical","Contemporary","Pointe","Tumbling",,,50,"Per_month","Phone/Email","https://www.facebook.com/pages/And-Dance/116311375082870","No","N/A","http://www.anddance.com/image/56531394.jpg",,"Yes"
"Westminster Performing Arts","http://www.wespacdance.com/","wespacdance@gmail.com","5915 Westminster Blvd.","Westminster","CA",92683,"(714) 893-2623","WESPAC offers a variety of dance styles including hip hop, jazz, ballet, tap, hula, tumbling and belly dancing with competition and performing groups available by audition. All of the students get an opportunity to perform at the annual recital and OC Fair. We also offer privates in salsa and swing as well as choreography for weddings, quinceaZeras and sweet sixteens. We will be offering master classes on Tuesday nights in all styles of dance including a triple threat class in acting, singing and dance.",2,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Contemporary","Latin",,"Tumbling",,,48,"Per_month","PDF","https://www.facebook.com/pages/Wespac-Dance/206218369487798","No","N/A","https://scontent-b.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/1620855_609325369177094_5886739840877720196_n.jpg?oh=f55ceda02160b1bbf1a071599effb766&oe=54D52CBC",,"Yes"
"Tutu School","http://www.tutuschoollarkspur.com/","info@tutuschoollarkspur.com","2201 Larkspur Landing Circle","Larkspur","CA",94939,"415.419.5610","The founding principle of Tutu School is that every child should know what it feels like to dance to the strains of Tchaikovsky and bach, that motor skill develoment is infinitely enhanced by moving like a bunny rabbit, a dolphin, or a horse, and that young imaginations benefit immensely from exploring the enchanged worlds of swans and sugar plum, of firebirds and fairies.  We not only focus on teaching children age-appropriate motor skills and the fundamental principles of ballet, but also expose them to the world of classical music and the enchanting stories of famous ballets. Every aspect of our curriculum has been carefully crafted for each division of little dancers, and our faculty is unparalleled in its quality and devotion to what we do. Come and see for yourself what makes Tutu School such a magical place to be.",1.5,8,"Yes","Yes","Yes","Dance","Ballet",,,,,,,,,,185,"Per_session","onsite registration","https://www.facebook.com/TutuSchoolLarkspur","No","http://www.tutuschoollarkspur.com/images/tutu-school-logo.jpg","https://scontent-b.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/10374505_809635795748656_8319321684493140719_n.jpg?oh=d8096ffd391e5837420cfe823966ff0f&oe=550D57C2",,
"MG Dance Studio","http://www.mgdancestudio.com/","info@mgdancestudio.com","11635 Valley BLVD.","El Monte","CA",91732,"(626) 277 6803","We offer dance lessons for all levels of dancers and all ages accepted. In addition to Ballet, Jazz and Hip Hop, We have dance lessons on Salsa, Bachata, Merengue and Cumbia. We also offer classes on Dance Cardio which is a fun and healthy way to stay fit and have a great time dancing.",3,99,"Yes","No","Yes","Dance","Ballet","Jazz","HipHop","Latin",,,,,,,50,"Per_month","Phone/Email","https://www.facebook.com/pages/Mg-Dance-Studio/403569309724070","N/A",,"http://nebula.wsimg.com/1a958d6ddbb67ed650bd552afdbf3803?AccessKeyId=3B7F55C6B5F383A2FFA9&disposition=0&alloworigin=1",,"Yes"
"1na Dance","http://www.1nadance.com/","info@1nadance.com","367 So. Diamond Bar Blvd","Diamond Bar","CA",91765,"909.869.7892","Since 1991, 1na Dance Studio has been successful in teaching students of all ages the magic of dance. We offer Ballet, Tap, Jazz, Hip Hop, and more for ages 15 months to adults.",1.5,99,"Yes","Yes","No","Dance","Ballet","Tap","Jazz","HipHop","Pointe",,,,,,50,"Per_month","Phone/Email","https://www.facebook.com/1nadance","No",,"https://scontent-b.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/1000416_636955982999558_1342147248_n.jpg?oh=ab49d18fd7bceef9f318769a603b3736&oe=54D9D328",,"Yes"
"Piedmont Ballet","http://piedmontballet.com/",,"1333 Grand Ave","Piedmont","CA",94610,"(510) 658-6166","At Piedmont Ballet Academy we offer classes for ages 4 to adult in Ballet, Pointe and Contemporary Dance.",4,99,"Yes","No","No","Dance","Ballet","Pointe","Contemporary",,,,,,,,270,"Per_session","Phone","https://www.facebook.com/pages/Piedmont-Ballet-Academy/128718470546248","N/A","http://piedmontballet.com/wp-content/uploads/2014/05/Piedmont-Ballet-logo-273x300_vectorized2.png",,"No usable pics on site or FB","Yes"
"Dancers In Motion","http://dancersinmotion.org/","Info@DancersInMotion.Org","1525 Mesa Verde Dr. E., Ste. 215","Costa Mesa","CA",92626,"714-434-7677","Dancers In Motion welcomes students of all ages and abilities. Our studio was founded in 1992 in the city of Costa Mesa. Dancers In Motion provides each student with a well rounded program of technique, discipline and fun. All of our instructors are committed to ensuring each student achieves their own personal best and develops to their full potential. We encourage all of our students to participate in our annual recital; as well as community events throughout Orange County. Dancers In Motion offers the finest dance classes in; ballet, pointe, lyrical, jazz and tap. We also offer special summer programs in Musical Theater, Gymnastics, Conditioning, Turn and Jump and Dance for the Hearing Impaired. Classes are available for children 3 years thru adults. We offer classes for beginners thru advanced and professional levels. Whether you want to dance for fun or competitively we have an exciting program for everyone.",3,99,"Yes","Yes","No","Dance","Ballet","Tap","Jazz","Lyrical","Pointe",,"Acting","Gymnastics",,,125,"Per_session","Paypal","https://www.facebook.com/DancersInMotionDanceStudio","No","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-frc3/v/t1.0-1/c19.0.160.160/p160x160/536662_502434849818174_1216463978_n.jpg?oh=c956673e8186a0cef625eb21a0c8c5fc&oe=5503ABD8&__gda__=1426338561_ad7a6ff7687bddac91ce21e49d477f79","https://scontent-a.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10731110_777857288942594_6162759062535287601_n.jpg?oh=7bc4db88844ac12a5a9d7bba1818aca5&oe=550C2A4C",,
"Royal Dance Academy","http://www.royaldanceacademy.com/","fg@royaldanceacademy.com","3880 Valley Centre Drive, Suite 201","San Diego","CA",92130,"(858) 350-9770","Since 2001 R.D.A. has provided a dance education to over 3000 dancers. For children 18 months through to college age, R.D.A. has been a ‘home’ for these young dancers. R.D.A. is respected as producing the most outstanding, entertaining and professionally choreographed dance recital on an annual basis, showcased at a professional theatre.",1.5,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Pointe","Lyrical","Contemporary","Acrobatics",,,,,"JackRabbit","https://www.facebook.com/royaldanceacademy.sandiego","No","http://www.royaldanceacademy.com/images/logo.png","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/10625158_737417379679022_5645083392807525840_n.jpg?oh=4f2caadbc6bb6f4004e25c5a6678951d&oe=54D3BC05&__gda__=1426623924_4ed1cd1db0deae7932a299e287caa543","No pricing info on site",
"Dance Dance Dance Studio","http://www.dance-dance-dance.com/","info@dance-dance-dance.com","19300 Rinaldi St., Ste. C","Porter Rance","CA",91326,"(818) 832-0632","We at DANCE, DANCE, DANCE STUDIO are here to provide our students with professional training in Tap, Ballet, Pointe, Jazz, Lyrical, Hip Hop, Combo, and Broadway Dancing styles of dance. We are committed to giving our students a well-rounded experience in an atmosphere of fun while learning self-confidence and poise.",3,99,"Yes","Yes","Yes","Dance","Ballet","Drama/Theater","Jazz","HipHop","Pointe","Lyrical",,,,,45,"Per_month","unclear","https://www.facebook.com/pages/Dance-Dance-Dance-Studio/138611592872842","No","http://www.dance-dance-dance.com/images/logo_trans2.jpg","http://www.dance-dance-dance.com/images/4.JPG",,"Yes"
"Rhythms Elite Academy of Dance","http://www.rhythmselite.com/","info@rhythmselite.com","1460 E. Cotati Ave. Unit H","Rohnert Park","CA",94928,"(707) 664-8275","Rhythms Elite first opened our doors to bring the art and love of dance and music to Sonoma County in June of 2005. Founded by Lyndsay and Matthew Roark the very heart of Rhythms Elite was born. Since then, our goal was to provide a full service Academy of the Arts for the local community that could take students beyond the four walls of a dance room.   Our unique syllabus program ensures a step by step plan to build a strong foundation and love for dance.  We work patiently with our young dancers to introduce the disciplines that are needed while creating a very fun and imaginative place to dance. As our students progress we continue to develop and encourage the techniques  of required skills while maintaining a place of  mentorship and encouragement .",1.5,18,"Yes","Yes","No","Dance","Ballet","Tap","Jazz","HipHop","Contemporary",,,,,,60,"Per_month","Phone/Email","https://www.facebook.com/pages/Rhythms-Elite-Academy-of-Dance/151647736416","No","http://rhythmselite.tripod.com/webonmediacontents/1206190.jpg?1415127194102","http://rhythmselite.tripod.com/webonmediacontents/DSCF2540.JPG?1407129556101","http://rhythmselite.tripod.com/webonmediacontents/DSCF2540.JPG?1407129556101","Yes"
"Precision Dance Center","http://www.precisiondancecenter.net/","precisiondancecenter@yahoo.com","204 Lincoln Street","Roseville","CA",95678,"916-532-7699","Precision Dance Center offers classes in Tap, Jazz, Ballet, Pre-Pointe, Lyrical, Contemporary, Technique, Hip Hop, Acro, Musical Theater, and Conditioning. Our studio welcomes dancers age 2 to adults, at the beginning to advanced levels. We take pride in providing quality dance instruction at an affordable price. We offer both competition and recreational classes to all ages. Our program strives to promote confidence and self-esteem within the students while providing family-oriented entertainment.",2,99,"Yes","Yes","Yes","Dance","Ballet","Tap","Jazz","HipHop","Contemporary","Lyrical","Pointe","Acrobatics",,,30,"Per_month","Onsite Cart","https://www.facebook.com/PrecisionDanceCenter","No","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/c23.0.160.160/p160x160/993911_10151717995622430_1591230167_n.jpg?oh=aa7c911242ecd8124afa10dd14391164&oe=5505464D&__gda__=1426806853_71b9fe920df4970f137167b7d5cffde7","https://scontent-a.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1230004_10151857338082430_2066763008_n.jpg?oh=5aa85c0a2435fbadab2a0a82ed11129f&oe=54D5185C",,
"Ruby Slipper Performing Arts Academy","http://rubyslipperpaa.com/",,"113 S. Willis","Visalia","CA",93291,"(559) 732-7463","The Ruby Slipper PAA offers dance technique, musical theatre experience, dramatic acting, and vocal training. We have designed our program to build well rounded students, which makes them very balanced performers.  We teach all ages from 3 years old to 18.",3,18,"Yes","No","No","Dance","Ballet","Jazz","Lyrical","Voice",,,,,,,48,"Per_month","JackRabbit","https://www.facebook.com/rubyslipperpaa","Yes","http://rubyslipperpaa.com/templates/js_mondrian_free/images/logo.png","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/1505239_865252476840878_3625122858249909230_n.jpg?oh=7edea46900cb95acf56dd2cf1d2b977a&oe=54D35CE0&__gda__=1427295646_cf3089b707f30936c9f395f1c7294338",,
"Luv 2 Dance","http://www.luv2dancemodesto.com/","www.luv2danceonline@gmail.com","3604 Oakdale Rd","Modesto","CA",95357,"209-551-3000","Luv2Dance offers classes in Hip Hop, Tap, Breakdancing and Fitness for ages 3 to adult.",3,99,"Yes","No","No","Dance","HipHop","Tap","Breakdance",,,,,,,,,,"unclear","https://www.facebook.com/pages/Luv2Dance/129266907109239","No","N/A","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/1377419_587730254596233_397667033_n.jpg?oh=75f2efdb1c3cb3e93e69efbc6db65ac3&oe=550337D0&__gda__=1428001113_2d2352b9eff30e13c098d30263f08783","no pricing info on site","Yes"
"Ballet Academy Ventura","http://balletacademyventura.com/","info@venturacountyballet.com","505 Poli Street, Suite 402","Ventura","CA",93001,"805-648-2080","We at Ballet Academy Ventura pride ourselves in a warm and loving environment created for our students. Instructors are readily available to parents and students for information about class progress. All students feel free to visit with their teachers before class begins. Students are important! We are here to educate the whole child. Their spirit must be lifted by their experience with us, we strive to build self-confidence, love of ballet as an art form, and to prepare the students for learning throughout their lives. We want to develop the student in a healthy and loving way.",3.5,18,"Yes","Yes","No","Dance","Ballet","Pointe","Lyrical","Contemporary",,,,,,,,,"unclear","https://www.facebook.com/pages/Ballet-Academy-Ventura/150630751644696","No","http://balletacademyventura.com/wp-content/uploads/2014/08/BAV-logo-outlines.jpg","https://scontent-b.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10404405_777354608972304_5141238268605401062_n.jpg?oh=68c919d6d189c9cac7ce8ee2d11a4934&oe=551126FC","no pricing info on site","Yes"
"Signature Dance Academy","http://www.signaturedanceacademy.com/","Info@signaturedanceacademy.com","13150 Poway Rd","Poway","CA",92064,"(858)668-8744","At Signature Dance Academy we offer classes from ages 3 on up. We offer Ballet, Tap, Jazz, Lyrical/Contempory, and Cheer Dance.",3,99,"Yes","Yes","No","Dance","Ballet","Tap","Jazz","Lyrical","Contemporary",,,,,,68,"Per_month","JackRabbit","https://www.facebook.com/SignatureDanceAcademy","Yes","http://www.signaturedanceacademy.com/logo3130068_lg_1_.jpg","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/72767_10151552637503377_2056425065_n.jpg?oh=801c23160d021f1a2288a05d53756d97&oe=550710AC&__gda__=1423422085_098e222913d01eb04566c3786bdaa1b1",,
"CK Dance","http://www.ckdanceps.com/","Ckdanceps@aol.com","820 Research Drive, Suite #10","Palm Springs","CA",92262,"(760) 992-5678","CK Dance is a local dance studio catering to the dance needs of all interests. From ballet to Hip Hop, our programs and classes are designed to inspire dancers young and old. We also perform throughout the year as a way to keep the tradition of ballet alive, and to showcase our dancers. Our performances have received numerous recognitions and awards.",3,99,"Yes","No","No","Dance","Ballet","Jazz","Pointe","HipHop","Contemporary",,,,,,,,"Phone/Email","https://www.facebook.com/pages/CK-Dance/144036262307039","N/A","N/A","N/A","No pricing info on site, no usable pics on site or fb page","Yes"
"El Cerrito Ballet Center","http://www.elcerritoballet.com/","director@elcerritoballet.com","6712 Portola Drive","El Cerrito","CA",94530,"510-235-1734","The El Cerrito Ballet Center offers classical ballet training based on the Royal Academy of Dance syllabus. The Royal Academy of Dance, London, England, has provided teacher training and student examinations for classical ballet since 1920, and its syllabus is taught in more than 50 countries. Current Director, Barbara Gabriel, has passed Royal Academy of Dance Children's and Professional level examinations. She has been a teaching member of the Royal Academy since 1970. In 1979, after five years of performing with the regional ballet company Dancer's Repertory Theatre, she became director of the El Cerrito Ballet Center, taking over for June Boblitt, who founded the Center in 1957.",3.5,99,"Yes","No","No","Dance","Ballet","Pointe",,,,,,,,,648,"Per_year","In person/mail","https://www.facebook.com/pages/El-Cerrito-Ballet-Center/131837500195682","No","http://www.elcerritoballet.com/image/smallerlogo.gif","http://www.elcerritoballet.com/image/DSC_1333%202.JPG",,"Yes"
