"provider_name","website","email","street_address","city","Zipcode","Metro Area","Sales agent","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Notes","Hot lead"
"The Art Studio","http://theartstudio.us/place/",,"6450 Westminster BLVD","Westminster",92683,"SoCal","Jeana","(714) 899-6001","The Art Studio began in 1997 with one of our principles being that art is more than making wonderful images. We believe an art education is an inner experience for the artist that is wondrous, positive and often times healing. The Art Studio offers art students a noncompetitive creative environment wher learning creative expression fosters self-esteem. The Art Studio’s children classes allow the child to develop his or her natural talents in a safe, non-competitive and attentive setting. Each class is offered on a weekly basis and designed to encourage students to explore their own creative interests, building a knowledge base for materials and technical applications, while creating an imaginative experience.","CA",7,99,"Yes","Yes","Yes","Drawing and Painting","Sculpture",,,,,,,,29,"Per class","Paypal","https://www.facebook.com/TheArtStudioOC","Yes",,"http://theartstudio.us/place/wp-content/uploads/2013/08/campSummer2013-750x350.jpg",,,,,
"Mission Renaissance","http://fineartclasses.com",,"3055 Overland Ave","Los Angeles",90034,"SoCal","Jeana","(310) 838-2235","At all of our art studios throughout Southern California, we teach the same traditional fundamentals used by the Great Masters, but in a dramatically new and effective way. Refined over three decades, we have established a proven, step-by-step art instruction method, called The Gluck Method, whereby anyone of any age can learn to draw and paint beautifully. We break down the classic techniques of the Great Masters, and convey them to our students with an exact approach. The results speak for themselves – our students routinely realize their aims in creating works of fine art of which they can be proud.","CA",5,99,"Yes","Yes","No","Drawing and Painting",,,,,,,,,,"None listed","Call or email","https://www.facebook.com/pages/Mission-Renaissance-Fine-Art-Classs/118799724938040","NO","http://www.images.fineartclasses.com/logo.png","http://www.images.fineartclasses.com/ArtCamps/summer-camp-page-images.jpg",,,,,
"Wizard Of Art","http://thewizardofart.com/splash.html",,"1947 Hillhurst Ave","Los Angeles",90027,"SoCal","Jeana","(323) 661-0341","The Wizard of Art wants students to enjoy art while learning to draw and paint. A foundation in drawing is based on teaching the art of seeing basic shapes, light and shadow. A student’s natural instincts and abilities are nurtured through encouragement and support. Positive instruction can produce amazing accomplishments in art and establish a wealth of self-esteem. The Wizard of Art enrolls students ages 4 through 104. Classes contain up to 11 students with 2 teachers. All classes consist of students of all ages and abilities, with each student receiving individual instruction. Every student works on his or her own artwork, according to individual level of experience and interest.","CA",4,99,"Yes","Yes","No","Drawing and Painting",,,,,,,,,100,"Per month","Phone or email","https://www.facebook.com/pages/Wizard-Of-Art/313798141969707","No","http://thewizardofart.com/about_files/shapeimage_1.png","http://thewizardofart.com/student_gallery.html#15",,,,,
"Art Experience-Susan Manders Gallery Studio","http://susanmanders.com/","susan@susanmanders.com","11830 Ventura Blvd","Studio City",91604,"SoCal","Jeana","(818) 506-7804","Welcome to the Art Experience, the home of art classes taught by United States Olympic Artist Susan Manders. You will be painting by the first class even if you have never painted before. If you’ve ever wanted to paint, the Art Experience in Studio City is the place where you can learn in a creative and encouraging environment.Susan has been teaching Art Classes in the Los Angeles area for over 30 years, offering art classes for kids, teens and adults. Whether you are interested in oil painting, acrylic painting, or other techniques, you’ll receive expert instruction at every stage of your creative development. Susan has taught thousands of students in her Studio City art studio and you can join anytime.","CA",5,99,"Yes","No","No","Drawing and Painting",,,,,,,,,485,"Per 10 class session","Email form","https://www.facebook.com/pages/Susan-Manders-Art-Experience/153626831344214","No","http://susanmandersartclasses.com/wp-content/uploads/2012/09/Susan-Manders-AE-Logo-0927122.png",,,,,"No FB page for this location",
"Mission Renaissance","http://fineartclasses.com",,"22342 El Paseo, Suite G","Rancho Santa Margarita",92688,"SoCal","Jeana","(800) 430-4278","At all of our art studios throughout Southern California, we teach the same traditional fundamentals used by the Great Masters, but in a dramatically new and effective way. Refined over three decades, we have established a proven, step-by-step art instruction method, called The Gluck Method, whereby anyone of any age can learn to draw and paint beautifully. We break down the classic techniques of the Great Masters, and convey them to our students with an exact approach. The results speak for themselves – our students routinely realize their aims in creating works of fine art of which they can be proud.","CA",5,99,"Yes","Yes","No","Drawing and Painting",,,,,,,,,,"None listed","Call or email",,,"http://www.images.fineartclasses.com/logo.png","http://www.images.fineartclasses.com/ArtCamps/summer-camp-page-images.jpg",,,,,
"Fountain Valley Yamaha Music","http://www.yamahamusicacademy.com/","office@yamahamusicacademy.com","18059 Magnolia St","Fountain Valley",92708,"SoCal","Jeana","(714) 596-4788","At Yamaha Music Academy, we strive to provide the best music education to your child. Contact us now to schedule a free lesson whether you are interested in group or private music lessons. We will find the right class for you.","CA",3,18,"Yes","No","No","Music",,,,,,,,,30,"Per class","Online form","https://www.facebook.com/pages/Fountain-Valley-Yamaha-Music/133892546662161","No",,"http://www.yamahamusicacademy.com/SlideShow/images/Headline-YMES.jpg",,,,,
"Art Smart Studio For Kids","http://artsmartstudioforkids.com","artsmartstudioforkids@verizon.net","3823 E 7th St","Long Beach",90804,"SoCal","Jeana","(562) 439-4777","Art Smart studio for kids is built upon the belief that inside every child is an artist just waiting to get out.  All children have imagination, creativity, a sense of design and a desire to explore.  These natural characteristics are enhanced and further developed in Art Smart Studio classes. In our classes, children will develop fine motor skills, concentration, planning, cognition and more, all while having fun! The success each child experiences builds confidence and self-esteem. We promote a happy, fun learning environment where children will be introduced to a variety of materials, methods and ideas.  The children are then encouraged to draw, doodle, paint, construct and expand their creative horizons without tracing or copying.","CA",4,99,"Yes","Yes","Yes","Drawing and Painting",,,,,,,,,55,"Per class","Paypal",,,"http://artsmartstudioforkids.com/sitebuilder/images/ART_SMART_BROOKE_23_TRANSPARENT-600x70.jpg","http://artsmartstudioforkids.com/sitebuilder/images/mask_field_trip-432x320-483x359.jpg",,,,,
"Creative Arts Group","http://creativeartsgroup.org","info@creativeartsgroup.org","108 N Baldwin Ave","Sierra Madre",91024,"SoCal","Jeana","(626) 355-8350","Creative Arts Group in Sierra Madre offers classes for adults and children in a variety of medium: drawing and painting, ceramics, puppetry, watercolor, oil, jewelry, enameling and more. Our children’s classes typically run for 8 weeks and adult classes for 10 weeks with new sessions starting four times a year. We also offer a variety of workshops throughout the year. Classes are designed to foster creative self-expression in a friendly and welcoming environment. We have highly qualified instructors who are able to teach students of all different levels and abilities, and we keep our class sizes small to allow for individual attention. So whether you’re a seasoned pro looking to fine tune your skills or a budding artist, looking to dip your pen in the ink for the first time, you’ll fit right in here at Creative Arts Group!","CA",5,99,"Yes","No","No","Creative Arts","Drawing and Painting","Ceramics","Jewelry Making",,,,,,100,"Per session","Paypal","https://www.facebook.com/creativeartsgroup.sierramadre","No","http://www.creativeartsgroup.org/wp-content/uploads/2014/06/LogoFixedPhoneNumber11.png","http://www.creativeartsgroup.org/wp-content/uploads/2014/07/ia_kids-150x150.jpg",,,,,
"Mission Renaissance","http://www.fineartclasses.com/",,"5 Kersting Ct","Sierra Madre",91024,"SoCal","Jeana","(626) 355-6639","At all of our art studios throughout Southern California, we teach the same traditional fundamentals used by the Great Masters, but in a dramatically new and effective way. Refined over three decades, we have established a proven, step-by-step art instruction method, called The Gluck Method, whereby anyone of any age can learn to draw and paint beautifully. We break down the classic techniques of the Great Masters, and convey them to our students with an exact approach. The results speak for themselves – our students routinely realize their aims in creating works of fine art of which they can be proud.","CA",5,99,"Yes","Yes","No","Drawing and Painting",,,,,,,,,,"None listed","Call or email","https://www.facebook.com/pages/Mission-Renaissance/162859850398970","NO","http://www.images.fineartclasses.com/logo.png","http://www.images.fineartclasses.com/ArtCamps/summer-camp-page-images.jpg",,,,,
"Mission Renaissance Fine Art","http://fineartclasses.com",,"4606 Barranca Pkwy","Irvine",92604,"SoCal","Jeana","(949) 551-5883","At all of our art studios throughout Southern California, we teach the same traditional fundamentals used by the Great Masters, but in a dramatically new and effective way. Refined over three decades, we have established a proven, step-by-step art instruction method, called The Gluck Method, whereby anyone of any age can learn to draw and paint beautifully. We break down the classic techniques of the Great Masters, and convey them to our students with an exact approach. The results speak for themselves – our students routinely realize their aims in creating works of fine art of which they can be proud.","CA",5,99,"Yes","Yes","No","Drawing and Painting",,,,,,,,,,"None listed","Call or email","https://www.facebook.com/pages/Mission-Renaissance-Art-Classes/157249800983629?rf=149792041730832","No","http://www.images.fineartclasses.com/logo.png","http://www.images.fineartclasses.com/ArtCamps/summer-camp-page-images.jpg",,,,,
"Rachal's Art Center","http://www.rachalsartcenter.com",,"33601 Yucaipa Blvd","Yucaipa",92399,"SoCal","Jeana","(909) 797-6164","Sharon Rachal is an award winning artist, author and demonstrator. She is the author of seven how to paint books in watercolor, acrylics, and oils published by Susan Scheewe Publications of Portland, Oregon. She has self-published over twenty-five booklets on how to paint in oils, acrylics, watercolors and drawing. Classes are available for children, teens and adults.","CA",6,99,"Yes","No","No","Drawing and Painting",,,,,,,,,12,"Per class","Phone only","https://www.facebook.com/pages/Rachals-Art-Center/151991328145602","No","http://www.rachalsartcenter.com/Name2.gif?nxg_versionuid=published",,,,,,
"April Joy's Art Classes","http://www.artcenterfv.com/",,"18440 Brookhurst St","Fountain Valley",92708,"SoCal","Jeana","(714) 593-6936","The Art Center holds ongoing painting classes for children, teens and adults. Our students learn painting techniques using oil or acrylic paints on canvas. Each student is taught individually and at their own level; beginners are welcome. Classes are limited between ten and twelve students, and a teacher's assistant is on-hand for most of our classes for children. The Art Center opened its doors eight years ago to offer art supplies and classes to artists in the area. April Joy, an instructor at the Art Center, has been teaching painting to asipiring artists for over twenty years. April is both an accomplished teacher and a fine artist - her work has been featured in galleries in Laguna Beach, Carmel and Hawaii. Heather Sutton, April's twin sister, has been teaching for many years in the Monterrey/Carmel area and we are pleased to have her offering classes with us at the Art Center.","CA",5,99,"Yes","No","No","Drawing and Painting",,,,,,,,,,"None listed","Phone",,,"http://www.artcenterfv.com/logo.jpg","http://www.artcenterfv.com/student2.jpg",,,,,
"Mission Renaissance","http://fineartclasses.com",,"16605 W Sunset Blvd","Pacific Palisades",90272,"SoCal","Jeana","(310) 573-1711","At all of our art studios throughout Southern California, we teach the same traditional fundamentals used by the Great Masters, but in a dramatically new and effective way. Refined over three decades, we have established a proven, step-by-step art instruction method, called The Gluck Method, whereby anyone of any age can learn to draw and paint beautifully. We break down the classic techniques of the Great Masters, and convey them to our students with an exact approach. The results speak for themselves – our students routinely realize their aims in creating works of fine art of which they can be proud.","CA",5,99,"Yes","Yes","No","Drawing and Painting",,,,,,,,,,"None listed","Call or email","https://www.facebook.com/pages/Mission-Renaissance/159481954083212","NO","http://www.images.fineartclasses.com/logo.png","http://www.images.fineartclasses.com/ArtCamps/summer-camp-page-images.jpg",,,,"Could not find FB page",
"Artbeat","http://artbeatnow.org","julie@artbeatnow.org","16545 Ventura Blvd","Encino",91436,"SoCal","Jeana","(818) 784-4278","Julie founded Art Beat with the idea that all people are individuals and see the world with their own perspective. Each person has the right to express their perception both realistically and individually without others ""putting a stamp"" on it. After having attended the San Francisco Art Institute, Rhode Island School of Design,the Art Institute of San Francisco, and Mills College, Julie has developed her own style and ideas of what makes art. As well as how best to help inspire and teach others.","CA",5,99,"Yes","Yes","No","Drawing and Painting","Ceramics",,,,,,,,65,"Per hour (private lesson)","Phone or email",,,,"http://artbeatnow.org/images/homepageimagejpeg.jpg",,,,,
"Creative Fire Clay Studio","http://creativefirestudio.com","artists@creativefirepottery.com","11061 Swinton Ave","Granada Hills",91344,"SoCal","Jeana","(818) 223-9344","At Creative Fire you can learn the art of making pottery. Students are free to explore and create many unique pieces of art in our spacious and well lit studio. Group classes, studio time, and individual lessons are available. Parties, recreation, and team building workshops are also available. Come on in or call us, we can custom make a program that will inspire the creative side of you.","CA",5,99,"Yes","No","Yes","Ceramics",,,,,,,,,105,"Per session","PDF",,,"http://creativefirestudio.com/artwork/header.jpg","http://creativefirestudio.com/artwork/Birthday_Party.jpg",,,,,
"Mission Renaissance Art School","http://fineartclasses.com",,"5776-A1 Lindero Canyon Road","Westlake Village",91362,"SoCal","Jeana","(805) 379-9662","At all of our art studios throughout Southern California, we teach the same traditional fundamentals used by the Great Masters, but in a dramatically new and effective way. Refined over three decades, we have established a proven, step-by-step art instruction method, called The Gluck Method, whereby anyone of any age can learn to draw and paint beautifully. We break down the classic techniques of the Great Masters, and convey them to our students with an exact approach. The results speak for themselves – our students routinely realize their aims in creating works of fine art of which they can be proud.","CA",5,99,"Yes","Yes","No","Drawing and Painting",,,,,,,,,,"None listed","Call or email","https://www.facebook.com/pages/Mission-Renaissance/115830305142186","NO","http://www.images.fineartclasses.com/logo.png","http://www.images.fineartclasses.com/ArtCamps/summer-camp-page-images.jpg",,,,,
"Beverly Fabrics","http://www.beverlys.com/san-luis-obispo-store.html",,"876 Higuera St","San Luis Obispo",93401,"Central Cal","Jeanny","(805) 543-6433","Children ages 7-12 will learn the basics of sewing through several fun and creative projects. CLASS SIZE IS LIMITED TO 5 STUDENTS !!!","CA",7,12,"y","n","n","Sewing",,,,,,,,,,,"none","https://www.facebook.com/beverlysfabrics","Yes","http://site.beverlys.com/store/images/logo.png",,,,,"Beverlys is a chain of stores and it looks like they handle registrations mostly at each store, could be nice for them to get their classes up on AH.",
"City of Arroyo Grande","http://www.arroyogrande.org/Activities",,"809 E Grand Ave","Arroyo Grande",93420,"Central Cal","Jeanny","(805) 489-1200","Mixed Media class designed to promote hand/eye coordination, build self-confidence, and increase problem solving abilities. Media includes markers, graphite, watercolors, acrylic paints, pastels, charcoal, colored pencils and crayons. The class will focus on line, color, texture, composition and value. Subject matter will include animals, people, landscapes, abstract and still life. All materials are included! This class is ongoing, and students may start on any Wednesday.","CA",5,18,"y","n","n","Drawing and Painting","Photography and Video","Sewing","Dance",,,,,,30,"Per session","online form","https://www.facebook.com/arroyogrande","No",,"http://www.arroyogrande.org/ImageRepository/Document?documentID=894",,,,"City run programs. Lots of varity.",
"Art School Njeri","http://njerismorningglory.com","admin@nmgschool.com","4660 Eastus Dr","San Jose",95129,"NorCal/SouthBay","Jeanny","(408) 255-5520","Founded in 2007, Njeri’s Morning Glory School and Art Center has been bringing Waldorf education and a variety of art programs to children and adults in the San Jose area. We are a comprehensive Nursery and Kindergarten through Grade 5 Elementary school. Our art programs serve children (ages 3-15) and adults after-school, on weekends, over holiday breaks, and during the summer months.","CA",3,15,"y","y","n","Drawing and Painting","Sculpture","Cooking","Sewing",,,,,,,"None listed","PDF","https://www.facebook.com/pages/Njeris-Morning-Glory-School-and-Art-Center/347516388712926","No","http://njerismorningglory.com/assets/img/global/bike_transparent_color_vector_203x90.png","http://njerismorningglory.com/assets/img/programs/hoa-drawing.jpg",,,,"This is a school but it looks like their art programs are open to the public.",
"Art With Emily","http://artwithemily.com","emilyjeanyoung@gmail.com","402 El Verano Ave","Palo Alto",94306,"NorCal/Peninsula","Jeanny","(650) 856-9571","Throughout my life I have found great satisfaction in helping children express their creativity. Whenever I have taken other paths I have been drawn back to making and teaching art. Instilling a love of art in children is now my passion, my career.","CA",3,13,"y","n","n","Drawing and Painting",,,,,,,,,45,"Per hour","none",,,,"http://artwithemily.com/images/1IMG013.jpg",,,,,
"Studios On The Park","http://studiosonthepark.org","sasha@studiosonthepark.org","1130 Pine St","Paso Robles",93446,"Central Cal","Jeanny","(805) 238-9800","Studios on the Park, Inc. (Studios) is a 501(c)(3) nonprofit organization dedicated to providing a creative, educational, and transformational experience to enhance understanding and appreciation of the visual arts. Studios on the Park realizes its commitment by making the creative process available to the public. Studios engages and inspires the San Luis Obispo County community and its visitors with a unique open studio environment. Studios features artists working in a variety of media, educational programs for children and adults, and quality exhibitions by regional, national and international artists.","CA",4,17,"y","n","n","Drawing and Painting",,,,,,,,,20,"Per class","Paypal","https://www.facebook.com/StudiosOnThePark","Yes","http://www.studiosonthepark.org/images/studios_on_the_park_logo.gif","http://www.studiosonthepark.org/images/artsmartclay.jpg",,,,,
"Mei Ying Art Studio","http://meiyingart.com/index.html","meiyingart@gmail.com","6148 Bollinger Rd","San Jose",95129,"NorCal/SouthBay","Jeanny","(408) 446-8412","Meiying Art Studio was founded by Ms. Meiying Zhang, in 1999, located in San Jose California, We are an art school that is dedicated to those who have an interest in art. Open enrollment is all year round (5yrs. old to adult). In an effort to ensure the quality of our classes, we keep our teacher to student ratio at 5:1. Meiying Art Studio offers oil painting, graphite drawing, watercolor painting, pen & ink, Chinese painting, sculpture and more. Every year from June to August we also have week longsummer camps in various subjects, including landscape painting, portrait drawing, still life painting, arts & crafts and much more. All of staff are talented artists looking forward to sharing with their students.","CA",5,99,"y","y","n","Drawing and Painting",,,,,,,,,25,"Per hour","PDF",,,"http://meiyingart.com/photo/head_up.png","http://meiyingart.com/photo/students-pic.jpg",,,,"Beautiful program with several classes and a summer camp",
"The Art Factory","http://artfactorystudios.com/","yvettesmail@gmail.com","9099 Soquel Dr","Aptos",95003,"NorCal/SouthBay","Jeanny","(831) 688-8862","We are an all ages art studio located in the Historic Redwood Village of Aptos. Here you will find a range of classes for kids and adults, with small class sizes and both indoor and outdoor environments to learn and create. Art Factory instructors bring cross curricular experience to art education, using art as a medium to explore everything from history to mathematics to science. With an emphasis on art history, technique and creative expression, students will develop or expand their art practice. Use our classes to enrich your child’s education or for your own creative retreat.","CA",4,18,"y","y","y","Drawing and Painting","Sewing",,,,,,,,95,"Per month","PDF","https://www.facebook.com/pages/The-Art-Factory/112370182141009?fref=nf","NO","http://artfactorystudios.com/http___www.artfactorystudios.com/Welcome_files/AF.LOGO.2013.jpg","http://artfactorystudios.com/http___www.artfactorystudios.com/Welcome_files/shapeimage_2.png",,,,"Lots of classes, camps and parties!",
"Artis Anima Studio Of Fine Arts","http://www.artisanima.com/index.html","info@artisanima.com","4125 El Camino Way","Palo Alto",94306,"NorCal/Peninsula","Jeanny","(650) 213-9268","Artis Anima Studio of Fine Arts is an environment for the student seeking art enrichment. We have beginner students that are exploring their artistic ability, and experienced art students who are refining their skills. We specialize in oil painting, drawing, Illustration & Cartooning. We offer year-round art classes and specialty workshops for ages 6 years to adult.","CA",6,99,"y","n","n","Drawing and Painting","Cartooning",,,,,,,,140,"4 class session","none","https://www.facebook.com/pages/Artis-Anima-Studio-of-Fine-Arts/109668659096910","NO","http://www.artisanima.com/images/logo.gif","http://www.artisanima.com/images/artisanimabunny.jpg",,,,"about 15 and workshops. No way to register on the site.",
"Paso Robles Art Association","http://pasoroblesart.org","info@pasoroblesart.org","n/a","n/a",,"Central Cal","Jeanny","(805) 238-5473","The goal of PRAA classes, workshops and guilds is to provide Association members and the general public with on-going opportunities to explore their artistic interests and practice their skills in various forms of fine art such as painting with oil, watercolor, acrylics, or pastels, as well as studying and practicing life drawing and photography.","CA",,,"y","y","n","Drawing and Painting",,,,,,,,,5,"Per session (non members)","paypal",,,,,,,,"There are no kid classes currently listed. A tab says: ""Kids camps"" so maybe they will have something in the summer. FREE FOR MEMBERS,  ON ACTIVITY HERO",
"Viking Sewing Machine Center","http://www.sewviking.com","sewviking@sbcglobal.net","1232 Lincoln Ave","San Jose",95125,"NorCal/SouthBay","Jeanny","(408) 298-5696","We are pleased to offer sewing classes for adults and children 16+.  We offer one-on-one lessons pertaining to the use of sewing machines and sergers.  We also offer one-on-one lessons for the Husqvarna Viking 5D software.","CA",16,99,"Yes","No","No","Sewing",,,,,,,,,30,"Per class","PDF","https://www.facebook.com/pages/Viking-Sewing-Machine-Center/163608970334416","No",,,,,,,
"San Luis Obispo Museum of Art","http://www.sloma.org","office@sloma.org","1010 Broad St","San Luis Obispo",93401,"Central Cal","Jeanny","(805) 543-8562","From basic techniques to hands-on experiences in contemporary and multicultural art forms, we strive to stimulate creative thinking and encourage integration of the arts into every aspect of daily life. All of our art classes are taught by professional teaching artists.","CA",5,99,"Yes","Yes","No",,,,,,,,,,48,"Per session","Phone or email","https://www.facebook.com/slomuseumofart","Yes","http://www.sloma.org/images/sloma_logo_orange.png","http://www.sloma.org/images/Education%20Web%20Banner.jpg",,,,,
"Anam-Cre Art Studio","http://anamcre.com/","anamcre@charter.net","570 Higuera St Ste 165","San Luis Obispo",93401,"Central Cal","Jeanny","(805) 544-1850","Anam Cre' is a pottery studio located in San Luis Opisbo that provides a stimulating and supportive atmosphere for anyone interested in clay, whether an absolute beginner or an advanced potter or sculptor. We teach children and adults. We teach children 6 and up. Younger children must be accompanied by a parent that stays with them.","CA",6,99,"Yes","No","Yes","Ceramics","Pottery",,,,,,,,25,"Per class","Phone","https://www.facebook.com/pages/Anam-Cre-Pottery/135586449807670","No",,"http://anamcre.com/Jpegs/little_potters.jpg",,,,,
"Sagi Art Studio","http://sagiartstudio.com","sagi@sagiartstudio.com","542 S Murphy Ave","Sunnyvale",94086,"NorCal/Peninsula","Jeanny","(408) 736-2019","Art is the expression of an individual’s personal vision of the world, delivered in the true language of our souls and thought.Each of us sees the world uniquely. In forms, shapes, colors and shades. To be an artist is to learn to show and share one’s own view of the world. Every individual’s artisticexpression is valid and important. In our hurried, modern society, our enjoyment of the moment can be rare, our basic sensitivities and joys dulled. At Sagi’s art Studio, Sagi offers an oasis of time and quality, where the students can relax, laugh and sing as their art flourishes naturally. Creative children’s workshop with emphasis on the creative exploration of the environment. The child discovers his / her imagination. A variety of media is used, namely, oil paints, acrylics, pastels, watercolors, collages, pencil charcoal and more.","CA",5,99,"Yes","No","No","Drawing and Painting",,,,,,,,,125,"Per month","Phone","https://www.facebook.com/pages/Sagi-Art-Studio/59336323752","No",,"http://sagiartstudio.com/sagiartstudio/Kids_files/class1.jpg",,,,,
"Sol Treasures","http://www.soltreasures.com","celebrate@soltreasures.com","519 Broadway St","King City",93930,"Central Cal","Jeanny","(831) 386-9809","Sol Treasures awakens and nurtures appreciation and passion for the arts in people of all ages in South Monterey County and provides a home for creative and inspiring opportunities to unify the community through art and culture.","CA",7,99,"Yes","No","No","Creative Arts","Music",,,,,,,,5,"Per class","Google Docs","https://www.facebook.com/pages/Sol-Treasures/116643435046195","NO","https://sites.google.com/a/soltreasures.com/1sol/_/rsrc/1338912374556/config/customLogo.gif?revision=28",,,,,,
"Santa Cruz Studio School","http://santacruzstudioschool.com","Celeste@SantaCruzStudioSchool.com","143 S River St","Santa Cruz",95060,"NorCal/SouthBay","Jeanny","(831) 457-1374","Santa Cruz Studio School is an art school located in downtown Santa Cruz, CA, offering art students of all ages a variety of experiences aimed toward deepening and sustaining creative artistic expression. Santa Cruz studio school offers art classes for children and young adults ages 3-18.","CA",3,99,"Yes","No","No","Drawing and Painting",,,,,,,,,18,"Per class","Phone or email",,,"http://santacruzstudioschool.com/files/scss-logo2.jpg","http://santacruzstudioschool.com/About_art_teacher/files/young_art_student.jpg",,,,,
