"provider_name","website","email","street_address","city","state","Zipcode","phone","description","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Hot lead","NOTES"
"Big Sticks Golf","http://www.bigsticksgolf.com/","bigsticksgolf@verizon.net","26 Ray Ave","Burlington","MA",1803,"781-229-2269","We offer PGA golf instruction and with any golf lesson , we will develop the best way to improve your game. We do not have cookie cutter solutions to improve your golf swing. Golf Lessons are taught inside and outdoors, weather permitting and Big Sticks Golf only provides a PGA teaching staff to instruct all of its lessons. These lessons are geared to accommodate golfers of various skills and ages. The PGA instructor also has available to the students both the ASTAR and JC video swing analysis, aG studio and GC2 launch monitors which allows for a visual reference point to track the success of your game.",6,99,"Yes","No","No","Golf",,,,,,,,,60,"Per_class","Paypal","https://www.facebook.com/pages/Big-Sticks-Golf/138988124515","Yes","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1619072_10152649054284516_1882591272466228456_n.jpg?oh=20fd8bc3555c22058d8f8b88ff79f1f1&oe=54D9474D&__gda__=1424057204_1c92e5c1862d07c7029283489e462a2a","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10342760_10152666073769516_8978749149591149828_n.jpg?oh=35cc18c0898cb447558fcf5d84cc7836&oe=551763D5&__gda__=1424243370_4a60ad03ce59505410aab019d650839a",,,,,
"Foster Golf Links","http://www.fostergolflinks.com/","warren.orr@tukwilawa.gov","13500 Interurban Ave South","Tukwila","WA",98168,"206-242-4221","A Pacific Northwest tradition since 1925, located just south of Seattle in Tukwila, WA, Foster has provided entertainment for generations of golfers. The golf course was renovated to add new tees, rebuilt and added several greens, and rebuilt the 10th fairway.  All of the changes were done with a look to the future.  The golf course has provided enjoyment for beginning golfers and veterans for 85 years. We offer golf instruction for all ages and skills levels.",,,"Yes","Yes","No","Golf",,,,,,,,,,,"Active","https://www.facebook.com/pages/Foster-Golf-Links/176546029061222","No","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/217238_176551555727336_4188790_n.jpg?oh=cd5b5a97c5a5e31f483319e31f5ac809&oe=54D8A4ED&__gda__=1423698378_e57a8cd62ca6ba87b60c5bdea1641e13","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10532542_702686349780518_309888022662844595_n.jpg?oh=4acd0731d92d0d06bc5c5e9e66b341bd&oe=551B4D7C&__gda__=1427807541_6e3bbeec1b5924e203cb721ff97c789d",,,,,"No information on prices or ages for children. Link takes you directly to a blank Active page."
"Wright State Boys Soccer Academy","http://www.wrightstateboyssoccercamp.com/","wrightstatesoccercamp@gmail.com","3640 Colonel Glenn Highway","Dayton","OH",45435,"937-775-2801","The purpose of the Wright State Boys Soccer Academy is to create an enjoyable playing and learning atmosphere. Emphasis will be placed on the technical aspects of the game such as dribbling, passing, receiving, striking a ball, finishing and more. In addition, players will be placed in game situations that require decision making (tactics) and a competitive spirit. Technique, tactics, competition and fun are the pillars for any successful soccer player. We intend to provide an experience that makes each player want to come back year after year. For kids of all experience and skill level. Work with Wright State college coaches and players, in a fun and safe learning environment. Participants will work on individual skills, as well as participate in a number of small sided indoor games.",5,13,"No","Yes","No","Soccer",,,,,,,,,70,"Per_session","Active","https://www.facebook.com/pages/Wright-State-Mens-Soccer/114614415292459?ref=hl","No","http://wrightstateboyssoccer.activesb.net/Asset1777.aspx","http://www.wrightstateboyssoccercamp.com/Assets/Wright+State+Soccer+Digital+Assets/youth10.jpg",,,,,
"The Young Americans Summer Camp @ Midland University","http://www.midlandu.edu/young-americans-summer-camp","yacamps@midlandu.edu","900 North Clarkson","Fremont","NE",68025,"402-941-6203","The Young Americans Summer Camp program allows students in grades 4th - college the chance to spend an entire week singing, dancing, and growing in the performing arts. While also offering classes and a huge finale show, this camp provides a unique opportunity to work with YA international performers in both individual and ensemble formats. This year's program also features two master teachers from the arts industry for an overall experience you don't want to miss.",9,18,"No","Yes","No","Performing Arts","Music","Voice","Drama/Theater","Academics",,,,,495,"Per_session","Active","https://www.facebook.com/yacampsatmidlandu","No","http://www.midlandu.edu/sites/all/themes/midlandu/logo.png","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10393815_340459419441546_7618446056090548975_n.jpg?oh=5b9c9b0b8e4f8ba25c639b4fd920db05&oe=551746F2&__gda__=1427647306_823c60a339b50dbe63d91d766539ac4b","Midland University",4,12,,
"Saskatoon Zoo Society","sasktel.net","zoosociety@sasktel.net","1903 Forestry Farm Park Drive","Saskatoon","SK","S7S 1G9","306-975-3395","Get to know our animal friends with help from the Saskatoon Zoo Society interpreters and Saskatoon Forestry Farm Park  Zookeepers. Hands-on experiences, crafts and games are offered to children aged 7-14.",4,14,"Yes","Yes","No","Animals","Nature Programs","Adventure/Outdoors",,,,,,,50,"Per_day","Active","https://www.facebook.com/saskatoonzoosocietyinc","Yes","https://scontent-a-lga.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10517688_723258984380030_7074286263007288204_n.jpg?oh=a4ae4a1c4323257d9b2bc8409127559c&oe=54EA1C90","https://scontent-b-lga.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/10325387_696635513709044_1543914249167952311_n.jpg?oh=890d781296fbcb171082f0f01807f979&oe=54D3DFD0",,,,,
"Visual Art Institute","http://www.visualartinstitute.org/","info@visualartinstitute.org","2901 S. Highland Dr.","Salt Lake City","UT",84106,"801-474-3796","Each student is unique and that’s why we are dedicated to mentoring every child as they explore the arts at VAI. Our kids' classes are geared for both first-time artists and young students who have a passion for drawing and painting. Our teen classes offer a wide-range of special courses each term as well as foundational drawing and painting classes. We are expanding our course offerings and now have classes in drawing and painting for adults.  As with our younger students, we take a traditional approach to teaching the arts and encourage each student to discover their own creative voice.",5,18,"Yes","No","No","Creative Arts","Drawing and Painting","Ceramics",,,,,,,185,"Per_session","Active","https://www.facebook.com/VAISLC","No","http://nebula.wsimg.com/ff8b78500093e1243283ee87c46a64cd?AccessKeyId=9A7F4C1A2311B107F492&disposition=0&alloworigin=1","http://nebula.wsimg.com/5a729d16e2eb1ce0b9fd042007bfbac7?AccessKeyId=9A7F4C1A2311B107F492&disposition=0&alloworigin=1",,,,,
"Mountain Friends Camp","mountainfriendscamp.org",,"46 Tree House Rd","Santa Fe","NM",87505,"435-554-1132","Mountain Friends Camp is a residential camp where all are valued and loved as individuals and for the gifts they share. Guided by Quaker values, everyone takes responsibility for the well-being of the community, from deciding on “norms” to washing dishes to making sure that everyone is having fun. We live simply and in harmony with nature and have a great time exploring, learning and sharing.  Mountain Friends Camp is a diverse intergenerational community and an affordable summer camp for youth ages 10-15 from many different backgrounds.",10,15,"No","Yes","No","Quaker","Adventure/Outdoors","Nature Programs","Hiking",,,,,,,,"Active","https://www.facebook.com/Mtn.FriendsSummerCamp","No","http://mountainfriendscamp.org/wp-content/uploads/2012/03/header.jpg","https://scontent-a-lga.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/10478939_719844078074805_3487772323262123815_n.jpg?oh=f5bec4bbd4f4d84f5f8e6b1075e6a99f&oe=54D78775","Sante Fe Tree House Camp",,,,"No price info listed on Site or Active"
"Lamorinda Youth Association","lamorindayouthassociation.com","billgiac@aol.com",,,,,"925.254.4817","We enjoy working with children providing sports camps, soccer clinics, and indoor soccer leagues. Our kids learn, advance and excel more often than you can imagine! When they excel, that's great. When they almost excel, that's great, too!",5,11,"No","Yes","No","Sports","Soccer","Multisport",,,,,,,130,"Per_session","Active","N/A","N/A","N/A","https://lh3.googleusercontent.com/-7XhPd4Bc7ec/TevBBJyDf4I/AAAAAAAAAGw/VZ1hQbkQZJ8/s400/6%2BPhoto.jpg","Campolindo High School",,,,
"Eastman Golf Links","www.eastmangolflinks.com",,"6 Club House Ln","Grantham","NH",3753,"(603) 863-4500","Eastman Golf Links is situated within an exceptional, four-season recreational and residential community located minutes from Vermont and just two hours from Boston, in the dynamic Dartmouth-Lake Sunapee region of New Hampshire.  We offer many instructional programs for children and adults, including lessons and camps.",5,99,"Yes","Yes","No","Golf",,,,,,,,,5,"Per_class","Active","https://www.facebook.com/eastmangolflinks1?ref=ts&fref=ts","Yes","http://www.eastmangolflinks.com/images/stories/default/logo.png","https://scontent-b-lga.xx.fbcdn.net/hphotos-ash2/v/t1.0-9/1012370_10151548774252252_1629157969_n.jpg?oh=2c61e9381dabe62cda8686ca74463563&oe=54D21FDE",,,,,
"Eich's Sports","eichssports.com","registrations@eichssports.com","24316 W. 143rd St","Plainfield","IL",60544,"815-436-9044","At Eich's we believe that each athlete, no matter how small or big, how young or old is coachable.  We want to get the most out of each and every person we work with.  We will work with 1 on 1 training, small groups, or complete teams.  Besides the sports specific skills part of training it is also essential to train your body to be able to get the most out of it.  Commit Fit is here to help you do exactly that.  Commit Fit is able to train your athlete individulaly, in small groups, or with your team.",4,18,"Yes","No","Yes","Multisport","Baseball","Softball","Volleyball",,,,,,40,"Per_class","Phone or in person","https://www.facebook.com/eichslemont","No","https://scontent-b-lga.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/382699_363169000363307_530746482_n.jpg?oh=34f21320a64db007c3a9bd3a3d2f922f&oe=54D7E09E","http://eichssports.com/images/824_dodgeball.jpg",,,,,
"Val Halla Golf Course","valhallagolf.com","bbickford@pga.com","60 Val Halla Rd","Cumberland","ME",4021,"207- 829- 2225","Val Halla is known for its strong junior programs with levels of participation unmatched in Maine.  Our programs cover juniors from ages 5-18.  Our goal is to provide an enjoyable and safe golf learning experience that resonates with junior golfers so they can learn the game of golf for a lifetime.  If you are considering golf for your junior you will be ahead of the game!",5,18,"Yes","Yes","No","Golf",,,,,,,,,,,"Active","https://www.facebook.com/VHGolfCourse","Yes","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/c33.0.160.160/p160x160/10302278_665899733447344_1278524058578557282_n.jpg?oh=4400f8d654670ced0707ae87fe5b2732&oe=54EA1B8E&__gda__=1423398857_d1bf41b9401466701ca75817f8464913","http://valhallagolf.com/wp-content/uploads/2010/12/junior-golfers.jpg",,,,,
"The Bolles School","bolles.org","summerprograms@bolles.org.",,"Jacksonville","FL",,"904-256-5071","Every summer The Bolles School offers a wide variety of summer camp opportunities to children ages 4 to 18 within the local community. Beginning in June, Bolles will play host to numerous, half day and full day summer programs at all four of its campuses. This summer your camper will have the opportunity to cool off in our aquatics center, develop his or her skills in our indoor and outdoor athletic facilities, learn new concepts in the classroom, enjoy eating with peers in our dining facilities, display his or her talents on our auditorium's stage and take in the nature found on the serene St. Johns River waterfront.",5,18,"Yes","Yes","No","Academics","Multisport","Swimming","Dance","Archery","Martial Arts","Cooking
Crafts",,,90,"Per_session","Active","https://www.facebook.com/TheBollesSchool","Yes","http://www.bolles.org/uploaded/themes/default_14/images/logo.png","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/1477787_10152783732929909_2324860999452105823_n.jpg?oh=fd4077a607fddc8d1002cf9febc97509&oe=551BCA42&__gda__=1424038696_3ffff7288bec4973ae8186ab16020831",,,,,"School has 4 campuses"
"Quaker Haven Camp","quakerhaven.com","info@quakerhaven.com","111 Ems D16C Ln","Syracuse","IN",46567,"574-834-4193","QHC consists of 160 acres of camp, woodlands, and tillable farm ground. Through nature and the freedom of relaxation and retreat, Quaker Haven Camp encourages people to develop a closer relationship with God, to acquaint them with Jesus Christ, and to help them grow in their faith. Quaker Haven, a year-round camp and retreat center, includes both indoor and outdoor recreation opportunities, summer youth camps, QH-sponsored retreat events, and programming helps for groups who plan their own retreats.",5,18,"No","Yes","No","Quaker","Adventure/Outdoors","Nature Programs","Hiking","Swimming",,,,,150,"Per_session","Active","https://www.facebook.com/pages/Quaker-Haven-Camp-official/196508783727658","Yes","https://scontent-a-lga.xx.fbcdn.net/hphotos-xpa1/t31.0-8/s960x960/10636478_801179903260540_1993912391457941069_o.jpg","https://scontent-b-lga.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/p417x417/996730_574408225937710_159893866_n.jpg?oh=a2198ca7162bbb2792d31ece1ad1fd24&oe=54E7AA03",,,,,
"Mcgilvra Kids Time","http://mcgilvraes.seattleschools.org/",,"1617 38th Ave. E.","Seattle","WA",98112,"(206) 252-3160","Kids Time is an extra-curricular enrichment program run by the McGilvra PTA. Kids Time provides students with fun, enriching activities and unique opportunities through classes in languages, arts, sports, and other creative topics.  Three sessions of these classes will be offered throughout the year: Fall, Winter, and Spring.  Any student attending McGilvra Elementary is eligible to enroll.  Classes are taught by independent instructors including McGilvra parents.",5,10,"Yes","Yes","No","Academics","Sports","Language","Chess","Academics",,,,,6,"Per_class","Active","https://www.facebook.com/pages/Mcgilvra-Elementary-School/303485823173224","N/A",,,,"K",5,,"No usable pics"
"South Gemantown Driving Range","http://www.montgomeryparks.org/parks_facilities_directory/golfdrivingrange.shtm","megan.evans@montgomeryparks.org","18045 Central Park Circle","Boyds","MD",20841,"301-670-4670","South Germantown Driving Range offers a great variety of camps, clinics and classes for golfers young and old, new and experienced. Students will enjoy expert instruction and personal attention from Montgomery County Golf Academy instructors. Private lessons are also available.",5,17,"Yes","Yes","No","Golf",,,,,,,,,30,"Per_class","ParkPass","https://www.facebook.com/pages/South-Germantown-Driving-Range/362929423826674","No","http://www.montgomeryparks.org/parks_facilities_directory/images/SGDR_vector_black_green_heavy.jpg","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-prn2/v/t1.0-9/529157_362951100491173_1845863452_n.jpg?oh=c471db44efbfac59aa80efec29821bd5&oe=54DD716E&__gda__=1427776056_657a8035459c2d040c2df94352f575e6",,,,,
"Orange Head Sports Academy","orangeheadsportsla.com","info@orangeheadsportsla.com","214 Main Street #204","El Segundo","CA",90245,"310-535-3644","We're still the same company offering the same program you love but with a new name - because we now offer weekly classes in five different sports for young children. The curriculum is professionally designed to develop motor skills, promote fitness, and create self confidence. Our program also develops athleticism and passion for the game, all in a nurturing and non-competitive environment. These classes are about 50 minutes long, and are WAY more than a simple ""balls and cones"" program!",1.5,7,"Yes","No","Yes","Soccer","Basketball","Cheerleading","Volleyball","Hockey",,,,,259,"Per_session","Active","https://www.facebook.com/OrangeHeadSportsAcademy","Yes","N/A","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/10402789_778288142222201_8049997343792813778_n.jpg?oh=6ffdc63033dec23fe48780e1159d6bf8&oe=54E5E7B9&__gda__=1423287600_8d44061eb45f99b55be255871e9394f3",,,,,"Formerly Soccertots"
"Elmsford Day Camp","http://www.elmsfordny.org/","summercamp@elmsfordny.org","15 South Stone Ave","Elmsford","NY",10523,"914-760-1953","In our camps, groups are lead by experienced staff who are of college age or older.  Campers develop self-confidence while they explore new activities, develop lasting friendships and have a whole lot of summer fun! Campers' daily activities include recreational swim and swim lessons, and specials such as Drama/Theater, Arts and Crafts and Instructional Sports. In addition, each group will go on between 4-5 trips per summer. Trips are different depending on the age group, and destinations include museums in the city, water parks, arcades and more!",3,15,"No","Yes","No","Adventure/Outdoors","Swimming","Creative Arts","Drama/Theater","Sports","Hiking",,,,625,"Per_session","unclear","https://www.facebook.com/Villageofelmsford","No",,,,,,,"No usable pics on site"
"Quest Soccer Camp","questsoccer.com/","meyerj02@comcast.net",,,,,"305 491 1427","The Quest Indoor Soccer Camp offers solid training, great exercise, and a lot of fun, packed into a full week of intensive soccer instruction. Our directors are all experienced soccer players and instructors who know and love the game, who are great at communicating that love to kids, and who can help them have a great time as they learn.",,,"No","Yes","No","Soccer",,,,,,,,,155,"Per_session","PDF","N/A","N/A","http://questsoccer.com/palmettobay/images/mainlogo5.jpg","http://questsoccer.com/palmettobay/slide/images/Quest%202006%20THREE%20002.jpg",,,,,
"American Repertory Theater","americanrepertorytheater.org","brendan_shea@harvard.edu","64 Brattle Street,","Cambridge","MA",2138,"617.495.2668","We believe that a great arts experience doesn't begin or end at the theater door. Through subsidized tickets to A.R.T. productions, mentoring opportunities, theater skill-building, artist talks and more, the A.R.T. is deepening our community's connection to live theater! The A.R.T.'s creative theater class, Fairy Tale Theater meets Saturday mornings for an eight-week semester, culminating in an open presentation of a fairy tale. Each week, we read and reimagine a new classic children's story. In addition to writing, directing and starring in their own mini-play every week, children are introduced to the fundamentals of theater and learn how to collaborate on creative projects.",5,9,"Yes","Yes","No","Performing Arts","Drama/Theater",,,,,,,,,,"unclear","https://www.facebook.com/americanrepertorytheater","Yes","http://americanrepertorytheater.org/sites/default/files/art-logo.jpg","http://americanrepertorytheater.org/sites/default/files/styles/page_image/public/pageimages/121208ARTFairyWKS-212.jpeg?itok=6uld3xHI",,,,,"Registration is currently closed till next season, no price info on site"
"Andy Landers Basketball Camp","www.andylandersbasketballcamp.com","AndyLandersBasketballCamp@gmail.com",,,,,"706-542-1176","Welcome to Andy Landers' Basketball Camps, A camp experience that's second to none! Every aspect of the Lady Bulldog Basketball Camps, which are open to any and all participants, is meticulously addressed. Workouts are supplemented with lectures to inspire and teach the game by those who know it best. Who's on tap? Recent sessions included former Lady Bulldogs who have gone on to the WNBA and top college coaches. We offer camps for girls ages 6-18.",6,18,"No","Yes","No","Basketball",,,,,,,,,240,"Per_session","Active","https://www.facebook.com/UGAWomensBasketball","Yes","http://www.andylandersbasketballcamp.com/Assets/SGU-66-ST-Camp+Templates+Digital+Assets/header.png",,,,,,"No usable pics"
"The Digital Arts Experience","thedae.com","info@thedae.com","170 Hamilton Ave., Suite 100","White Plains","NY",10601,"914-644-8100","The Digital Arts Experience aims to provide a unique opportunity for the kids & teens of the Westchester & Rockland communities to explore the world of creative technology. Our programs are goal oriented and focus on hands on learning so each and every student will complete his or her class with incredible original work that can go towards creating a portfolio. We strive to expose our students to the digital world in order to help them discover new talents and possible career paths.",6,18,"Yes","No","No","Academics","Science/Technology","Math","Robotics","Digital Media","Computer Animation","Programming","Academics",,50,"Per_class","Active","https://www.facebook.com/thedaexperience","Yes","http://static.wixstatic.com/media/6b02cd_8b8a9afe82ece66de0168727848e038d.png_srz_p_201_170_75_22_0.50_1.20_0.00_png_srz","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/984233_820478468002811_2625202602446403541_n.jpg?oh=3b8f0fb17022a44d0a55a71550a8d6e9&oe=54D6EDA7&__gda__=1424728395_e0141f48c1a4c8c794896b3e75d9b1f1",,,,,
"Feet of Clay","feetofclaypottery.com","info@feetofclaypottery.com","21 STATION STREET","Brookline","MA",2445,"617-731-3262","Feet of Clay is a cooperatively run pottery studio with a large and well-equipped studio space that is shared by a diverse group of ceramic artists and potters.  Feet of Clay offers classes for adults, teens and children.  These include Adult Classes (8 sessions), Friday night Wheel (All ages, one Friday night only), and Clay Sampler (All ages, 3 sessions, Friday nights), a Teens Class, and a Children’s class (ages 8-12).",8,99,"Yes","No","No","Pottery",,,,,,,,,140,"Per_session","Active","https://www.facebook.com/feetofclaypottery","No","http://feetofclaypottery.com/wp-content/themes/feet_of_clay/images/logo.gif","https://scontent-a-lga.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/481708_10151292853724324_152545374_n.jpg?oh=55a7ac30cf38191d9cc7cd2facc09d52&oe=5516820C",,,,,
"Derek Marinatos Soccer Academy","dmsocceracademy.com","info@dmsocceracademy.com","1 UNF Drive","Jacksonville","FL",32224,"904-620-2948","Please join us at the Derek Marinatos Soccer Academy, with its professionally licensed coaching staff, first class fields and campus facilities, providing an exciting learning experience for all-round soccer skills development. The Derek Marinatos Soccer Academy (DMSA) will service the demand for professionally run Soccer Camps in Northeast Florida and will foster an invaluable learning experience for each camper under the instruction and coaching of college, U.S. National Staff, ODP, club and high school coaches, and current players.",6,20,"Yes","Yes","No","Soccer",,,,,,,,,269,"Per_week","PDF","https://www.facebook.com/pages/Derek-Marinatos-Soccer-Academy/201044529936497","No","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/c24.23.290.290/s160x160/215383_201044749936475_4458038_n.jpg?oh=a5390b42c16a8864ffce87695da064d7&oe=54D50540&__gda__=1427902859_27cbde01952f744dc837fb0e776e5e36","http://www.dmsocceracademy.com/images/photo7-lg.jpg",,,,,
"Camp Adam Fisher","www.campadamfisher.com","scottm14@earthlink.net","PO Box 5226","Columbia","SC",29250,"803-434-2442","Camp Adam Fisher is the carolinas largest camp for children with diabetes, their brothers, sisters and friends. We are located on Lake Marion in Summerton, SC.  Camp Adam Fisher is a weeklong overnight camp for children with diabetes, their brothers, sisters and friends ages 6-17. We also offer a Counselor in training (CIT) program for teenagers ages 16-17. We have exciting and challenging activities desiged for campers of all ages.",6,17,"No","Yes","No","Adventure/Outdoors","Nature Programs","Hiking","Kayaking","Swimming","Canoeing","Sports","Horseback Riding","Creative Arts",625,"Per_week","Active","https://www.facebook.com/pages/Camp-Adam-Fisher/208083269232086","No","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p160x160/10384352_775424899164584_1096354774397514772_n.jpg?oh=cafc46b89b2833d4e9cf1ff0c5cd4070&oe=54E81289&__gda__=1423849327_e4074d90cbf87b0b1b664a6665275fc4","http://www.campadamfisher.com/images/cindy_boat1.jpg",,,,,
"Michigan Field Hockey Camp","http://www.michiganfieldhockeycamp.com/","Pankratz@umich.edu","500 S. State Street","Ann Arbor","MI",48109,"734-647-1271","The Michigan Field Hockey Camp offers a wide variety of training under the instruction of an experienced and dedicated coaching staff. Our curriculum features the latest technical skills, offensive/defensive tactics, and competitive game play. We cover everything from the fundamentals of the game to top international concepts. We offer camps for ages 8-18.",8,18,"No","Yes","No","Field Hockey",,,,,,,,,350,"Per_session","Active","https://www.facebook.com/umichfieldhockeycamp","No",,"http://www.michiganfieldhockeycamp.com/Assets/Michigan+Field+Hockey+Digital+Assets/Dive.JPG","Elbel Field on Hill/Division and Michigan Stadium",,,,
"Summer Theatre Camp 2015","tecotheater.org","education@tecotheater.org","215 S. Tyler Street","Dallas","TX",75208,"214-948-0716","TeCo is a professional theatre company that serves thousands of children year round via our arts education programs, summer theater camp, and children performances.  Last year, TeCo provided  212 student outreach programs in Dallas area schools, recreation centers and neighborhood events impacting nearly 10,000 children and their families. We will offer an eight week summer theater camp at the Bishop Arts Theatre Center.  Students will not  only learn how to perform on stage but will also learn the business side of the industry.",6,12,"Yes","Yes","No","Performing Arts","Drama/Theater","Dance","Music",,,,,,75,"Per_week","Active","https://www.facebook.com/tecotheatricalproductions","Yes","http://tecotheater.org/images/inside_r3_c3.jpg","https://scontent-a-lga.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10334328_10152418947568767_7703078038741027337_n.jpg?oh=7dd5b721c32052511eae9971b7ae815a&oe=5519F21C",,,,,
"Summer Theatre Camp 2015","CAMPLINGUA.COM","INFO@CAMPLINGUA.COM","1792 Bell Tower Lane","Weston","FL",33326,"954-642-2267","Camp Lingua is a unique language immersion program where children enjoy an enriching, fun experience while developing language and critical thinking skills. Our natural, open-ended multi-sensory approach consists of visual, auditory and physical practice in a language immersion environment which stimulates language acquisition. Our Language Camps is the perfect way to help your child explore a second language while making new friends. They will learn easily by seeing, hearing and putting a language in action. A combination of a state-of-the-art methodology and materials -including story videos, vocabulary DVDs, CDs, scripts and guides to literally surround children with new language - ensure a natural language learning experience.",3,18,"Yes","Yes","No","Academics","Language","Spanish","French","Chinese","Sports","Nature Programs","International Studies","Creative Arts",205,"Per_week","Active","https://www.facebook.com/CampLingua","Yes","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/v/t1.0-1/p160x160/947226_526336430754467_589424846_n.png?oh=57e99fc6ea2440b5af55f9e78b186d5f&oe=54D21121&__gda__=1427820448_de35f4b76fb0c814575ea67dd5259c31","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10505620_685745641480211_572483311997774446_n.jpg?oh=70e1c7f75e63a4d38d666b4bb6cc5b76&oe=54E4766D&__gda__=1423113552_edf91d1ae9e09827c730f683f72235e9",,,,,
"Blue Compass Camps, LLC","http://www.bluecompasscamps.com/index.html","joelthompson77@gmail.com","20934 SW 103rd Dr.","Seattle","WA",97062,"971-221-6441","Come Outside With Us... Blue Compass offers outdoor programs for ages 7-24 with Aspergers, hight functioning Autism, ADHD, and others who can benefit form guided adventures focused on building social and self confidence. Our camps are designed to provide a small, intimate and supportive environment, one that allows staff to maintain the highest quality programs while giving campers the opportunity to excel and to celebrate their accomplishments.",7,24,"No","Yes","No","Special Needs","Adventure/Outdoors","Nature Programs",,,,,,,625,"Per_session","Active","https://www.facebook.com/pages/Blue-Compass-Camps/313788037362","No","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/p160x160/251082_10151228650747363_2048282925_n.jpg?oh=3250dff73e1a0faa39281ae8f9a48f45&oe=54EBE13F&__gda__=1423206943_f2ac6629b453a4a9d3e62d0c693ab2b7","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/936691_10152705087337363_325488184733665590_n.jpg?oh=68dc501614c3d2fa5f6e3c2d748725b8&oe=54DC4765&__gda__=1428109912_e0f13adcd3408a2dc5c2c389e8a49f94",,,,,
"Camp Kesem","campkesem.org","applications@campkesem.org","PO Box 452","Culver City","CA",90232,"260-225-3736","Camp Kesem is a nationwide community, driven by passionate college student leaders, supporting children through and beyond their parent’s cancer. Since 2000, Camp Kesem has given children affected by a parent’s cancer the opportunity to just be kids.  The ever-expanding Kesem community engages in camp activities like sports, arts and crafts, and drama to give campers a fun-filled week.  Campers also participate in “Cabin Chats” with fellow campers and counselors, giving children the chance to share their experiences with each other.  There are plenty of laughs and lots of emotional support, but Camp Kesem does not provide therapy.  The tremendous fun and support campers experience is what makes Camp Kesem a transformative, magical week for campers and counselors alike.",6,16,"No","Yes","No","Adventure/Outdoors","Nature Programs","Creative Arts","Sports","Water Sports","Swimming",,,,,,,"https://www.facebook.com/CampKesem","Yes","http://campkesem.org/wp-content/themes/kesemtheme/images/logo.png","http://campkesem.org/wp-content/uploads/2012/03/Screen-shot-2013-07-17-at-10.44.11-AM.png","Many nationwide camps",,,,"No pricing info on site"
"Humane Society of West Michigan","hswestmi.org","jaulgur@hswestmi.org","3077 Wilson NW","Grand Rapids","MI",49534,"616.453.8900","Our Humane Education Camps are fun and educational camps designed for children ages 5 through 16. During each affordable week-long session, children learn about animal safety, how to be a responsible pet owner, shelter operations, careers in animal-related fields, and animals with interesting and helpful jobs. Kids are encouraged to share what they learn with their family, friends and neighbors. With the help of dogs, cats and critters from our shelter, and animal experts from our community, it’s a dog-gone good time!",5,16,"Yes","Yes","Yes","Animals",,,,,,,,,55,"Per_session","Active","https://www.facebook.com/hswestmi","Yes","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/c0.3.160.160/p160x160/292233_383876448322899_1845985683_n.jpg?oh=2f2a0ab0ad668c48acd7b1ef79e2fd17&oe=54E1D7A1&__gda__=1428090938_bc184ee2098b310928d57ebed1ba2ae8","http://hswestmi.org/uploads/images/_AGL6037.jpg",,,,,
