"provider_name","website","email","street_address","city","state","Zipcode","Metro Area","Sales agent","phone","description","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Notes","HOT LEAD"
"Coast Sports","http://www.coastsports.com/",,"463 24th Street","Santa Monica","CA",90402,"SoCal","Jeana","310-913-3224","Sixteen years ago with a bag of soccer balls, a set of cranky plastic goals and 10 energetic four year olds, our program was born. And while things have grown a bit over the years, our approach to teaching has remained absolutely constant: keep it light, keep it moving, keep it fun. For our youngest kids in Soccer, we effectively disguise the sport’s basic skills in games – some classic, some created on the spot. Cookie, Star Wars, Mr. Wolf, Red Rover – all focus on dribbling, ball control, shooting, shielding… By the time the children are old enough for “competitive” soccer, they are comfortable with the ball and are ready to move on to greater challenges.",2.5,12,"Yes","Yes","No","Soccer",,,,,,,,,225,"Per_session","UltraCamp","https://www.facebook.com/CoastSports","Yes",,"http://www.coastsports.com/wp-content/uploads/2012/12/soccer.png",,,,,
"HappyFeet","http://www.happyfeetla.com/","Info@happyfeetla.com","15335 Magnolia Blvd #116","Sherman Oaks","CA",91043,"SoCal","Jeana","(818)-370-9616","HappyFeet has a variety of programs to fit all children’s needs. All of our programs use our friendly ""story time with a soccer ball"" approach that has received recognition by many early education experts as the premier preschool-age fitness program. Happy Feet classes are 30 minutes in length (National Association for Sports & Physical Education recommendation). Every child constantly has a ball. HappyFeet uses nursery rhymes, songs, stories and fun games with a soccer ball to maximize motor skill development. Two and three year olds love acting out nursery rhymes and songs. Four and five year olds have a blast with stories and fun games.",2,4,"Yes","No","Yes","Soccer",,,,,,,,,90,"Per_session","Unclear","https://www.facebook.com/happyfeetla","Yes",,"http://www.happyfeetla.com/images/template_happyfeet_legends/hf-home/outdoor-preschool-classes.jpg","Various schools","Pre-school","Pre-school",,"Yes"
"Brazilian Futebol Academy",,,"9449 Friars Road","San Diego","CA",92108,"SoCal","Jeana","(619) 282-5100","The Brazilian Futebol Academy (BFA) is a premier soccer academy located at Qualcomm Stadium in San Diego. Our coaching staff is composed of top soccer professionals highly specialized in player development. Our partners include FIFA World Champion Cláudio Taffarel and Futsal World Champion Eduardo Valdez Basso.  BFA provides year-round training for all skill levels. We are not a club team; we are a player development academy that also welcomes club players who want to improve their game and reach their full potential. We apply a similar training methodology and philosophy used in Brazil at the youth divisions of professional teams. Our age-appropriate training integrates scientific and pedagogical methods combined with practical application experience led by specialized professionals. BFA offers soccer training on a year-round and seasonal basis for youth participants ages 7 – 17. A typical year-round schedule consists of two training sessions per week with an option to add a third session per week that focuses on specific skills and techniques.",7,17,"Yes","Yes","No","Soccer",,,,,,,,,86,"Per_month","PDF","https://www.facebook.com/BrazilianFutebolAcademy","Yes","http://www.bfasoccer.com/_images/web_logo_blue_transparent.png",,"Qualcomm Stadium",,,,"Yes"
"Conteh Soccer Academy","http://www.contehsocceracademy.com/","sarah@contehsocceracademy.com","36th St.","San Diego","CA",92104,"SoCal","Jeana","619-928-9272","Conteh Soccer Academy provides pro-level soccer training. Small group training gives the player an opportunity to work closely with the coach without feeling lost in the crowd. Each group training is tailored to the needs of the players and is focused on functional training. The player will learn how to effectively work with their teammates on the field. Private training is also available.",5,99,"Yes","Yes","No","Soccer",,,,,,,,,,"None listed","Phone or email","https://www.facebook.com/ContehSoccerAcademy?ref=br_tf","No","http://nebula.wsimg.com/8321f6e6ed774ab978459618b4f3d650?AccessKeyId=3FA3E1D10976D0DB9F41&disposition=0&alloworigin=1","http://nebula.wsimg.com/170adb4e7d451a63425d77b29f1bb3f9?AccessKeyId=3FA3E1D10976D0DB9F41&disposition=0&alloworigin=1",,,,,"Yes"
"The Catalyst Soccer Training Center","http://www.tctcsoccer.com/","CatalystCenterInfo@gmail.com","9586 Distribution Avenue Suite E","San Diego","CA",92121,"SoCal","Jeana","(619) 715 - 5531","Clinics and group trainings at TCTC provide players with not only the physical practice of different technical, tactical and athletic abilities, but also the knowledge of why and how we do what we do to be a more educated soccer player. Skills clinics year round for all levels ages 7-14, and specialty clinics January through August for intermediate-advanced levels age 8-13 develop attacking, shooting, moves, defending, passing, speed, and more.  Take advantage of the unlimited clinic membership or the drop in rate for a single clinic.",2,18,"Yes","Yes","Yes","Soccer",,,,,,,,,100,"Per_month","EZ Facility","https://www.facebook.com/TCTCsoccer","Yes","http://www.tctcsoccer.com/images/TCTC_Crest_31.JPG","http://www.tctcsoccer.com/images/stories/Dribbling.png",,,,,
"The Futbol Factory","http://www.thefutbolfactory.us/","shawn@thefutbolfactory.us","2390 Boswell Rd. Suite 400","Chula Vista","CA",91914,"SoCal","Jeana","(619) 271-3246","Wherever your passion for Futbol lies, you'll find a class or program at the Futbol Factory to help you reach your goals on the fieldâ€”and enjoy every step along the way! Future Futbol players from 4 to 17 can improve their skills by enrolling in one or two weekly classes, held from 4 p.m. to 8 p.m. in our Control Room. Play for fun, develop your skills, and correct through repetitive actions. If you have the skills, you will play more, and no matter which team you're on, you'll be on the pitch all the time!",4,99,"Yes","Yes","Yes","Soccer",,,,,,,,,60,"Per_month","In person or fax","https://www.facebook.com/THEFUTBOLFACTORY2","Yes",,,,,,"Website says online registration coming soon","Yes"
"123 Private Soccer Training","http://123soccertraining.com/","123soccerTraining@gmail.com",,"Newport Beach","CA",92660,"SoCal","Jeana",,"123 Private Soccer Training is designed to provide personal and educational correction to the individual to progress their soccer talent. When it comes to soccer, we believe that simplicity is genius.We at 123 PST can enhance players learning through our small group and individual soccer programs. The special benefits at 123 PST are that we specialize in individual instruction in weaker areas of a players’ game to accelerate their progress.",,,"Yes","Yes","No","Soccer",,,,,,,,,60,"Per_class","Paypal","https://www.facebook.com/123SoccerTraining","No","http://123soccertraining.com/wp-content/uploads/2013/04/logowtext-e1365546806743.png","http://123soccertraining.com/wp-content/uploads/2013/04/homepage.jpg","Fullerton, Costa Mesa & Newport Beach",,,,"Yes"
"Southern California School of Goalkeeping","http://keepercamps.com/","INFO@KEEPERCAMPS.COM","672 E 7th St","Upland","CA",91786,"SoCal","Jeana","(909) 229-7929","Southern California School of Goalkeeping (S.C.S.G.) began in 1996 in Southern California with a vision to provide opportunities for young goalkeepers to train, learn, and enjoy the position of goalkeeper. SCSG’s programs reach out to some 200 goalkeepers each year. From seven-year olds just learning the game, to 14-year-olds dreaming of playing for the U.S. National Team, to 18-year olds preparing for a college or professional career, goalkeepers of all abilities can benefit from our training model.",7,19,"Yes","Yes","No","Soccer",,,,,,,,,25,"Per_class","Email or in person","https://www.facebook.com/goalkeepertraining","Yes","http://keepercamps.com/images/newscsgban1.jpg","http://keepercamps.com/images/group-training.jpg",,,,"Multiple locations","Yes"
"Off the Wall Soccer","http://www.offthewallsoccer.com/","TalkToUs@offthewallsoccer.com","700 Mathew Street","Santa Clara","CA",95050,"NorCal/SouthBay","Jeanny","408-988-6900","The Pre Academy is intended for players who want to take their soccer playing to the next level. The program replicates the methods used to train young players in the professional clubs of the U.K. Players with prior soccer experience who possess basic or advanced skills of dribbling, passing, and shooting are a great fit for this program. A Pre Academy class includes technical training, small group drills, and scrimmage.",6,99,"Yes","Yes","Yes","Soccer",,,,,,,,,96,"Per_session","Dash","https://www.facebook.com/pages/Off-the-Wall-Soccer/120097464691297","YES","http://www.offthewallsoccer.com/images/logo.gif","http://www.offthewallsoccer.com/images/OTWSCamp_7.jpg",,,,,
"Go 4 Gold Soccer School","http://www.go4goldsoccer.com/",,"6571 Camden Ave.","San Jose","CA",95120,"NorCal/SouthBay","Jeanny","(408) 997-7775","For the past twenty years Go 4 Gold has been Northern California's Premier Soccer School, educating young girls and boys of all ages in a fun, positive environment. All students are evaluated by age and ability with training geared to maximizing their soccer ability. We offer group ""academies"" for goalkeepers and field players as well as private, one-on-one, instruction. All coaches are highly qualified professionals and are hand selected for their knowledge, personality and exceptional coaching ability.",5,18,"Yes","Yes","No","Soccer",,,,,,,,,40,"Per_class","PDF","https://www.facebook.com/pages/Go-4-Gold-Soccer-Schools-Inc/111793878851307","No",,,,,,,
"Soccer & Smiles","http://www.soccerandsmiles.com/","soccerandsmiles@gmail.com","120 E Street","Redwood City","CA",94063,"NorCal/Peninsula","Jeanny","(650) 400-6068","Let you child’s first soccer experience be a great one! Designed specifically for children 3-8, Soccer and Smiles strives to teach the fundamentals of soccer in a fun, positive, non-competitive and safe environment, while promoting a love of the world’s most popular team sport! Children come away from our classes with self-confidence and a smile.",3,8,"Yes","Yes","Yes","Soccer",,,,,,,,,100,"Per_session","On website","https://www.facebook.com/pages/Soccer-Smiles/160956530775933","NO",,"http://www.soccerandsmiles.com/wp-content/uploads/2009/11/soccer-fauxheader.jpg","Redwood City",,,"Multiple locations and many classes",
"Fremont Youth Sports Club","http://www.fysc.us/","info@fysc.us","44100 Old Warm Springs Blvd","Fremont","CA",94538,"NorCal/EastBay","Jeanny","510-353-1887","FYSC (Fremont Youth Soccer Club) and FYSL (Fremont Youth Soccer League) are dedicated to overseeing the soccer players of Fremont. We are based in Fremont, California and we are devoted to promoting the game of soccer and serving over 3,000 boys and girls in the Fremont area. We are affiliated with California North State Youth Soccer (CYSA), US Club Soccer, Norcal Soccer, the US Youth Soccer Association (USYSA), which in turn is affiliated with FIFA.  he Club Development Plan aims to provide the overall strategic framework for the development of our players, parents, coaches & club. Successful clubs have a well defined organizational structure, detailed player and coach development programs, and excellent administration.",3,19,"Yes","Yes","No","Soccer",,,,,,,,,,"None listed","Demosphere","https://www.facebook.com/fremontyouthsoccer","No",,"http://www.fysc.us/wp-content/uploads/2014/09/05-Girls-640x360.jpg",,,,,
"Union City Soccer Club","http://www.leaguelineup.com/welcome.asp?url=ucsc_soccer&sid=446417554",,"33222 Fifth Street","Union City","CA",94587,"NorCal/EastBay","Jeanny","510-298-7102","Union City Soccer Club has been created for the purpose of providing our community members, youth and adults of all ages an environment free of violence, gangs and drugs to share in their love for Soccer be it full sided, small sided, indoor or sand we will also provide technical training and support for those individuals who aspire to pursue competitive or college levels of play . It will instill the value of continued and higher education, the importance of nutritional and physical health without prejudice to one’s age, race, color, gender, religion, national origin or economical milieu.",4,11,"Yes","No","No","Soccer",,,,,,,,,100,"Per_session","LeagueLineup","https://www.facebook.com/pages/Union-City-Soccer-Club/364491463716815","No","http://my.llfiles.com/00157562/Logo_White_edited.jpg","http://my.llfiles.com/00157562/Barca-01-Team-pix-IMG00180.jpg",,,,,
"Burlingame Soccer Club","http://burlingamesoccerclub.org/",,"PO Box 117822","Burlingame","CA",94010,"NorCal/Peninsula","Jeanny","(650) 558-7319","The Burlingame Soccer Club’s Academy Program is designed as an introductory soccer program for young boys and girls who enjoy playing the sport of soccer and who are looking to improve their soccer skills in an age appropriate FUN learning environment. This training can be taken in isolation or can be supplemental to any existing programs / teams (soccer or otherwise) that these young athletes maybe participating in.",4,18,"Yes","Yes","No","Soccer",,,,,,,,,125,"Per_session","Bonzi","https://www.facebook.com/BurlingameSoccer","No",,"http://burlingamesoccerclub.org/wp-content/gallery/various/2009_05_02-157.jpg",,,,,
"Castro Valley Soccer Club","http://www.castrovalleysoccer.com/","registrar@castrovalleysoccer.com","3585 Castro Valley Boulevard","Castro Valley","CA",94546,"NorCal/Castro Valley","Jeanny","510-537-2902","The CVSC Recreational Program is for children ages 3-18. CVSC offers different programs for different age groups. Our youngest players participate in either the Bumblebee or Grasshopper Programs, which help teach the children and their parents soccer in a very family friendly environment. At these levels, it’s all about the basics of playing with ball. Our older players participate in our general recreational program, which is divided by gender and age groups from U7 to U19. In the younger age groups, skill development and fun is the still the focus. As the players mature, game results become more important for each team but fun should still be a focus of any game.",4,18,"Yes","No","No","Soccer",,,,,,,,,100,"Per_session","Demosphere","https://www.facebook.com/CastroValleySoccerClub","Yes","http://www.castrovalleysoccer.com/images/2010/home-1-1.jpg",,,,,,
"Monterey County Futbol Club","http://www.montereysoccer.com/","mcfcyouthsoccer@gmail.com","25560 Meadowview Circle","Salinas","CA",93908,"Central Cal","Jeanny","831-402-2693","MCFC ""Soccer Start"" is a child-centered program that introduces young players to the world's greatest game and helps players develop technical skills . Each session includes movement games and skills activities that keep energetic kids running, and having fun. No sitting on the bench. Each player plays for the entire session.",3,12,"Yes","Yes","No","Soccer",,,,,,,,,80,"Per_session","PDF","N/A","N/A","http://www.montereysoccer.com/img/MCFCheader.png","http://www.montereysoccer.com/rec/img/2010-photo1.jpg","Robert Down Elementary School, Pacific Grove",,,,"Yes"
"Big Kicks Soccer","http://www.bigkickssoccer.com/",,,,,,"NorCal/SouthBay","Jeanny","(408) 622-8665","Big Kicks Soccer is a year-round co-ed program! Coach Lou created the program to teach the fundamentals of soccer to today's youth, while ensuring a happy and healthy environment. This program has been specifically designed to be taught at school campuses throughout the San Francisco Bay Area.",,,"Yes","No","No","Soccer",,,,,,,,,,"N/A","N/A","N/A","N/A",,,,,,"Website has minimal info","Yes"
"Soccermainia","http://www.soccermainia.com/","info@soccermainia.com","820 Plaza Drive","San Jose","CA",95125,"NorCal/SouthBay","Jeanny","(408) 893-4611","The aim of SoccerMainia programs is to aid each child’s development in three basic ways: physically, socially, and psychologically. All of these components can be developed in a fun-filled, safe environment. SoccerMainia is essentially a fun class of soccer skills and mini soccer games for boys and girls of all ages. When we schedule our classes, we group students by age, and when possible, level of experience in soccer.",3,12,"Yes","Yes","No","Soccer",,,,,,,,,50,"Per_session","Paypal","https://www.facebook.com/pages/SoccerMainia-Inc/270124972983?ref=br_tf","No","http://www.soccermainia.com/sitebuildercontent/sitebuilderpictures/sm_logo.jpg","http://webhosting.web.com/imagelib/sitebuilder/register.com/lib2/category17/girl0066.gif","Multiple School locations","Pre-K",8,,"Yes"
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Soccer",,,,,,,,,,,,,,,,,,,,
