"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type","activity type (if additional type is listed, select from the menu)","activity type (if additional type is listed, select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url"
"White Tiger Kung Fu","http://www.whitetigerschools.com/",,"1990 Westwood Blvd.105","Los Angeles",90025,"(310) 446-5566","White Tiger Kung Fu is martial arts school in Los Angeles, California 
offering training in both Kung Fu and Qigong for all ages 6 and up.  
First class is free and we welcome new students of all levels.","CA",5,99,"yes",,,"Martial Arts",,,,,,"web form, phone","https://www.facebook.com/WhiteTigerLA?fref=ts","yes","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xfa1/t31.0-8/s960x960/10519003_10152531193535095_6926631453888503235_o.jpg","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfp1/t31.0-8/1956929_10152531191700095_7577441000436103419_o.jpg"
"Force 1 Shotokan","http://www.force1shotokan.com/2_home.htm","F1Shotokan@gmail.com","12642 Poway Rd. Ste. 16","Poway",92064,"(760) 595-6737","The mission of Force 1 Shotokan is to build a community of people striving to develop a strong body and a healthy mind. Our program teaches effective self-defense in a fun and encouraging environment while instilling 
the life skills and character of a true martial artist.
                        
Values such as integrity, patience, self control and respect enable our students to achieve a positive attitude, confidence, high self esteem and a healthy spirit. These values and life skills will lead 
to outstanding improvements in academics, careers, physical fitness, mental health and relationships.
                        
Though the art and techniques are traditional, the teaching method has been 
 modernized with fast paced background music and positive personal 
reinforcement. The atmosphere in the dojo is warm but serious; 
""We will have fun, and learn more doing it."" When people enter the dojo, they get a feeling this is a serious but positive pla It is not about training hard, it is about the quality of training. Force 1 Shotokan 
Karate is one of a very small number of Karate schools in the valley to have coached and trained students to become consistent winners.","CA",5,99,"yes",,,"Martial Arts",,,,55,"per_month","phone, in person",,,"http://www.force1shotokan.com/5%20Pictures/10T.png","http://www.force1shotokan.com/5%20Pictures/6d.png"
"Cassio Werneck Brazilian Jiu Jitsu","http://cassiowerneck.com/",,"4837 Auburn Rd.","Sacramento",95841,"(916) 482-2505","The Cassio Werneck Brazilian Jiu Jitsu Academy is the premier BJJ school
 in all of Sacramento. Cassio is the most decorated and accomplished BJJ
 athlete in the entire area. Our school is over 7,000 square feet and 
has three mats for various programs. We also have a CrossFit area that 
is constantly improving.","CA",3,99,"yes",,,"Martial Arts",,,,,,"web form, phone","https://www.facebook.com/cassiowerneckBJJ?fref=ts","yes","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfa1/t31.0-8/s960x960/736670_10151402800278336_1836621396_o.jpg","http://cassiowerneck.com/wp-content/gallery/kids-jiu-jitsu/159_sm.jpg"
"Guardian Quest Martial Arts","http://www.guardianquestmartialarts.com","Learn@GQDojo.com","2782-E Sweetwater Springs Blvd.","Spring Valley",91977,"(619) 582-8770","Character Cultivating, Discipline Developing, 
Powerful, Exciting, Engaging, 
Parent Boosting Martial Arts Program 
Ph.D. Designed and Master Made for Kids","CA",3,99,"yes",,,"Martial Arts",,,,60,"per_month","online","https://www.facebook.com/guardianacademy?fref=ts","yes","http://www.guardianquestmartialarts.com/Guardian_Quest_Martial_Arts/GQDojo_files/Conway_logo.png","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/10252039_920271898001827_8215196224159662974_n.jpg?oh=54041b14cea84217598daf24e4ef8046&oe=54EE80C6"
"Pro-AM Fitness","http://www.proamfitness.com/","proamfamilytraining@hotmail.com","26499 Jefferson Ave. Ste. H","Murrieta",92562,"(951) 696-7770","Pro-Am Family Training Center is dedicated to enriching the lives of 
each and every member by providing energetic and innovative classes for 
everyone in your family. What makes our school unique and different from
 any other martial arts school is our age appropriate curriculum 
designed to challenge all of our students, whatever your skill level may
 be. Pro-Am prides itself on putting your family first, which is why we 
strive to keep a family friendly atmosphere at our school, while 
providing hands on training that promotes personal development and 
enhancement of one’s personal safety.","CA",,,"yes",,"yes","Martial Arts",,,,,,"web form, phone","https://www.facebook.com/Proamfitness?fref=ts&rf=178075652247364","no","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfa1/t31.0-8/1417587_745041308920199_9098002312229926309_o.jpg","https://scontent-a-ord.xx.fbcdn.net/hphotos-xfp1/v/l/t1.0-9/263441_115606631863673_6455946_n.jpg?oh=db6b34aee0ed276cc78b1225380cabdc&oe=54D48EC5"
"Choi's Institute of Tae Kwon Do","http://www.choisuta.com/home/",,"3248 B S. White Rd.","San Jose",95148,"(408) 238-1666","Choi's Institute of Tae Kwon Do  has been established and teaching traditional Tae
Kwon Do in San Jose for over 40 years!  Grand Master Choi is the only Grand Master
in the Evergreen area to reach 9th degree black belt certification from Korea (Kukkiwon,World Taekwondo Headquarters).
We offer classes for children, teens and adults, ranging
from basic to advanced. Classes combine learning and practicing Tae Kwon Do, with
stretching and physical/aerobic conditioning.  At higher levels students will learn
to fight using light contact.  Fighting (also known as sparring) is closely supervised
and requires the students to wear protective equipment.  Protective equipment may
be purchased directly through Choi's studio.","CA",5,99,"yes",,,"Martial Arts",,,,,,"phone",,,,
"Pacific Alliance of Martial Arts","http://www.pama4u.com/index2.html","pama4u@yahoo.com","2667 Croppley Ave.","San Jose",95132,"(408) 946-3200","Pacific Alliance of Martial Arts (P.A.M.A.) teaches 
Tae Kwon Do and Filipino Martial Arts. We teach classes for men, women, 
and children. It's great discipline! Children learn respect, 
self-confidence, concentration, and develop strong leadership skills. 
At Pacific Alliance of Martial Arts, students learn 
self-defense of the body and of the mind. Students learn to be well balanced 
physically, mentally, and spiritually. Martial Arts training is beneficial 
to everyone. It takes patience, commitment, and goal-setting.","CA",5,99,"yes",,,"Martial Arts",,,,,,"email, phone",,,"http://www.pama4u.com/gallery/recent/group/group9.gif","http://www.pama4u.com/gallery/recent/group/group3.gif"
"Martial Arts America","http://www.maakarate.com/New/NewHome.htm",,"2432 San Ramon Valley Blvd.","San Ramon",94583,"(925) 837-3040","Although our techniques are based on centuries old 
knowledge, our applications of that knowledge sets Martial Arts America 
apart from the other schools.  We realize that each student possesses 
different physical abilities.  Size and strength varies with each 
individual, so once you have acquired a strong foundation in the basics, our 
program will enhance your personal physical capabilities and maximize your 
self defense skills.  You will understand exactly what it takes, 
mentally and physically, to defend yourself or your loved ones should the 
need ever arise.","CA",3,99,"yes","yes","yes","Martial Arts",,,,,,"web form, phone",,,,"http://www.maakarate.com/New/2767.jpg"
"Red Dragon Karate","http://www.reddragonetiwanda.com/",,"7373 E. Ave. Ste. 1","Fontana",92336,"(909) 803-2777","Red Dragon Karate is the original mixed martial art.  Our classes 
include martial arts from the seven eastern regions that gave birth to 
the martial arts:  Japan, China, Korea, Okinawa, Indonesia, Philippines,
and Tibet.  From these areas our founder included arts that 
complemented each other and provided the diverse and unique style called Red Dragon Karate, or American Karate.  Some of the styles included in Red Dragon Karate are:
AIKIDO, ESCRIMA, GO JU RYU, HAPKIDO,ISHIN RYU,JUDO,JUJITSU,
KALI,KENPO,KICKBOXING,KUN TAO,MUAY THAI,PENJACK SILAT,
SHAOLIN KING FU,SHOTOKAN,TAE KWON DO,AND MORE!!!","CA",,,"yes",,"yes","Martial Arts",,,,,,"phone","https://www.facebook.com/AudreyReber","no","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10468058_811801762195901_5906968006531008685_n.png?oh=a12337e07024a33c8677ee6586112cfe&oe=54D1F35A&__gda__=1424889196_390d832e33ee2f155483a2963a132751","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10013340_697307656978646_6012661998714291068_n.jpg?oh=3447e0a8eb3bf5cbabc3877135444894&oe=54EF6577&__gda__=1424734379_3fc18ebe99adbbfb21aa566449800f7d"
"Full Circle Aikido","http://www.fullcircleaikidonc.org/index.html","ryan@fullcircleaikidoNC.org","5115 Traffic Way","Atascadero",93422,"(805) 473-2590","A unique and enlivening non-violent martial art serving Atascadero, Templeton, and Paso Robles area.","CA",7,99,"yes",,,"Martial Arts",,,,55,"per_month","email, phone",,,,
"Hauth's Family Taekwondo","http://familytaekwondo.com/","HauthsTaekwondo@gmail.com","8465 Old Redwood Hwy. Ste. 230","Windsor",95492,"(707) 838-3644","We are a family-oriented Martial Arts center that focuses specifically in the art of Taekwondo. Ourgoal is to provide quality instruction in the traditional Korean style 
of Martial Arts - Taekwondo. Taekwondo is more than simply a sport or 
means of self defense, it is a way of life. Its ideals date back to 
ancient Confucians and Buddhists. These ideals include: Loyalty to 
country, Respect toward teachers and elders, and Finishing what you 
begin. 
We offer convenient schedules for kids and adults,
free introductory classes, a clean and safe environment to practice in,
and certified instructors. Best of all, there are no contracts to sign!","CA",,,"yes",,,"Martial Arts",,,,59,"per_5 weeks","email, phone","https://www.facebook.com/pages/Hauths-Family-Taekwondo/102596483153987?fref=ts","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/180487_104255512988084_509140_n.jpg?oh=2b1964877f7dbb0d0cf56d095ad87624&oe=551A816C","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/184738_104255426321426_5260964_n.jpg?oh=84215c23b4dbcb3b307c53ffa8e76047&oe=54E84AC8&__gda__=1423648000_549561c6e957b9d74af20e1baae303a7"
"Aikido West","http://aikido-west.org/index.html","info@aikido-west.org","3164 Bay Road","Redwood City",94063,"(650) 366-9106","Aikido West Dojo is a member of the California Aikido Association. The 
dojo is directed by its founder and Chief Instructor– Frank Doran, 7th 
Dan, Shihan","CA",7,99,"yes",,,"Martial Arts",,,,60,"per_month","email, phone",,,"http://aikido-west.org/images/kids/100121_01kids.jpg",
"Suginami Aikkai","http://www.sfaikido.com/","info@sfaikido.com","141 11th St.","San Francisco",94103,"(415) 777-2833","We teach Aikido to Adults and Children. We maintain the highest level of training of any Dojo on earth","CA",6,99,"yes","yes",,"Martial Arts",,,,,,"email, phone","https://www.facebook.com/aikido.suginami.aikikai?fref=ts","yes","https://scontent-b-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1012056_10152049572137562_1192625221_n.png?oh=85d73c326c69fce22839734e2a750077&oe=54DDFC57","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/10474729_10152598079142562_3939321716255601803_n.jpg?oh=12bfdbc05327aada1d9f683a1a22da68&oe=551FCAD3&__gda__=1428103862_0872dd6156755b545cab650d7780f7b6"
"White Dragon Martial Arts","http://www.whitedragonmartialarts.com/","sifu@temeculakungfu.com","27452 Jefferson Ave. Ste. 8B","Temecula",92590,"(951) 695-2420","White Dragon Marital Arts in the Temecula / Murrieta area.
In the valley since 2003.
White Dragon is dedicated to improving the lives of its students through the practice of martial arts.Students
learn not only one of the most effective systems of self-defense, but 
also one of the most complete forms of health improvement. The values of
positive attitude, discipline, and respect gained from the training 
help students become well-rounded, responsible and successful 
individuals.  One big reason that sets us apart from other schools, is 
that all students receive both private and group classes for the price 
that other schools only offer group classes.","CA",4,99,"yes",,,"Martial Arts",,,,,,"web form, phone","https://www.facebook.com/pages/White-Dragon-Martial-Arts-of-Temecula/1434550983423731?fref=ts","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpa1/t31.0-8/1537544_1455313474680815_1557846439_o.jpg","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xap1/t31.0-8/1559443_1456952467850249_1379629658_o.jpg"
"ModCom MMA","http://moderncombatives.com/",,"1450 San Pablo Ave.","Berkeley",94702,"(510) 540-8283","ModCom MMA - dedicated to bringing Alive training to athletes of all ages, levels and backgrounds.MissionFunction not Fantasy-Fun not Fear.
We offer realistic self-defense skills and training in a supportive 
environment where improved performance, fitness, and fun are the only 
criteria.
We incorporate movement, timing, and appropriate 
progressive resistance from a training partner in all aspects of our 
training. This aliveness means that individuals discover how to make 
skills work -- themselves. Practice becomes a real process of 
self-discovery.
Anyone can train this way, regardless of age or current level of fitness. Company OverviewA
Fun, Challenging, Safe and Supportive Training Environment with classes
in Mixed Martial Arts, Kickboxing, Brazilian Jiu-Jitsu, Judo, and more.","CA",,,"yes",,,"Martial Arts",,,,,,"web form, phone","https://www.facebook.com/ModCom","yes","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10675744_10152384362846818_6995048382621817690_n.jpg?oh=be2a2bb97422e70075847ed0d7733096&oe=55196FC3","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpa1/t31.0-8/s960x960/1412762_10151850854926818_1279990569_o.jpg"
"Kuk Sool Won Martial Arts","http://www.kuksoolwonplacerville.com/",,"2222 Fransisco Blvd.","El Dorado Hills",95762,"(916) 990-5769","We are a family-oriented martial art based on Korean traditions. Our 
mission is to develop mental and physical strength and well-being 
through the practice of martial arts. Practice of Kuk Sool Won is a 
great way to get in shape and learn self-defense in an environment where
 mutual respect and courtesy are a high priority... It's fun too!","CA",3,99,"yes",,,"Martial Arts",,,,,,"phone, email","https://www.facebook.com/pages/Kuk-Sool-Won-Martial-Arts-of-El-Dorado-Hills-Placerville/133171180038319?sk=timeline&ref=page_internal","no","http://www.kuksoolwonplacerville.com/img/family.jpg","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/249773_219010224787747_5230935_n.jpg?oh=1fa294b20a1df4f957c497befd4add0d&oe=54EF4CF9&__gda__=1428146737_5eb828e357c744f12a54cab926164c21"
"Team Florez Muay Thai","http://www.teamflorezmuaythai.com/HOME_PAGE.html","teamflorezmuaythai@gmail.com","151 S. 9th Ave. Unit T","La Puente",91746,"(626) 600-5341","If you are in the San 
Gabriel Valley area and looking for Muay Thai, Boxing, & Fitness 
then check out Team Florez Muay Thai in La Puente. Offering affordable 
classes for Men, Women & Kids.","CA",5,99,"yes",,,"Martial Arts",,,,70,"per_month","web form, phone","https://www.facebook.com/pages/Team-Florez-Muay-Thai/100860573292602?fref=ts","no","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/1901960_765306040181382_5538167466263996435_n.jpg?oh=34ae9667c3dab4b82cbbfe31310923cd&oe=54EACA1E&__gda__=1423831843_f982e30223221ee9b4fb7400e78f94f5","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/484764_669215783123742_1595558955_n.jpg?oh=559738767871fb17df86a5500f03ea0f&oe=551AD68C"
"USA Wu Chi Kung Fu Academy","http://www.wuchikungfu.com/","master@wuchikungfu.com","40924 Fremont Blvd.","Fremont",94538,"(510) 226-6813","USA Wu Chi Kung Fu Academy is a world-class Kung Fu institution that can turn you into a top martial artist.
It was founded by Master Tao He in the San Francisco bay area in 2001, as one of the affiliates of International Wushu Sanshou Dao 
Association (IWSD). Master Tao He is one of the world's renowned Wushu 
coach, and a Wushu Sanshou Do 8 th degree Black Belt. He is currently 
the Director of The Coaches Office of IWSD Association and Chairman of IWSD California. Here at the USA Wu Chi Kung Fu Academy, 
you will receive the finest instruction in authentic Chinese Kung Fu. 
Our masters are internationally recognized for their exceptionally high 
level of attainment in the art and for their many years of experience as
 top-level coaches both in China and in the US . Our masters have 
trained thousands of students throughout the world and have created both
national and international champion competitors in China , Canada , and
the United States . With their current location in the Bay Area, they 
are ready to create their next lineage of students skilled in the traditions of Chinese Kung Fu.","CA",3,99,"yes",,,"Martial Arts",,,,,,,"https://www.facebook.com/UsaWuChiKungFuAcademy?fref=ts","no","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-frc3/v/t1.0-9/249061_650783721603906_1399685720_n.jpg?oh=c0e0d1ea84205aded02402d7859c9af5&oe=54E64D28&__gda__=1424537820_fc8a433e311095c3cccbb5ffa40130d0","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-frc3/v/t1.0-9/945116_690373887644889_1133364452_n.jpg?oh=f0a7c078390f4dbaf931733c6afad440&oe=54DDDFB1&__gda__=1424523845_8f87e4374806332d484a462ac99eb6d7"
"Aikido Institute Davis","http://aikidodavis.com/","aikidodavis@aol.com","638 Cantrill Dr. Ste. B","Davis",95618,"(530) 297-1215","Our mission is to foster peaceful and harmonious human interaction by 
disseminating Aikido and similar arts such as Tai Chi, that help 
individuals tune in to the universal spirit. Aikido Institute Davis is a
 member of the Takemusu Aikido Association638 Cantrill DrDavis, California(530) 297-1215Closed NowTo","CA",8,99,"yes",,,"Martial Arts",,,,65,"per_month","mail, email","https://www.facebook.com/pages/Aikido-Institute-Davis/134994203197966?fref=ts","no","http://aikidodavis.com/vis/logo4.png","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/427917_483488158348567_877790324_n.jpg?oh=aa5a00eed82f2cdf8f07113fe9509e94&oe=5519FD4F&__gda__=1425002481_8c6df0a9b4cf39d8f5282408b5236c5f"
"Millennia Mixed Martial Arts Training Center","http://www.millenniamma.com/millennia/",,"8423 Rochester Ave. Ste. 102","Rancho Cucamonga",91730,"(909) 989-9044","MILLENNIA MMA is one of Southern California's top Mixed Martial Arts 
Schools. It was started over a decade ago by Romie Aram, John Jensen, 
and Javier Vazquez. The three of them ran one of the most successful MMA
 academies in all of the Southern California. It has been the home to 
many championship fighters from around the world.","CA",,,"yes",,,"Martial Arts",,,,,,"phone, in person",,,"https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1958326_10202979271670176_2121333294_n.jpg?oh=3d9ec9d28368c0ec2e2fdc759cfa909c&oe=551D16FE&__gda__=1428125988_c6855340555d26bc074911407472fcef","http://www.millenniamma.com/gallery/upload/2011/04/28/20110428141008-b56f6ba8.jpg"
"Little Tao Dragon","http://www.littletaodragon.com/studio/","fordvedwards@verizon.net","137 S. Harvard St.","Hemet",92543,"(951) 791-0680","You don’t have to travel to China to experience the ancient secrets of the martial and healing arts.
The Little Tao Dragon is right here in Hemet!
Experience a real kung fu workout, or relax in the temple-like setting with the slow healing movement of Tai Chi.
Then release the days stress with a peaceful meditation.  Join us in 
this very special place, patterned after the temples of china.
We offer day and evening classes in Kung Fu, Tai Chi Ch`uan, Chi Kung, Reiki Healing, and Self Defense.","CA",,,"yes",,,"Martial Arts",,,,,,"email, phone",,,"http://www.littletaodragon.com/studio/wp-content/uploads/2007/09/KungFu02-1024x576.jpg","http://www.littletaodragon.com/studio/wp-content/uploads/2013/10/taichi.jpg"
"Elite Taekwondo Academy","http://www.elitekicks.com/","Info@elitekicks.com","53 Wright Brothers Ave.Ste. B","Livermore",94551,"(925) 606-0525","Traditional Martial Arts & Olympic Style Taekwondo Reinforcing
 Positive Family Values & Developing Life Skills. Top quality 
instruction. Come try a class for free & see the difference.","CA",5,99,"yes",,,"Martial Arts",,,,55,"per_month","phone","https://www.facebook.com/pages/Elite-Taekwondo-Academy-Livermore/201935033204470?sk=timeline","no","http://www.elitekicks.com/main/lessons/basic2.jpg","http://www.elitekicks.com/main/photo/photos/003.jpg"
"Hwang's ATA Martial Arts","http://kickata.com/","hwangsata@yahoo.com","5567 E. Santa Ana Canyon Rd.","Anaheim",92807,"(714) 282-5425","The teaching curriculum at the Hwang's ATA Black Belt Academy is based on two concepts: ""positive mental attitude"" and ""high goal settng."" We feel so positive about this program that we promise to give you and your family the most professional, well supervised and the highest quality classes available in any sport or art. All martial arts schools are not the same. At Hwang's ATA Martial Arts instructors are not only highly skilled martial artists, they are highly trained instructors.","CA",4,99,"yes","yes",,"Martial Arts",,,,,,"web form, phone, email","https://www.facebook.com/anaheimATA?fref=ts","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/971793_561695530533210_1602674481_n.jpg?oh=f323ea5d3f440e1ec50c590ecc72ee48&oe=54EE4177","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xaf1/t31.0-8/10655312_723445347691560_258388212871609150_o.jpg"
"Red Dragon Karate","http://www.reddragonglendora.com/","social@reddragonkarate.com","1826 E. Route 66","Glendora",91740,"(626) 914-0342","The American form style of karate taught at each Red Dragon Studio is a 
combination of the 7 major Oriental styles of martial arts.  It is a 
very fast and powerful martial arts form that requires each student's 
desire, effort and commitment to excel.","CA",4,99,"yes","yes","yes","Martial Arts",,,,,,"phone, web form","https://www.facebook.com/RedDragonGlendora","no","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10620620_773281222718691_471653833453762267_n.jpg?oh=a277769858622dca508cb434b03c2f65&oe=551CA799&__gda__=1424331684_5cd7fd1cd96eb10e4daaaa2cb0cf1f0b","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpa1/t31.0-8/10448643_773196922727121_6578956587798792298_o.jpg"
"Moore's Martial Arts",,"mooresv1@hotmail.com","3509 W. Walnut Ave.","Visalia",93277,"(559) 635-8663","Moore’s Shou Shou is an application art.
 We use the fighting styles of seven different animals to develop 
fighting skills. It’s called an application art because we have 
eliminated all the wasted motion and teach the self-defense application 
part of the technique. The term Shou Shu means “Fighting ways of the beast” or “Beast Art”. The benefits that are attained by training in 
Shou Shu are; increased self-confidence, improved physical fitness, 
increased concentration, discipline, flexibility, Positive reactions in 
self-defense situation, etc.","CA",,,"yes",,,"Martial Arts",,,,,,"phone, email","https://www.facebook.com/mooresmartialartsvisalia/timeline","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/156122_458041460878044_1226322604_n.jpg?oh=8c9df216e722b652e64bc3095c22a4be&oe=54E18582","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/1798877_788739971141523_1256305216_n.jpg?oh=4d5752a76565e93c4e45fdd3c89ce13f&oe=54DAA089"
"Tae Ryong Taekwondo","http://www.trtkd.com/baker/","taeryongtkd@gmail.com","9620 Hageman Rd.","Bakersfield",93312,"(661) 589-5425","The Tae Ryong Taekwondo School of Bakersfield opened in November of 
2008. It is owned and operated by Master Hyo Bang. Master Hyo Bang 
started his Martial Arts studies at the age of six, and since that time 
has dedicated his life to learning and teaching the Taekwondo way.
Since Master Bang began his career as an instructor in 1998, he has 
been devoted to sharing his passion for Taekwondo with his students and helping them to achieve their dreams.
Now, with over 30 years 
of experience, Master Bang is committed to bringing the highest quality 
of Martial Arts training to you and your family. Classes are offered for
all ages from as young as 4 to as old as 400, well maybe not quite 
400...but close.","CA",4,99,"yes",,,"Martial Arts",,,,39.95,"per_2 weeks","phone, web form","https://www.facebook.com/pages/Tae-Ryong-Taekwondo-School/188537701195159?sk=timeline","no","http://www.trtkd.com/upload/camarillo/Belt%20Testing/DSC_0024.JPG","http://www.trtkd.com/upload/camarillo/Belt%20Testing/DSC_0266.JPG"
"Golden State Martial Arts Academy","http://www.karateyubacity.com/karate-in-yuba-city/","goldenstatemaa@sbcglobal.net","867 Richland Rd. Ste. A","Yuma City",95991,"(530) 755-3454","Golden State Martial Arts is a full time martial arts academy in Yuba City.  We offer classes for men, women and children (5+).","CA",5,99,"yes",,,"Martial Arts",,,,,,"phone, email","https://www.facebook.com/goldenstatemartialartsacademy/timeline","no","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/602604_10151233060557300_383179387_n.jpg?oh=b9e7b26552ff9f6542bade5d1120172f&oe=54D4FD7A&__gda__=1423711145_fca8489a7ba2c9d44b6f2a723deb6f3b",
"Ukiah Aikido","http://www.zanshinart.com/UkiahAikido/",,"901 S. Oak St.","Ukiah",95482,"(707) 462-5141","A  community resource in our rural 
area for over 30 years, Ukiah Aikido offers adult and children's classes
and welcomes visitors.DescriptionAn
independent, inclusive aikido dojo that strives to integrate the 
spiritual and martial aspects of the art. Children's classes, based on 
age, are offered several times a week from 5:30 - 6:30 PM. Adult Basics 
and Basic/Intermediate classes are offered Monday and Thursday evenings,
Advanced on Wednesday evening, and Tuesday evening programming is variable short courses (Low Impact, Falling, etc.) with no classes held on some Tuesdays.","CA",,,"yes",,,"Martial Arts",,,,50,"per_month","phone","https://www.facebook.com/UkiahAikido/timeline","no","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10153703_821477921208247_798052852793919076_n.jpg?oh=074571c3129bd4e7aa86992e0db7cba8&oe=5520115F&__gda__=1424987670_229f0ae5ea0bf42be1b4ab1112a55ee9","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10583973_818559201500119_7553707443307622827_n.jpg?oh=fd2e0879be813f9673b73b98320def3e&oe=54E872CA&__gda__=1424842098_82725bb0d121154c84d1e850d366128e"
"Mainstreet Kickboxing","http://www.mainstreetkickboxing.com/","Danny@MainStreetKickboxing.com","401 Hillcrest Rd. Unit D","Hollister",95023,"(831) 638-1077","At MSK you can train to get in shape with Core Training or become the best you can be in any
of our fighting arts ranging from Muay Thai Kickboxing, Boxing, Jui Jitsu & Wrestling. All 
classes are taught by well qualified trainers who carry expertise in all of these areas 
needed to get the best out of your body. If youre looking for group classes, private 
one-on-one training or if you want to train to compete, MSK has it all. Our full schedule 
allows you to fit the right class into your busy life at the the right time. Open daily, both
morning and night, 6 days a week for men, women & children.","CA",4,99,"yes","yes",,"Martial Arts",,,,,,"phone, email","https://www.facebook.com/pages/MSK-Main-Street-Kickboxing/121595357867256?sk=timeline","yes","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/1234753_996425043717612_5674091122453518456_n.jpg?oh=fff80783b00b627f50c83964bc5f5640&oe=551F6C84","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfp1/v/l/t1.0-9/10353117_930716696955114_5246679611063783663_n.jpg?oh=e407a56d1b1d1e0f2bb1d3e70a7f4454&oe=54D90B49"
"Hemet Gracie Jiu Jitsu","http://hemetgraciejiujitsu.com/","adam@graciehemetjiujitsu.com","3506 Tanya Ave.","Hemet",92545,"(951) 704-2425","Gracie Jiu Jitsu Hemet is for everyone and anyone who is looking to get 
in shape, learn self defense, and improve the overall quality of their 
lives. In addition our family-oriented environment is a perfect place to
 teach your children to feel safe everyday not only when they are at 
school or outside playing, but also in developing their self-confidence 
and discipline.","CA",4,99,"yes",,,"Martial Arts",,,,,,"online","https://www.facebook.com/HemetGracieJiuJitsu","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/1902768_711599495557500_587643602_n.jpg?oh=d9ee278512fb9d2cf6c4bc9226c5747b&oe=54D5EF0A","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/10553398_790228624361253_7573841172280462505_n.jpg?oh=78926df3581e957c77334a3e56d4cbcd&oe=54EB95C8&__gda__=1424865145_ca2536fcf75cb736332d152e6cd22cf0"
"Kung Fu San Soo Chula Vista","http://www.kungfusansoochulavista.com/","rickdinsmore@cox.net","1380 Third Ave.","Chula Vista",91911,"(619) 946-7035","A LoSifu Chin Siu Dek loyalist school since 1980, dedicated to the original style.","CA",8,99,"yes",,,"Martial Arts",,,,125,"per_month","phone, email","https://www.facebook.com/pages/Kung-Fu-San-Soo-Chula-Vista/144990170220?fref=ts","no","http://www.kungfusansoochulavista.com/BestSiteBannerDisc.JPG","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpa1/t31.0-8/1025518_10153850348105221_223303596_o.jpg"
