"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Notes","Hot Lead"
"South Bay Art Department","http://www.mbartdepartment.com/",,"1075 Aviation Blvd","Hermosa Beach",90254,"(310) 379-5879","""Every child is an artist, the problem is staying an artist when you grow up."" ~ Pablo Picasso","CA",5,,"yes","yes","yes","Creative Arts","Drawing and Painting","Photography and Video","Cartooning",,,,,"fashion illustration",30,"per class","online","https://www.facebook.com/SBArtDept","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-ash2/v/t1.0-9/64452_624123107602640_1081515474_n.png?oh=094cfa6b54d3b9851205bfd2d5eee6fd&oe=54DE18AF","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/998339_673256782689272_1152283377_n.jpg?oh=c8619c8fd94cd8a8b6ee0fb244a13892&oe=54DC15EA",,,,,
"Blue Door Beads","http://www.bluedoorbeads.com/","info@bluedoorbeads.com","4167 Piedmont Ave","Oakland",94611,"(510) 652-2583","We offer a wide range of beads, findings, tools and supplies. We also feature unique found materials, such as watch parts, vintage fishing lures, radio resistors, and more. Stop in and make something at our work table, purchase a handmade gift, take a class, check out our artist studios and receive quality personal assistance!","CA",,,"yes",,"yes","Creative Arts",,,,,,,,"beads/jewelry making",,,"phone/walkin","https://www.facebook.com/bluedoorbeads/timeline","yes","http://www.bluedoorbeads.com/img/blue-door-beads.gif","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10405647_917709108241006_1970949693803781975_n.jpg?oh=91856219e80ead77f0a6f8e86a66eb8e&oe=55137B1D&__gda__=1427676279_2f5e07cde72d5caa1c42b39c11261878",,,,,
"Creative U Studios","http://www.creativeu.net/","info@creativeu.net","17733 Sierra Hwy","Canyon Country",91351,"(661) 250-4600","We are Santa Clarita's premiere stitching studio. Our goal is to surround you with wonderful fiber and inspire you to create 'til your heart's content. Visit us and see why so many say ""It's worth the drive!""  We carry a variety of yarn lines, stock needles from several different makers as well as accessories and notions. There really isn't anything that you can't find here; especially community.","CA",6,,"yes",,,,,,,,,,,"quilting/stitching/crafts",,"not listed","phone","https://www.facebook.com/pages/Creative-U-Studios/124966517526880?sk=info&tab=overview","no","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/64154_359906227366240_1874560146_n.jpg?oh=d79f4750edaf55aa8559c812c71c36bf&oe=551BC0C2&__gda__=1423567662_39729083a10a99dc3768e4d41f64ae7e","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/420559_359538804069649_28937896_n.jpg?oh=cf15fb175901b147fb96e1a6a8be5918&oe=54D99078&__gda__=1423013343_0bbb1b18ecfa24107fb8d57c008c88bb",,,,,
"Barbara Davies Art Studio","http://www.bdaviesart.com/#!art-classes/c1gzg","BDavies@allteq.com","Art On The Lane.
Clock Tower Center
381 Hartz Ave.
Suite A","Danville",94526,"925-683-0120","Barbara teaches art classes in Danville, CA in her studio ""Art On The Lane"" for students of all ages.","CA","??","??","yes",,,"Drawing and Painting",,,,,,,,,,,"email","n/a","n/a","i cant seem to get any pictures on the site",,,,,,
"Smart Kids Time","http://smartkidstime.com/","admin@smartkidstime.com","5500 Grossmont Center Dr.","La Mesa",91942,"(619) 644-8800","Smart Kids Time is an Indoor Children Learning Play Center 
that offers a series of parent/child activities devoted to the educational, emotional and social development of children","CA","??","??","yes",,"yes","Drawing and Painting","Creative Arts","Sculpture",,,,,,"math/music/piano/vocals/drop in gym",20,"per class","phone","https://www.facebook.com/SmartKidsTime","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/527939_329653423782729_948371476_n.jpg?oh=f5fbb1117d0c48953a7e1604f3bb9521&oe=54DA27C0","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/1545701_567793586635377_1547412314_n.png?oh=f9e0af8f008629afc0787c5618eb339c&oe=55084010&__gda__=1426747798_3fcfed01c1a1da5e330677896e234eb2",,,,,
"Abrakadoodle - East Bay Area","http://www.abrakadoodle.com/ca-east-bay-area/","RYong@abrakadoodle.com","2856 Washington Blvd","Fremont",94539,"(510) 770-1506","“The Abrakadoodle® mission is to enhance the lives of children by creating an educationally rich learning environment that ignites their imaginations and leads them to discover their own unique creativities, talents and abilities.”","CA",1,,"yes","yes","yes","Drawing and Painting","Creative Arts",,,,,,,,,"??","online","https://www.facebook.com/Abrakadoodle","yes","http://75.103.85.124/~sid3399/wp-content/uploads/2013/12/ABKlogo-RGB-10011.jpg","http://www.abrakadoodle.com/wp-content/uploads/2013/09/500greysliderkidfacesrev31.jpg",,,,,
"Abrakadoodle - North County San Diego","http://www.abrakadoodle.com/ca-north-county-san-diego/","KNugent@abrakadoodle.com","2856 Washington Blvd","Fremont",94539,"(510) 770-1506","“The Abrakadoodle® mission is to enhance the lives of children by creating an educationally rich learning environment that ignites their imaginations and leads them to discover their own unique creativities, talents and abilities.”","CA",1,,"yes","yes","yes","Drawing and Painting","Creative Arts",,,,,,,,,"??","online","https://www.facebook.com/Abrakadoodle","yes","http://75.103.85.124/~sid3399/wp-content/uploads/2013/12/ABKlogo-RGB-10011.jpg","http://www.abrakadoodle.com/wp-content/uploads/2013/09/500greysliderkidfacesrev31.jpg",,,,,
"Abrakadoodle - South Orange County","http://www.abrakadoodle.com/ca-south-orange-county/","RCurran@abrakadoodle.com","2856 Washington Blvd","Fremont",94539,"(510) 770-1506","“The Abrakadoodle® mission is to enhance the lives of children by creating an educationally rich learning environment that ignites their imaginations and leads them to discover their own unique creativities, talents and abilities.”","CA",1,,"yes","yes","yes","Drawing and Painting","Creative Arts",,,,,,,,,"??","online","https://www.facebook.com/Abrakadoodle","yes","http://75.103.85.124/~sid3399/wp-content/uploads/2013/12/ABKlogo-RGB-10011.jpg","http://www.abrakadoodle.com/wp-content/uploads/2013/09/500greysliderkidfacesrev31.jpg",,,,,
"Artelier","http://www.creativeart4children.com/","kimjart4c@cox.net","26 Daisy St","Ladera Ranch",92694,"(949) 294-2149","Our mission at Atelier: Creative Art for Children is to offer a meaningful and thoughtful art program in which children are free to express their ideas, feelings, and values through the creation of artwork using different media, styles, and forms of expression.  Art provides quality of life!

Promote creativity
Encourage expressing their own ideas and thoughts
Help the child grow physically, emotionally, socially, perceptually, and cognitively
Enhance their perceptual, sensory, and kinesthetic experiences
Utilize various materials to further develop the experience of touch and feel
Encourage self-reflection and responding to the art of others","CA",3,,"yes","yes",,"Drawing and Painting","Creative Arts","Pottery",,,,,,,,"??","phone","n/a","n/a","http://www.creativeart4children.com/Images/main/top.jpg","http://www.creativeart4children.com/Images/main/philosophy03.jpg",,,,,
"The Ceramics Studio","http://www.theceramicsstudio.com/","melissa@theceramicsstudio.com","31878 Del Obispo St, Ste 106","San Juan Capistrano",92675,"(949) 412-9241","The Ceramics Studio is your place for drop-in art creation activities and ceramic art classes","CA",3.5,,"yes",,"yes","ceramics","Pottery",,,,,,,,25,"per class","online","https://www.facebook.com/theceramicsstudio","yes","http://www.theceramicsstudio.com/wp-content/uploads/2014/06/cropped-cropped-cropped-cropped-Ceramics-Studio-Header.jpg?87c646","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10246723_475688379199193_9058174805499687115_n.jpg?oh=22efd0f97c4bd0c0a1939cfc040fc5fe&oe=551937EF&__gda__=1426683479_3b65238cb89062491605e22719fe7ab7",,,,,
"Li's Art Studio","http://www.liartstudio.com/","??","32134 Alvarado Blvd","Union City",94587,"(510) 675-9226","drawing for all ages","CA",4.5,,"yes",,,"Drawing and Painting",,,,,,,,,,"?","phone","n/a","n/a","http://static.squarespace.com/static/53ed92f3e4b0439bf8d0fdc0/t/53f41e5ce4b00966dc50976d/1408507535922/home-blog.jpg?format=500w","http://static.squarespace.com/static/53ed92f3e4b0439bf8d0fdc0/53f3a5cce4b07904af03d0b2/53f40580e4b09d2c3eb0bbc2/1408501199286/?format=750w",,,,,
"Li's Art Studio","http://www.liartstudio.com/","??","7406 Stoneleaf Rd.","San Ramon",94582,"(510) 220-8619","drawing for all ages","CA",4.5,,"yes",,,"Drawing and Painting",,,,,,,,,,"?","phone","n/a","n/a","http://static.squarespace.com/static/53ed92f3e4b0439bf8d0fdc0/t/53f41e5ce4b00966dc50976d/1408507535922/home-blog.jpg?format=500w","http://static.squarespace.com/static/53ed92f3e4b0439bf8d0fdc0/53f3a5cce4b07904af03d0b2/53f40580e4b09d2c3eb0bbc2/1408501199286/?format=750w",,,,,
"Corona Art Association","http://www.coronaartassociation.org/","coronaarts@att.net","522 Corona Mall","Corona",92879,"(951) 735-3226","basic mission which is to support the arts and the efforts of artists within the community and to provide a means to educate the association members, the Corona/Norco community and the general public about the visual arts. The visual arts are a positive aspect of our community and the continued growth and expansion of the arts helps everyone experience a better quality of life.","CA","??","??","yes",,,"Drawing and Painting",,,,,,,,"kiln formed glass",60,"per month","phone","https://www.facebook.com/CoronaArtAssociation","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/422942_376744142352520_2111313225_n.jpg?oh=0107048d0999702ac700e2e79a40e36f&oe=54D576CC","http://www.coronaartassociation.com/artclasses/2.png",,,,,
"Creative Minds Art Studio","http://www.creativeminds-artstudio.com/","faygtari@gmail.com","9524 Nordhoff St. Unit 4A","Northridge",91324,"(818) 671-8677","At Creative Minds Art Studio, children can learn and grow by developing 
artistic memories that last a lifetime. Our goal is to provide a personalized service that both children and their parents can enjoy!

Creative Minds Art Studio caters to each child's specific needs, building self-esteem through developing artistic abilities. We provide art lessons throughout the week, and birthday parties on the weekends, including ceramic painting","CA",,,"yes",,"yes","Drawing and Painting","Creative Arts",,,,,,,,110,"per month","phone","https://www.facebook.com/pages/Creative-Minds-Art-Studio/555689691110340","no","cant find one","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/427757_555690001110309_1528458842_n.jpg?oh=ea4296cabcd8181e25ef0912db282f13&oe=54D7CF2B",,,,,
"Yamaha Music Academy West Orange County","http://www.yamahamusicacademy.com/fountain-valley/home","??","18059 Magnolia St","Fountain Valley",,"(714) 596-4788","Yamaha Music Academy invites you and your child to experience the universal language of music and to indulge in the joy of music with our experienced and certified teachers.

Blue Music Note
Since 1987, Yamaha Music Academy has been serving West Orange County including cities of Fountain Valley, Huntington Beach, Garden Grove, Westminster, Santa Ana and surrounding areas.

As an authorized Yamaha Music School, we offer Yamaha Music Education System classes as well as private one-on-one instructions for piano, vocal, violin, guitar, flute, saxophone, clarinet and drums.","CA",3,18,"yes",,,,,,,,,,,"music, piano, violin",92,"per month","phone","https://www.facebook.com/yamaha.music.academy.us","yes","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-frc3/v/t1.0-1/c30.30.381.381/s160x160/578759_10150691869968861_1626726796_n.jpg?oh=8df75a3cc0d63c46ada94e530cd352a6&oe=551DD094&__gda__=1427657445_edd1de953aa671f670a1bfa4aff87b45","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/10371742_10152182123513861_3453928911167472798_n.jpg?oh=a996775b7de62beb2895bc5d76b79768&oe=5509D8F8",,,,,
"Yamaha Music Academy North Orange County","http://www.yamahamusicacademy.com/fullerton/home","??","2972 Yorba Linda Blvd","Fullerton",,"(714) 985-9490","Yamaha Music Academy invites you and your child to experience the universal language of music and to indulge in the joy of music with our experienced and certified teachers.

Blue Music Note
Since 1987, Yamaha Music Academy has been serving West Orange County including cities of Fountain Valley, Huntington Beach, Garden Grove, Westminster, Santa Ana and surrounding areas.

As an authorized Yamaha Music School, we offer Yamaha Music Education System classes as well as private one-on-one instructions for piano, vocal, violin, guitar, flute, saxophone, clarinet and drums.","CA",3,18,"yes",,,,,,,,,,,"music, piano, violin",92,"per month","phone","https://www.facebook.com/yamaha.music.academy.us","yes","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-frc3/v/t1.0-1/c30.30.381.381/s160x160/578759_10150691869968861_1626726796_n.jpg?oh=8df75a3cc0d63c46ada94e530cd352a6&oe=551DD094&__gda__=1427657445_edd1de953aa671f670a1bfa4aff87b45",,,,,,
"Kids Be Inspired","http://www.kidsbeinspired.com/","suprago2@gmail.com","3654 Thornton Avenue,","Fremont",94536,"(510) 565-8873","Activities such as drawing, painting, cutting, and rearranging, fuel imagination and creativity. We have to start the process of creation from simple things, and then go on to create more intricate and challenging crafts. Some art and crafts may look simple but they are not; they involve techniques that need to be learnt. If we know how to make snowflakes we can make paper-sculptures; if we know how to shape clay we can go on to sculpt breathtaking statues and monuments; if we can paint a line we can become a Picasso; the possibilities are endless. The foundation for drawing, painting, and crafting starts at  Kids Be Inspired. Kids Be Inspired classes concentrate on teaching children how to use their imagination most effectively. 

Art classes are intended to be purely creative, yet structured so that a child learns and moves to the next level with confidence. We encourage our students to indulge in undiluted fun, and boundless expression. We teach our students to think out-of-the-box, and to accept challenges in order to create works of art, above and beyond. These classes are designed to be expressions of your child at play; imagining while playing, creating while imagining, playing while creating.","CA",,15,"yes","yes",,"Drawing and Painting","Creative Arts",,,,,,,,75,"per month","phone","https://www.facebook.com/pages/Kids-Be-Inspired-The-Creative-Art-Studio/117495841668336","no","http://nebula.wsimg.com/692e51873672fd985b5a565a4330008a?AccessKeyId=E33C2F5821BACDE7B5B5&disposition=0&alloworigin=1","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/p417x417/283582_135984649819455_3695064_n.jpg?oh=9bef4af10ba5428fa8afd678631bd051&oe=551FCCFC&__gda__=1427293033_decf151bafcc44e32373c03ff408e0a2",,,,,
"Belle Arti, Fine Art Academy","http://www.belleartiacademy.com","LJKrimmel@gmail.com","418 S. Myrtle Ave.","Monrovia",91016,"(626) 736-9541","We provide fine art instruction that allows each student to explore their creativity with a variety of mediums and subject matters. With a small student/teacher ratio, each student is able to work on individual projects, pursuing their own artistic goals through assorted media such as oils, pastels, watercolor and much more. Belle Arti focuses on the creative process while stressing classical techniques in a fun and innovative way. We believe that everyone is an artist, regardless of age or past experience, and it is our mission to aid each individual in their artistic journey. Here at Belle Arti, we are able to offer private instruction in an intimate environment that is unmatched anywhere else.","CA",5,18,"yes","yes",,"Drawing and Painting","Creative Arts",,,,,,,,20,"per hour","phone","https://www.facebook.com/pages/Belle-Arti/244220825613200?fref=ts","no","http://static.wixstatic.com/media/c51db8_9ec80b8a539b4975b97adc89f591258b.png_srz_p_693_222_75_22_0.50_1.20_0.00_png_srz","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10384370_692233674145244_144964052389546011_n.jpg?oh=dd227b428c210f36a24a3aa1844575c8&oe=55177B69",,,,,
"Knit Fit Santa Barbara","http://www.knitfit.org/","??","320 W Carrillo St","Santa Barbara",93101,"(805) 963-2331","When we encourage our kids to craft, we are helping to develop their fine motor skills, strengthen the connection between their hands and their brain, and oh… yes… they are also having a great time doing it!

Crafting is a way to introduce the concept of becoming a “Maker” and not just a user or a consumer in our world. It is a way to show your child the beauty of making something and selling it at a lemonade stand. The time is now to teach the importance of learning how to make old things in a new way…and to create new ideas for old ways.","CA",,,"yes",,"yes","Sewing","Knitting","Creative Arts","Drawing and Painting",,,,,,,"??","phone/walkin","https://www.facebook.com/knitfitcali","yes","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/380668_345801182137454_122859209_n.jpg?oh=f7c18ac1ab34dbcd6951c8f9939be883&oe=55200D58&__gda__=1423126758_8565731ae9e0b65a9820c835ab3164aa","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10730822_844844962233071_9106177484697871928_n.jpg?oh=1264b56901ef06da04453a3ae54535b1&oe=55163040&__gda__=1423745784_8e56d58a61766a3af22beea43e6c10f8",,,,,
"Knit Fit Solvang","http://www.knitfit.org/","??","473 Atterdag Rd.","Solvang",93463,"(805) 688-0686","When we encourage our kids to craft, we are helping to develop their fine motor skills, strengthen the connection between their hands and their brain, and oh… yes… they are also having a great time doing it!

Crafting is a way to introduce the concept of becoming a “Maker” and not just a user or a consumer in our world. It is a way to show your child the beauty of making something and selling it at a lemonade stand. The time is now to teach the importance of learning how to make old things in a new way…and to create new ideas for old ways.","CA",,,"yes",,"yes","Sewing","Knitting","Creative Arts","Drawing and Painting",,,,,,,"??","phone/walkin","https://www.facebook.com/knitfitcali","yes","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/380668_345801182137454_122859209_n.jpg?oh=f7c18ac1ab34dbcd6951c8f9939be883&oe=55200D58&__gda__=1423126758_8565731ae9e0b65a9820c835ab3164aa","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10730822_844844962233071_9106177484697871928_n.jpg?oh=1264b56901ef06da04453a3ae54535b1&oe=55163040&__gda__=1423745784_8e56d58a61766a3af22beea43e6c10f8",,,,,
"Nimbus Arts","http://www.nimbusarts.org/","info@nimbusarts.org","651 Main St","St. Helena",94574,"(707) 963-5278","Nimbus Arts is dedicated to nurturing curiosity, fostering creative expression, and building a sense of community. In addition to on-site classes and camps, open studios, and lectures, we offer free public events, community service programs, classes in public and private schools, and collaborative art projects throughout Napa County.","CA",2,"adult","yes","yes",,"Creative Arts","Drawing and Painting","Ceramics",,,,,,,15,"per class","online","https://www.facebook.com/pages/Nimbus-Arts/239568674397","yes","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c48.48.601.601/s160x160/183833_10150105137639398_3414396_n.jpg?oh=ce78f122a37cb13bc988b170f46f1e30&oe=551EC36A&__gda__=1426599595_1b0658cf3053ce9a49f2f7c674167cbb","https://scontent-a-ord.xx.fbcdn.net/hphotos-xfp1/v/l/t1.0-9/1240442_10151678454419398_1178006680_n.jpg?oh=d4dd34300eb5688c1d44dc0354529656&oe=54D1E14B",,,,,
"The Art House of Fullerton","http://www.thearthousefullerton.com/","THEARTHOUSEFULLERTON@LIVE.COM","1380 Harbor Blvd, La Habra.",,,"714 870 7119","The Art House Fullerton and The Art House Dana Point!  Teaching Fine Art Classes to Children and Teens, K-12 since 1987.  We offer year-round, after-school fine art classes for kids in a structured, supportive, creative class environment. We offer full portfolio service.  Our students have been accepted to top liberal art and fine art universities.  Both studios have an on-site gallery, and a full curriculum inclusive of weekly art history and a full range of media and technical skills.  Classes meet 1 hour/week year round weekday afternoons and Saturday mornings. Serving La Habra, Brea, Chino Hills, Yorba Linda, Fullerton, San Clemente, Laguna Niguel, Dana Point, San Juan Capistrano, Carlsbad...","CA",4,18,"yes","yes",,"Creative Arts","Drawing and Painting",,,,,,,,,"??","phone","https://www.facebook.com/pages/The-Art-House/193860187295657?sk=info","no","http://www.thearthousefullerton.com/communities/8/004/007/095/478//images/4562454758_316x160.jpg","http://www.thearthousefullerton.com/communities/8/004/007/095/478//images/4616310502_333x488.jpg",,,,,
"The Art House of Dana Point","http://www.thearthousefullerton.com/","THEARTHOUSEDANAPOINT@LIVE.COM","34085 Pacific Coast Hwy","Dana Point",92629,"(949) 350-2285","The Art House Fullerton and The Art House Dana Point!  Teaching Fine Art Classes to Children and Teens, K-12 since 1987.  We offer year-round, after-school fine art classes for kids in a structured, supportive, creative class environment. We offer full portfolio service.  Our students have been accepted to top liberal art and fine art universities.  Both studios have an on-site gallery, and a full curriculum inclusive of weekly art history and a full range of media and technical skills.  Classes meet 1 hour/week year round weekday afternoons and Saturday mornings. Serving La Habra, Brea, Chino Hills, Yorba Linda, Fullerton, San Clemente, Laguna Niguel, Dana Point, San Juan Capistrano, Carlsbad...","CA",4,18,"yes","yes",,"Creative Arts","Drawing and Painting",,,,,,,,,"??","phone","https://www.facebook.com/pages/The-Art-House/193860187295657?sk=info","no",,,,,,,
"After school learning tree","http://www.yucailearningtree.com/","yucailearningtree@yahoo.com","11525 Sorrento Valley Rd","San Diego",92121,"(858) 259-0066","A place for kids grades 1-6 to go after school to take classes in music, arts, academia, etc.","CA",6,12,"yes",,,"Creative Arts","Drawing and Painting",,,,,,,"music, math, table tennis, etc",,"??","phone","https://www.facebook.com/AfterSchoolLearningTree/timeline","no","http://www.yucailearningtree.com/wp-content/uploads/2014/08/copy-yucailogo.jpg","http://www.yucailearningtree.com/wp-content/uploads/2014/08/dance-double.jpg",,,,,
"Art Trek","http://arttrek.org/summer-camp/","info@arttrek.org","703 Rancho Conejo Blvd","Newbury Park",91320,"(805) 499-1700","Art Trek, Inc. is an independent, hands-on, not-for-profit arts program bringing quality visual, literary and performing arts into the community. It has been active since 1992 and was established as a not-for-profit in 2006.  Our mission is to create a positive and confidence-building experience for individuals of all ages and socio-economic backgrounds: in classrooms, in public facilities, in our studio and wherever we can meet a need. We commit to extending ourselves into high-risk programs, underserved and needy populations, senior programs, social service programs and to educators in professional training workshops. Through our staff and team of 400 volunteers, we currently reach over 20,000 students every year.   Art Trek invites your child (age 8+) to join us from 3:00–5:30pm on Tuesdays and Thursdays beginning Tuesday January 7th through Thursday March 27th, 2014 for its After School Art program at its Newbury Park studio! Students will complete a new project every day!","CA",8,,"yes","yes",,"Creative Arts","Drawing and Painting",,,,,,,"after school and summer camp programs",15,"per day","phone","https://www.facebook.com/arttrekinc","no","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xap1/t31.0-8/s960x960/10608729_701506679930386_7102660326853765484_o.jpg","http://static.squarespace.com/static/513e2dbae4b07325d70f4b6d/522a037ae4b01d516484d316/522a037ce4b09616ca675cd3/1378485117025/noname-1.jpeg?format=750w",,,,,
"Forte Academy of the Arts - San Diego, CA","http://www.fortesandiego.com/","info@ForteSanDiego.com","1641 Grand Ave","San Marcos",92078,"760-622-6336","Piano, Voice, Guitar, Singing, Drums, Violin & Art, Serving San Diego CA, San Marcos CA, Carlsbad, Oceanside, Vista, Escondido
At Forté Academy of the Arts we believe every person has a ""forté.""  Discovering your forté begins with desire, interest, or enjoyment of that skill or art.  It is our passion to help you further develop your ability ranging from a beginner to an advanced student.  Our commitment is to teach you something new each week AND to create learning environments for you to enjoy music and fine arts.","CA",,,"yes",,,"Creative Arts",,,,,,,,"Piano, Voice, Guitar, Singing, Drums, Violin & Art, Serving San Diego CA, San Marcos CA, Carlsbad, Oceanside, Vista, Escondido",,"??","phone","https://www.facebook.com/ForteAcademyOfTheArts","yes","http://www.fortesandiego.com/forte.jpg","http://www.fortesandiego.com/publishImages/about~~element77.jpg",,,,,
"Pasadena Art Classes","http://www.pasadenaartclasses.com/","info@pasadenaartclasses.com","1068 N. Allen Ave.","Pasadena",91104,"(626) 290-0028","Pasadena Art Classes presents art classes for people of all ages and skill levels. Students explore various mediums, ranging from pencil to paint, in search of the one that works best for them. An assortment of techniques will also be introduced to students  in the hope that they will eventually find their own personal style.","CA",,,"yes",,,"Drawing and Painting",,,,,,,,,120,"per month","phone","none","none","http://www.pasadenaartclasses.com/images/back.jpg","http://www.pasadenaartclasses.com/images/Untitled-1.png",,,,,
"Moto M Academy","http://motomacademy.com/programs/","info@motomacademy.com","22821 Hawthorne Blvd.","Torrance",90505,"(310) 375-0842","MOTOM’s purpose doesn’t end with just teaching the simple techniques. Our purpose is to discover and utilize the hidden talents to their maximum capacities. Members of MOTOM are like no others. An optimistic mindset and upright mental values in addition to the fancy techniques allow members of MOTOM to become one step closer towards their dreams.","CA",6,18,"yes","yes",,"Drawing and Painting","Digital Media",,,,,,,"portfolio development for high schoolers, computer graphics",,"??","phone","https://www.facebook.com/motomacademy","no","http://motomacademy.com/wp-content/uploads/2013/04/about_us_images.jpg","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-frc3/v/t1.0-9/575141_440430792707548_319797779_n.jpg?oh=f93b9f916f08e9e3052fa2657610ebc1&oe=54D19172&__gda__=1423547949_86611351463397915cfa47645a39f542",,,,,
"Umana Academy oF Fine Arts","http://umanaacademy.com/","maureen@umanaacademy.com","27525 Puerta Real","Mission Viejo",92691,"(949) 900-6500","Umaña Academy was founded on the principle that in order to achieve a perfectly rounded education each child must be nurtured in the arts. Every child possesses an innate longing to express themselves artistically and to develop their natural, God-given abilities. In addition, studies have proven that children who are exposed to the arts at an early age generally achieve a higher level of academic excellence than their peers.
 
Founded in 2005 as a Fine Art after-school program, Umaña Academy featured classes in Music, Art, Foreign Language and Social Skills. Later, Umaña Academy expanded to include a Tiny Tots, Kindergarten and Elementary Homeschool Program with Christian Fine Art Education at its core.
 
Our desire is for your child to enjoy developing in the Fine Arts, to feel confident in their achievements, and to enrich their community because of it. Your child will receive the finest education and will be a part of a larger network of children enriched through the study of the Arts!","CA",,,"yes","yes",,"Drawing and Painting","Creative Arts",,,,,,,"after school programs in sports, music, art, spanish, etc",75,"per month","phone","https://www.facebook.com/pages/Umana-Academy/148298775228564","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/183098_153537324704709_6983157_n.jpg?oh=ee31416edeccaa600cb1ac32308f1473&oe=551613F7","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/188753_155348431190265_1390385_n.jpg?oh=d2c2ea16b3dda472b1b7a60a3fe96a0f&oe=550B485A&__gda__=1428066173_6a9a8cecf414da2575a5da68579cc849",,,,,
"Expressions Dance & Arts","http://www.expressions-dance-arts.com/","info@Expressions-Dance-Arts.com","3015 Hopyard Road Suite I,","Pleasanton",94588,"(925) 200-9908","Expressions Dance & Arts is Pleasanton's newest performing arts studio. We opened in September 2012 and expanded to a second studio space in July 2014. We provide dance instruction for all ages in a welcoming, supportive and professional atmosphere. Expressions focuses on the love and enjoyment of dance, and we recognize that students benefit from a balance of family, school, community and the arts.

At Expressions, all students receive high-quality dance instruction from experienced staff. We offer classes in jazz, ballet, tap, hip hop, musical theater, lyrical, contemporary and fusions of these styles. We feature Recreational Dance Classes with in-studio seasonal performances, Recital Dance Classes with seasonal in-studio performances and a performance at our formal recital in June, and a Competition Dance Team that performs at Bay Area dance competitions and talent contests as well as local Pleasanton events and at our annual June recital. 
 
Expressions promotes an appreciation of dance and the arts in an encouraging environment. Our goal is to help all students reach their maximum dance potential and for parents to enjoy their child's dance journey. Expressions Dance & Arts looks forward to being part of that journey.","CA",2,18,"yes",,,,,,,,,,,"dance",50,"per month","online","https://www.facebook.com/ExpressionsDanceArtsPleasanton","no","http://www.expressions-dance-arts.com/images/966f50675c24d34debf1548eb35b8709.jpg","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/10391030_719043684826349_2235274728246082745_n.jpg?oh=df2a598915260560852b1b8af7b7f629&oe=54DE690B",,,,,
"Creative Canopy","http://www.creativecanopysf.com/canopy-clubhouse.html","??","4338 California St","San Francisco",94118,"(415) 221-2787","The Canopy after school clubhouse classes offers kids a safe and fun place to explore and be creative. Daily we have sewing, fiber arts, and craft activities. Healthy snacks provided. 
Introducing Creative Canopian

Mixed media, arts and crafts: toy making, jewelry making, tutu's, baking, story time, and puppet theater.","CA",4,,"YES",,,"Drawing and Painting","Creative Arts","Crafts",,,,,,,15,"per class","phone",,,,,,,,,
