"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Hot lead"
"Zaccho Dance Theatre","http://www.zaccho.org/","office@zaccho.org","1777 Yosemite Ave","San Francisco",94124,"(415) 822-6744","Zaccho Dance Theatre's home is San Francisco's Bayview Hunters Point (BVHP) where Zaccho manages a large Studio that is utilized for rehearsal, performances, and educational activities for youth and adults . Aerial yoga , aerial dance , rope and tissu technique.","CA",7,,"yes",,,"Dance","HipHop",,,,,,,,,"14$ per session ,120$ - 10 sessions",,,,,"http://www.zaccho.org/images/1912225_10152634807008345_1236908328_n.jpg , http://www.zaccho.org/ypap2.jpg , http://www.zaccho.org/images/Aerial%20yoga%20BADW.jpg","Bayview, Southeast San Francisco",,,
"Classical Dance Ctr","http://www.classicaldancecenter.com/","cdctustin@gmail.com","494 El Camino Real","Tustin",92780,"(714) 573-1411","Dancing instructions","CA",3.5,,"yes",,,"Ballet","Pointe","HipHop","Jazz","Lyrical",,,,,,,,,,"http://www.ondemandwebsite.com/myadmin/webpage/u/332_blue_header.jpg","http://www.ondemandwebsite.com/myadmin/webpage/u/332_img_5110.jpg , http://www.ondemandwebsite.com/myadmin/webpage/u/332_img_4093.jpg","Jamestown Vlg",,,
"Dance Realm Owner",,,"6516 Marquette St","Moorpark",93021,"(805) 796-6998","Dancing instructions","CA",,,,,,"Dance",,,,,,,,,,,,,,,,,,,
"Stages Northern California Performing Arts","http://www.hawkinsschool.com/",,"118 Woodmere Rd","Folsom, CA",95630,"(916) 355-8080","Dance Companies, Dancing Instruction.Ballet , Tap,Jazz,Contemporary,Hip Hop,Musical Theatre,Acrobatics,Pilates,Acting,Dance Sampler.","CA",,,"yes","yes",,"Ballet","HipHop","Jazz","Contemporary","Tap",,,,,,"17$- single session , 45 - 300$- monthly",,,,"http://static.squarespace.com/static/51f7037ae4b08b0bde101f3d/51f7037ae4b08b0bde101f45/53f4ef93e4b09985defb133a/1408561083520/HawkinsLogotype-Main.png?format=1000w","http://static.squarespace.com/static/51f7037ae4b08b0bde101f3d/529b63bae4b0009d44d30a1b/529b63bce4b0316936e12dbe/1385915325651/Angela%20Palumbo-709.jpg?format=300w, http://static.squarespace.com/static/51f7037ae4b08b0bde101f3d/529b63bae4b0009d44d30a1b/529b63c7e4b0c5f2207f3c0d/1385915335594/Kaelyn%20Shelley-806.jpg?format=300w",,,,
"Duo Dance Academy","http://www.duodanceacademy.com/","duodanceacademy@yahoo.com","12 Wellington Ave","Daly City",94014,"(650) 992-2205","Dancing instructions ,offering classes in classical ballet, tap, jazz and hip hop for all ages.","CA",3,,"yes","yes",,"Ballet","HipHop","Jazz",,,,,,,,"60 - 180$ per month",,,,,"http://www.duodanceacademy.com/images/09_index_1.gif, http://www.duodanceacademy.com/images/09_index_2.gif , http://www.duodanceacademy.com/images/09_combo.gif",,,,
"Classical Ballet Academy","http://www.dkcba.com/","dance@dkcba.com","23091 Del Lago Dr","Laguna Hills",92653,"(949) 360-4233","Dancing instructions, classes in ballet, modern, jazz, contemporary, character, lyrical and tap dance.","CA",3,,"yes","yes",,"Ballet","Jazz","Contemporary","Lyrical","Tap",,,,,,"70 - 485 $ per month",,,,"https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSpikSeSAb2qVB1fYqszZZYgd8MNY_sGuZ5dvywz7OQWw23y4Ho","http://www.dkcba.com/wp-content/uploads/2012/03/Homepage43.jpg, http://s3-media1.fl.yelpcdn.com/bphoto/cFlUx8VXbCW2C4pLZl9uCA/ls.jpg","North Business Park, North Laguna Hills",,,
"Studio Of Dance Arts","http://www.studioofdancearts.com/",,"7 5th St","Eureka",95501,"(707) 442-1939","Dance Companies, Dancing Instruction","CA",,,"yes",,,"Dance",,,,,,,,,,,,,,,"https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/318320_217032585022061_77602235_n.jpg?oh=70cc12eba4dd488d0f808e8b0b54b6a4&oe=54F4EAA1&__gda__=1423926120_2a4e53b1778b0ba3ae2a58c38afa8472, https://scontent-b-sin.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/304147_217032611688725_1101203327_n.jpg?oh=5f887eb9b702bc9c03306a199272ccfc&oe=54B1BC67https://scontent-a-sin.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/293179_217032565022063_1025861090_n.jpg?oh=39f4c183e1c458673ae94fad5446a096&oe=54B0E8E2,","Eureka city",,,
"San Francisco Ballet Teleservices","http://school.sfballet.org/","school@sfballet.org","455 Franklin St","San fransisco",94102,"(415) 865-6790","Dance Companies, Dancing Instruction","CA",,,"yes","yes",,"Ballet",,,,,,,,,,,,,,"http://www.sfballet.org/img/logo.png","http://www.sfballet.org/img/interact/interact.jpg , http://school.sfballet.org/image/4COUPLES.png  ,http://school.sfballet.org/image/14_Pre-Ballet.jpg, http://school.sfballet.org/image/slideshow15.jpg","Civic Center, Northeast San Francisco",,,
"Bethune Ballet","http://theatrebethune.org/","zina@bethunetheatredanse.org","8033 W Sunset Blvd","Los Angeles",90046,"(323) 874-0481","Dance Companies, Dancing Instruction. Theatre Bethune has been a steadfast pioneer in multimedia arts, seamlessly blending ballet, jazz and modern dance with art, video, music, and special effects to create a highly unique, multi-dimensional theatrical experience","CA",,,,,,"Ballet",,,,,,,,,,,,,,,"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/v/t1.0-1/c134.36.452.452/s160x160/253833_2012264876735_4818632_n.jpg?oh=29483600a37082d25bd345be92e0d6d4&oe=54AE4CAD&__gda__=1421079662_a21ab2fa3135ea4d41d6967fedfbd495","Hollywood, Central La, Central LA, Hollywood Hills West",,,
"Tap Dance Center Of San Francisco","http://www.roycegallery.com/","info@roycegallery.com","Mission2901 Mariposa St","San fransisco",94110,"(415) 558-1749","Dancing instructions.The private and ongoing evening entry and advanced adult tap classes","CA",,,"yes",,,"Tap",,,,,,,,,25,,,,,"http://www.roycegallery.com/sitebuildercontent/sitebuilderpictures/.pond/logoFinal2.jpg.w300h316.jpg",,,,,
"Rudenko School of Dance",,,"39 W Calle Laureles","Santa Barbara",93101,"(805) 964-5141","Dancing instructions","CA",,,"yes",,,"Ballet","Dance","Jazz","Tap",,,,,,,,,"https://www.facebook.com/pages/Rudenko-School-of-Dance/363491253785809",,,"https://scontent-a-sin.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1375155_363492743785660_1553737515_n.jpg?oh=0f7961864f715fae17c984957afe79fd&oe=54F44382","North State",,,
"The Silverado Ballet School",,,"617 Wilson St","Napa",94558,"(707) 226-2473","Dancing instructions","CA",,,,,,"Dance",,,,,,,,,,,,"https://www.facebook.com/pages/The-Silverado-Ballet-School/135578249824150",,,,,,,
"Dance Society","http://www.dancesocietyonline.com/","dancesocietyinfo@yahoo.com","925 Hale Pl","Chula Vista",91914,"(619) 216-3215","Dancing instructions,  offers comprehensive training in ballet, tap, jazz, hip hop and contemporary dance for ages 3 1/2 and up","CA",3.5,8,"yes",,,"Ballet","Jazz","Tap","HipHop","Contemporary",,,,,49,"49 - 220 $ per month",,"https://www.facebook.com/pages/Dance-Society/113392032035347",,"http://www.dancesocietyonline.com/publishImages/logo_LogoA.jpg","http://www.dancesocietyonline.com/Hawaii_and_more_till_July_2009_328_800x533.jpg, http://www.dancesocietyonline.com/DAT_7936.1_795x600.jpg, https://scontent-a-hkg.xx.fbcdn.net/hphotos-xfa1/v/l/t1.0-9/p235x350/10423866_743942562313621_2924842447824510502_n.jpg?oh=6d5a1a70f1a90f71d9d6f04121044b79&oe=54DD61D8","East Chula Vista, Eastlake Business Park",,,
"Gold Comb Dance Academy",,,"6068 1/2 University Ave","San Diego",92115,"(619) 326-6026","Dance Companies, Dancing Instruction","CA",,,,,,"Dance",,,,,,,,,,,,,,,,"El Cerrito, Mid-City",,,
"Le Studio","http://www.athleticartisttraining.com/","Marie@athleticartisttraining.com,Manderson@athleticartisttraining.com","57 Palmetto Dr","Pasadena",91105,"(626) 792-4616","Dance Companies, Dancing Instruction, We  Provide Dance Training, Fitness Training and Women's Self Defense Training.","CA",,,"yes",,,"Ballet","Jazz","Contemporary",,,,,,,60,"60$ - for 8 classes",,"https://www.facebook.com/AthleticArtistTraining",,"http://www.athleticartistproductions.com/assets/asset-1408323064518.png?v=0.019532959908246994","http://www.athleticartistproductions.com/assets/asset-1408323330842.png?v=0.686598227758319, http://www.athleticartistproductions.com/assets/asset-1408324402816.png?v=0.07058503472197397","Southwest Pasadena, Bellefontaine",,,
"Kingsburg Ballet & Arts Studio","http://northwestballet.net/contact/","info@northwestballet.net","1301 Marion St","Kingsburg",93631,"(559) 897-3208, (559) 432-0155","Dancing instructions","CA",3,,"yes","yes",,"Ballet",,,,,,,,,60,"60 - 448$ monthly",,"https://www.facebook.com/pages/Kingsburg-Ballet-Arts-Studio/158792324142637",,"http://northwestballet.net/wp-content/uploads/2014/01/logo-drawing.png","http://northwestballet.net/wp-content/uploads/2014/01/DSC_0416.jpg",,,,
"Dancin' In Acton","http://dancininacton.com/",,"33320 Santiago Rd","Acton",93510,"(661) 269-2650","Dancing instructions, Dancin’ in Acton is proud to offer jazz, ballet, pointe, tap, hip-hop, lyrical, mom &amp; me, and modern dance instruction. We provide the opportunity to begin learning dance at any age and to pursue growth in dance.","CA",4,,"yes",,,"Jazz","Ballet","Pointe","Tap","HipHop","Lyrical",,,,,,"online","https://www.facebook.com/pages/Dancin-In-Acton/121903227825219","565 likes","http://dancininacton.com/here/wp-content/themes/dancininacton/images/DIA-LOGO_vector.gif","http://dancininacton.com/here/wp-content/gallery/class-pictures/thumbs/thumbs_img_6970.jpg, http://dancininacton.com/here/wp-content/gallery/class-pictures/thumbs/thumbs_img_6360.jpg, https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/p296x100/10703937_943247982357402_1589645707276692545_n.jpg?oh=191fb929b499505d02a514416284855c&oe=54DC2672&__gda__=1423693984_05d0c40bb0f801b3ebc41dceaba688a7",,,,
"Tahoe Dance School","http://tahoedanceschool.com/","info@tahoedanceschool.com","2810 Lake Forest Rd","Tahoe City",96145,"(530) 583-3367","Dancing instructions","CA",0,3.5,"yes","yes",,"Jazz","HipHop","Tap",,,,,,,,,,"https://www.facebook.com/pages/Tahoe-Dance-School/167496356594966",,,"http://tahoedanceschool.com/images/gallery/Encore2012_2.jpg, http://tahoedanceschool.com/images/gallery/JuniorSchool2011_7.jpg , http://tahoedanceschool.com/images/gallery/PreciousJewels2010_5.jpg","Lake Forest",,,
"Fancy Feet Dance Studio","http://www.fancyfeetdance.com/","fancyfeetdancestudio@gmail.com","881 Alma Real Dr","Pacific Palisades",90272,"(310) 459-7203","Dancing instructions","CA",3,,"yes","yes",,"Jazz","HipHop","Tap","Ballet","Contemporary",,,,,,,,"https://www.facebook.com/fancyfeetdance","747 likes","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/p160x160/217964_10151148228804510_477946909_n.png?oh=ca6aac1e94255098d561a85fb9514ad2&oe=54E50D04&__gda__=1425111185_d161e4d5d15b40f4b6579f33daf588fb","http://www.fancyfeetdance.com/images/scroll/scroll11.jpg, http://www.fancyfeetdance.com/gallery/2013/small/DANCE%20WITHOUT%20YOU.jpg, http://www.fancyfeetdance.com/gallery/2013/small/I'M%20IN%20HEAVEN.jpg, https://scontent-b-hkg.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/9977_10152779300499510_8599671286442133142_n.jpg?oh=8b7c5743ed5274a1c9f76260df7e05e8&oe=54ABD514http://www.fancyfeetdance.com/gallery/2013/small/ACHY%20BREAKY%20HEART.jpg","Pacific Palisades, West Los Angeles, Huntington Palisades",,,
"Inland Dance Academy","http://www.inlanddanceacademy.com/",,"2584 Highland Ave","Highland",92346,"(909) 862-1390","Dancing instructions, We offer classes from the very beginner to advanced pointe and fun classes like Zumba.","CA",3,,"yes",,,"Ballet",,,,,,,,,,,,"https://www.facebook.com/InlandDanceAcademy",,,"http://www.inlanddanceacademy.com/wp-content/uploads/2014/04/124-2-1170x500.jpg, http://inlanddance.com/wp-content/uploads/2014/02/319758_3960077042681_481289417_tea-party.jpg, https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-,9/p235x350/10426782_10152470389670745_8415460198609158933_n.jpg?oh=fa52fd3a2f6de85f6a773dbb5fc9f6a5&oe=54ABEB4B&__gda__=1425537885_a268ef75a4454fcc625ed82515c8d629","Barton",,,
"North Bay Country Dance",,,,"Santa Rosa",95404,"(707) 527-9794","Dancing instructions","CA",,,,,,"Dance",,,,,,,,,,,,,,,,,,,
"Belly & Gypsy Dance By Elayna","http://www.futurevisions.net/elayna/classes.htm",,,"San Jose",95110,"(408) 506-2201","Dancing instructions","CA",,,"yes",,,"Dance",,,,,,,,,,,,,,,"http://www.futurevisions.net/elayna/self/elayna_2005_pose.jpg, http://www.futurevisions.net/elayna/students/classes_2007.jpg",,,,
"4ever Dance Studio","http://4everdancestudio.com/","info@4everdancestudio.com","6635 Dublin Blvd,","Dublin",94568,"(925) 803-7715","Dancing instruction, ballroom,latin,salsa,hiphop,jazz, bollywood,kathak,ballet, creative moments. We teach all the current ballroom dances, including Salsa, Cha-Cha, Argentine Tango, Rumba, Waltz, Foxtrot, East and West Coast Swing, Country 2-Step, Hustle, Night Club 2-Step.

In addition, we have instructors specializing in Hip-Hop, Ballet, Jazz, Contemporary, Hula, Bollywood, Zumba, as well as Latin Dance Fitness.","CA",,,"yes",,,"Ballet","Bollywood","HipHop","IndianClassical","Latin","Ballroom",,,,,,,"https://www.facebook.com/4EverDances",,"https://scontent-a-sin.xx.fbcdn.net/hphotos-prn2/v/t1.0-9/10481629_831880243499148_5356558535692309480_n.png?oh=1fd99b439a5b91599086959bd88158f0&oe=54ADB657","http://4everdancestudio.com/wp-content/uploads/2014/05/Hip-Hop-II1.jpg",,,,
