"provider_name","website","email","street_address","city","state","Zipcode","phone","description","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Hot lead"
"Achiever Institute","http://achieverinstitute.org/","hello@achieverinstitute.org","43475 Ellsworth Street","Fremont","CA",94539,"510-226-6161","Achiever Institute is an organization that encourages children to explore their interests and their imaginations in a safe, happy, caring, and wholesome environment. Students are encouraged to be creative, expressive, and curious under the guidance of highly qualified and experienced instructors. Achiever Institute strives to develop students who can better appreciate the world around them through exposure to and understanding of different cultures, art, science, theater, and music. By developing social, learning, and communication skills, we hope to help foster confident children who are interested and able to continue enriching their lives for many years to come. We offer various after school programs for kids K-8.",5,14,"Yes","Yes","No","Academics","Math","Academic Writing","Language","Music","Creative Arts","Chess","Public Speaking","Martial Arts",,"None listed","In person","https://www.facebook.com/pages/Achiever-Institute/110856052276681","No","http://www.achieverinstitute.org/img/logo.gif","http://achieverinstitute.org/img/2009/08/mural2-140x140.jpg",,,,"Yes"
"Jiaxing Learning Center","http://jiaxinglearning.com/","jiaxinglearning@yahoo.com","35233-G Newark Blvd.","Newark","CA",94560,"510-585-5969","Our center offers a variety of educational activities to enhance many development skills of children. They are motivated to participate in all activities available. Jiaxing Learning Center accentuates academic success and a fun learning experience. We have patient, loving, and experienced teacher to provide a secure and fun learning environment for your child. We provide a well balanced out-of-school experience by combining recreational and educational activities together. We offer a broad range of hands-on activities, as well as separate time for students to work with teachers on their homework.",3,12,"Yes","Yes","No","After School Care","Academics","Language","Math","Dance","Creative Arts",,,,360,"Per_month","online form","https://www.facebook.com/pages/Jiaxing-Learning-Center/192840807417971","N/A",,,,,,"Yes"
"Ichen Art Academy","http://www.ichenartacademy.com/",,"43319 Mission Blvd.","Fremont","CA",94539,"510-353-0860","Founded by renowned artist Ichen Wu, Ichen Art Academy is the first all-around, comprehensive and systematic art institute dedicated to Chinese-Western art education in the Bay Area. All the instructors at Ichen Art Academy have advanced art degree and strong teaching experience. Ichen Art Academy accepts children age 4 and up, adolescents and adults.  Its art programs include Chinese Painting and Calligraphy, Children’s Art Exploration, Children’s Creative Painting and Drawing, Sketch, Water Color, Oil Painting, Cartoon and Design. Whether your objective is to cultivate interest in art, to learn the techniques of painting or drawing, or to apply an art-related major for college, you will find that Ichen Art Academy is the best school to help you achieve your goal.",4,99,"Yes","Yes","No","Creative Arts","Drawing and Painting","Cartooning",,,,,,,37,"Per_class","PDF","https://www.facebook.com/IchenArtAcademy","No",,,,,,"Yes"
"Simon Academics","http://simonabc.com/","info@simonabc.com","161 i Street","Fremont","CA",94536,"(510) 912-1212","We started in San Ramon in 2003, where we taught our first struggling student to read. After operating out of our home, we moved to our current location in Niles in March of 2009. Small groups mean we can address each individual’s needs.  While we have a set curriculum, pacing and focus depend on student needs, not worksheets or schedules.  High standards mean pushing kids harder than they are used to, but the payoff comes quickly for most. Nothing builds self-esteem like actual accomplishment. We offer reading, writing, math, and test prep classes.",5,18,"Yes","No","No","Academics","Reading","Academic Writing","Math","Test Prep","Tutoring",,,,249,"Per_session","Call or email","https://www.facebook.com/pages/Simon-Academics/123362911016289","No","http://simonabc.com/wp-content/uploads/2013/06/SimonAcademicsFinalLogotrimmed1-300x123.jpg",,,,,"Yes"
"SuperCamp","http://www.supercamp.com/","info@supercamp.com","1938 Avenida del Oro","Oceanside","CA",92056,"(800) 285-3276","SuperCamp is the original academic, life and career skills camp. Since it began in 1982 as the first teen summer program of its kind—SuperCamp has become a respected worldwide leader in student programs that enhance academic, leadership, communication, and other essential skills for achievement and success in the 21st century. Our youth summer camps can help your son or daughter increase grades, confidence, and motivation. Held at a variety of prestigious college campuses nationwide and select global locations, SuperCamp empowers teens and prepares them for a life of excellence—personally, academically, and in their chosen path in life.",11,18,"Yes","Yes","No","Academics","Reading","Academic Writing","Test Prep","Tutoring","Math",,,,2795,"Per_session","PDF","https://www.facebook.com/SuperCamp","Yes","https://www.supercamp.com/portals/1/Images/Skin/logo.png","https://www.supercamp.com/portals/1/Images/what-is-SuperCamp.JPG",,6,12,"Yes"
"Tutoring Gurus","http://www.tutoringgurus.com/","info@tutoringgurus.com","3755 Washington Blvd, Suite # 202","Fremont","CA",94538,"(510)449-9233","Founded by a UC-Berkeley MBA and located in Fremont, Tutoring Gurus is the leading one-stop-shop for all college admission needs of high school students, including tutoring, SAT and AP test preps, and college admission counseling. Middle school students are also welcome to enroll, where they can develop superior study habits for success.",11,18,"Yes","Yes","No","Academics","Tutoring","Test Prep",,,,,,,,"None listed","None listed","N/A","N/A",,,,6,12,
"Deer Crossing Camp","http://www.deercrossingcamp.com/","mail@deercrossingcamp.com","690 Emerald Hill Road","Redwood City","CA",94061,"(650) 369-4382","Deer Crossing is a co-ed summer camp for ages 8-17, filled with mountains, laughter, golden sunsets, sails, bird songs, paddles, and great friends. Since 1983, Deer Crossing has offered a unique, high-quality wilderness experience designed to bring out the best in young people.",8,17,"No","Yes","No","Adventure/Outdoors","Creative Arts","Canoeing","Rock Climbing","Archery","Guitar","Swimming","Leadership",,1500,"Per_week","Campintouch","https://www.facebook.com/pages/Deer-Crossing-Camp/266374530064770","No","http://www.deercrossingcamp.com/images/header.jpg","https://lh6.googleusercontent.com/-v-1PtqHiNik/VDxumMoJCbI/AAAAAAAABMw/jMLecqpbgU4/s640/DSCN1917CanoeTrip.JPG",,,,
"Eagle Fustar Tennis Academy","http://eaglefustar.com/","katy@eaglefustar.com",,,"CA",,"(408) 242-5559","Founded in 2003 by former professionals Brian Eagle and Nick Fustar, Eagle Fustar Tennis Academy is the premier training academy in Northern California for over 200 serious junior and professional players. Centrally located in the beautiful Bay Area, we train in the heart of the lush and beautiful Silicon Valley, where the sun shines nearly 300 days each year.  Named a USTA Regional Training Center in 2010, Eagle Fustar is working jointly with the USTA to develop the next generation of American champions by surrounding the top junior players and young pros with the resources, facilities, and coaching they need to reach their maximum potential. Our daily training clinics, for beginners to nationally ranked juniors, are held on the campuses of Santa Clara University, West Valley College, Mission College, and Mission Hills Athletic Club. We offer training clinics 364 days of the year, week long camps, and private instruction from our impressive roster of coaches, which include former professional and D1 players. Included in our year round training are our extensive summer programs, which include comprehensive training packages and our renowned all day Full Time Training Weeks.",8,18,"Yes","Yes","No","Tennis",,,,,,,,,55,"Per_class","email","https://www.facebook.com/eagle.fustar.1?fref=ts","N/A","http://eaglefustar.com/wp-content/uploads/2012/02/eflogosmallwhite.png",,,,,"Yes"
"MPM4Fun","http://www.mpm4fun.com/","mpm4fun@gmail.com",,,"CA",,"510-857-4063","MPM is a well sequenced math program that implements the concepts of Multi-Process and Multi-Model mathematics for K-6 grade students.  Through MPM’s training, students will not only master elementary level math but also build up a solid foundation for junior high school math concepts.  They will sharpen their critical thinking and problem solving skills while shaping characteristics for success.",5,12,"Yes","No","No","Academics","Math",,,,,,,,,"None listed","email or phone","N/A","N/A",,,,"K",6,"Yes"
"Olive Children Foundation","http://olivechildren.com/","info@olivechildren.com","43531 Mission Blvd.","Fremont","CA",94539,"510-770-8708","At Olive Children, we facilitated Young Leaders – Everyday Leadership program for Kindergarten to 6th grade since 2010, benefitting more than 200 students. We incorporate World Vision child sponsorship and pen pals program, Junior Achievement entrepreneurship, and KidsCare/Generation On activities to accomplish service learning and community projects. Through these activities, students realize that they don’t need to be someone “special” to take a lead.",5,12,"Yes","No","No","Academics","Public Speaking","Creative Writing","Leadership","Science/Technology","Computers","Acting",,,200,"Per_session","Unclear","https://www.facebook.com/olivechildrenfoundation","No","http://olivechildren.com/wp-content/themes/olivechildren/assets/img/logo.jpg","http://olivechildren.com/wp-content/uploads/2014/02/Homework-Club-193x134.jpg","Three locations, Berkeley, Fremont & Warm Springs",5,6,
